ASIMFieldName, ASIMFieldType, ProductFieldName, ProductFieldType, ProductFieldDescription, ProductSampleValue, Logic
AdditionalFields,dynamic,,,,,direct mapping
DhcpCircuitId,string,,,,,direct mapping
DhcpLeaseDuration,int,,,,,direct mapping
DhcpSessionDuration,int,,,,,direct mapping
DhcpSessionId,string,,,,,direct mapping
DhcpSrcDHCId,string,,,,,direct mapping
DhcpSubscriberId,string,,,,,direct mapping
DhcpUserClass,string,,,,,direct mapping
DhcpUserClassId,string,,,,,direct mapping
DhcpVendorClass,string,,,,,direct mapping
DhcpVendorClassId,string,,,,,direct mapping
Dst,string,,,,,direct mapping
Duration,int,,,,,direct mapping
DvcAction,string,,,,,direct mapping
DvcDescription,string,,,,,direct mapping
DvcDomain,string,,,,,direct mapping
DvcDomainType,string,,,,,direct mapping
DvcFQDN,string,,,,,direct mapping
DvcHostname,string,,,,,direct mapping
DvcId,string,,,,,direct mapping
DvcIdType,string,,,,,direct mapping
DvcInterface,string,,,,,direct mapping
DvcIpAddr,string,,,,,direct mapping
DvcMacAddr,string,,,,,direct mapping
DvcOriginalAction,string,,,,,direct mapping
DvcOs,string,,,,,direct mapping
DvcOsVersion,string,,,,,direct mapping
DvcScope,string,,,,,direct mapping
DvcScopeId,string,,,,,direct mapping
DvcZone,string,,,,,direct mapping
EventCount,int,,,,,direct mapping
EventEndTime,datetime,,,,,direct mapping
EventMessage,string,,,,,direct mapping
EventOriginalResultDetails,string,,,,,direct mapping
EventOriginalSeverity,string,,,,,direct mapping
EventOriginalSubType,string,,,,,direct mapping
EventOriginalType,string,,,,,direct mapping
EventOriginalUid,string,,,,,direct mapping
EventOwner,string,,,,,direct mapping
EventProduct,string,,,,,direct mapping
EventProductVersion,string,,,,,direct mapping
EventReportUrl,string,,,,,direct mapping
EventResult,string,,,,,direct mapping
EventResultDetails,string,,,,,direct mapping
EventSchema,string,,,,,direct mapping
EventSchemaVersion,string,,,,,direct mapping
EventSeverity,string,,,,,direct mapping
EventStartTime,datetime,,,,,direct mapping
EventSubType,string,,,,,direct mapping
EventType,string,,,,,direct mapping
EventUid,string,,,,,direct mapping
EventVendor,string,,,,,direct mapping
Hostname,string,,,,,direct mapping
IpAddr,string,,,,,direct mapping
RequestedIpAddr,string,,,,,direct mapping
Rule,string,,,,,direct mapping
RuleName,string,,,,,direct mapping
RuleNumber,int,,,,,direct mapping
SessionId,string,,,,,direct mapping
Src,string,,,,,direct mapping
SrcDescription,string,,,,,direct mapping
SrcDeviceType,string,,,,,direct mapping
SrcDomain,string,,,,,direct mapping
SrcDomainType,string,,,,,direct mapping
SrcDvcId,string,,,,,direct mapping
SrcDvcIdType,string,,,,,direct mapping
SrcDvcScope,string,,,,,direct mapping
SrcDvcScopeId,string,,,,,direct mapping
SrcFQDN,string,,,,,direct mapping
SrcGeoCity,string,,,,,direct mapping
SrcGeoCountry,string,,,,,direct mapping
SrcGeoLatitude,real,,,,,direct mapping
SrcGeoLongitude,real,,,,,direct mapping
SrcGeoRegion,string,,,,,direct mapping
SrcHostname,string,,,,,direct mapping
SrcIpAddr,string,,,,,direct mapping
SrcMacAddr,string,,,,,direct mapping
SrcOriginalRiskLevel,string,,,,,direct mapping
SrcOriginalUserType,string,,,,,direct mapping
SrcPortNumber,int,,,,,direct mapping
SrcRiskLevel,int,,,,,direct mapping
SrcUserId,string,,,,,direct mapping
SrcUserIdType,string,,,,,direct mapping
SrcUsername,string,,,,,direct mapping
SrcUsernameType,string,,,,,direct mapping
SrcUserScope,string,,,,,direct mapping
SrcUserScopeId,string,,,,,direct mapping
SrcUserSessionId,string,,,,,direct mapping
SrcUserType,string,,,,,direct mapping
SrcUserUid,string,,,,,direct mapping
ThreatCategory,string,,,,,direct mapping
ThreatConfidence,int,,,,,direct mapping
ThreatField,string,,,,,direct mapping
ThreatFirstReportedTime,datetime,,,,,direct mapping
ThreatId,string,,,,,direct mapping
ThreatIsActive,bool,,,,,direct mapping
ThreatLastReportedTime,datetime,,,,,direct mapping
ThreatName,string,,,,,direct mapping
ThreatOriginalConfidence,string,,,,,direct mapping
ThreatOriginalRiskLevel,string,,,,,direct mapping
ThreatRiskLevel,int,,,,,direct mapping
TimeGenerated,datetime,,,,,direct mapping
Type,string,,,,,direct mapping
Username,string,,,,,direct mapping
