DeviceEventClassID,LogSeverity,OriginalLogSeverity,DeviceAction,SimplifiedDeviceAction,Computer,CommunicationDirection,DeviceFacility,DestinationPort,DestinationIP,DeviceAddress,DeviceName,Message,Protocol,SourcePort,SourceIP,RemoteIP,RemotePort,MaliciousIP,ThreatSeverity,IndicatorThreatType,ThreatDescription,ThreatConfidence,ReportReferenceLink,MaliciousIPLongitude,MaliciousIPLatitude,MaliciousIPCountry,DeviceVersion,Activity,ApplicationProtocol,EventCount,DestinationDnsDomain,DestinationServiceName,DestinationTranslatedAddress,DestinationTranslatedPort,DeviceDnsDomain,DeviceExternalID,DeviceInboundInterface,DeviceNtDomain,DeviceOutboundInterface,DevicePayloadId,ProcessName,DeviceTranslatedAddress,DestinationHostName,DestinationMACAddress,DestinationNTDomain,DestinationProcessId,DestinationUserPrivileges,DestinationProcessName,DeviceTimeZone,DestinationUserID,DestinationUserName,DeviceMacAddress,ProcessID,ExternalID,FileCreateTime,FileHash,FileID,FileModificationTime,FilePath,FilePermission,FileType,FileName,FileSize,ReceivedBytes,OldFileCreateTime,OldFileHash,OldFileID,OldFileModificationTime,OldFileName,OldFilePath,OldFilePermission,OldFileSize,OldFileType,SentBytes,RequestURL,RequestClientApplication,RequestContext,RequestCookies,RequestMethod,SourceHostName,SourceMACAddress,SourceNTDomain,SourceDnsDomain,SourceServiceName,SourceTranslatedAddress,SourceTranslatedPort,SourceProcessId,SourceUserPrivileges,SourceProcessName,SourceUserID,SourceUserName,EventType,DeviceCustomIPv6Address1,DeviceCustomIPv6Address1Label,DeviceCustomIPv6Address2,DeviceCustomIPv6Address2Label,DeviceCustomIPv6Address3,DeviceCustomIPv6Address3Label,DeviceCustomIPv6Address4,DeviceCustomIPv6Address4Label,DeviceCustomFloatingPoint1,DeviceCustomFloatingPoint1Label,DeviceCustomFloatingPoint2,DeviceCustomFloatingPoint2Label,DeviceCustomFloatingPoint3,DeviceCustomFloatingPoint3Label,DeviceCustomFloatingPoint4,DeviceCustomFloatingPoint4Label,DeviceCustomNumber1,DeviceCustomNumber1Label,DeviceCustomNumber2,DeviceCustomNumber2Label,DeviceCustomNumber3,DeviceCustomNumber3Label,DeviceCustomString1,DeviceCustomString1Label,DeviceCustomString2,DeviceCustomString2Label,DeviceCustomString3,DeviceCustomString3Label,DeviceCustomString4,DeviceCustomString4Label,DeviceCustomString5,DeviceCustomString5Label,DeviceCustomString6,DeviceCustomString6Label,DeviceCustomDate1,DeviceCustomDate1Label,DeviceCustomDate2,DeviceCustomDate2Label,FlexDate1,FlexDate1Label,FlexNumber1,FlexNumber1Label,FlexNumber2,FlexNumber2Label,FlexString1,FlexString1Label,FlexString2,FlexString2Label,AdditionalExtensions,StartTime [UTC],EndTime [UTC],Type,_ResourceId
26,7,,,,,,,443,127.0. 0.1,127.0. 0.1,deviceNameExample.com,,,,,,,,,,,,,,,,4.1,Anomalous Connection/Anomalous SSL without SNI to New External,,,,,,,,,,,,,,,,,,,,,,,,,,1907243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,message=. . SSL certificate validation failed with (unable to get local issuer certificate);darktraceUrl=https://darktrace.com/#modelbreach/1907243 ,,,CommonSecurityLog,
26,7,,,,,,,443,127.0. 0.1,10.12.13.14,,,,,,,,,,,,,,,,,4.1,Anomalous Connection/Anomalous SSL without SNI to New External,,,,,,,,,,,,,,,slammar.iotrap.com,,,,,,,,,,,1907242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,message=. . SSL certificate validation failed with (unable to get local issuer certificate);darktraceUrl=https://darktrace.com/#modelbreach/1907242 ,,,CommonSecurityLog,
17,6,,,,,,,445,127.0. 0.1.22,10.20.15.10,,,,,,,,,,,,,,,,,4.1,Anomalous Server Activity/Anomalous External Activity from Critical Network Device,,,,,,,,,,,,,,,,,,,,,,,,,,1907249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,darktraceUrl=https://darktrace.com/#modelbreach/1907249 ,,,CommonSecurityLog,
26,8,,,,,,,3389,127.0. 0.1.11,10.40.30.20,,,,,,,,,,,,,,,,,4.1,Anomalous Connection/Anomalous SSL without SNI to New External,,,,,,,,,,,,,,,s1-ip6da,00:15:5d:24:03:4a,,,,,,,,,,1900990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,message=. . SSL certificate seen younger than 30.0 days;darktraceUrl=https://darktrace.com/#modelbreach/1900990 ,,,CommonSecurityLog,
26,8,,,,,,,3389,127.0. 0.1.11,127.0. 0.1.11,s1-ip6da,,,,,,,,,,,,,,,,4.1,Anomalous Connection/Anomalous SSL without SNI to New External,,,,,,,,,,,,,,,,00:15:5d:24:03:4a,,,,,,,,,,1900991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,deviceMacAddress=00:15:5d:24:03:4a;message=. . SSL certificate seen younger than 30.0 days;darktraceUrl=https://darktrace.com/#modelbreach/1900991 ,,,CommonSecurityLog,
17,6,,,,,,,445,127.0. 0.1.22,10.20.15.10,,,,,,,,,,,,,,,,,4.1,Anomalous Server Activity/Anomalous External Activity from Critical Network Device,,,,,,,,,,,,,,,,,,,,,,,,,,1900999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,darktraceUrl=https://darktrace.com/#modelbreach/1900999 ,,,CommonSecurityLog,
26,8,,,,,,,443,52.112.212.77,10.180.18.1,username-XPS-13-9350,,,,,,,,,,,,,,,,4.1,Anomalous Connection/Anomalous SSL without SNI to New External,,,,,,,,,,,,,,,,,,,,,,,,,,1874731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,deviceMacAddress=c8:ff:28:b6:2c:d7;darktraceUrl=https://darktrace.com/#modelbreach/1874731 ,,,CommonSecurityLog,
26,8,,,,,,,3389,10.180.80.45,10.180.1.18,,,,,,,,,,,,,,,,,4.1,Anomalous Connection/Anomalous SSL without SNI to New External,,,,,,,,,,,,,,,,,,,,,,,,,,1875106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,message=. . SSL certificate validation failed with (unable to get local issuer certificate);darktraceUrl=https://darktrace.com/#modelbreach/1875106 ,,,CommonSecurityLog,
26,8,,,,,,,3389,10.180.80.45,10.180.80.45,,,,,,,,,,,,,,,,,4.1,Anomalous Connection/Anomalous SSL without SNI to New External,,,,,,,,,,,,,,,,,,,,,,,,,,1875108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,message=. . SSL certificate validation failed with (unable to get local issuer certificate);darktraceUrl=https://darktrace.com/#modelbreach/1875108 ,,,CommonSecurityLog,
26,8,,,,,,,443,152.179.58.165,10.161.1.2,C02Z85AYLVDC,,,,,,,,,,,,,,,,4.1,Anomalous Connection/Anomalous SSL without SNI to New External,,,,,,,,,,,,,,,,,,,,,,,,,,1875226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,deviceMacAddress=a4:83:e7:9d:c1:f9;darktraceUrl=https://darktrace.com/#modelbreach/1875226 ,,,CommonSecurityLog,
