ColumnName,ColumnOrdinal,DataType,ColumnType
TenantId,0,System.String,string
SourceSystem,1,System.String,string
MG,2,System.String,string
ManagementGroupName,3,System.String,string
TimeGenerated,4,System.DateTime,datetime
Computer,5,System.String,string
RawData,6,System.String,string
sourceId_s,7,System.String,string
description_s,8,System.String,string
displayGroup_s,9,System.String,string
headlineData_originalText_s,10,System.String,string
enrichedFields_caption_s,11,System.String,string
enrichedFields_location_name_s,12,System.String,string
enrichedFields_source_link_s,13,System.String,string
enrichedFields_image_url_s,14,System.String,string
enrichedFields_source_type_s,15,System.String,string
enrichedFields_timestamp_d,16,System.Double,real
enrichedFields_priority_s,17,System.String,string
enrichedFields_dataminr_link_s,18,System.String,string
enrichedFields_list_name_s,19,System.String,string
date_s,20,System.String,string
odsStatus_source_followers_d,21,System.Double,real
flagTimes_general_alert_pending_medium_d,22,System.Double,real
flagTimes_gov_alert2_global_d,23,System.Double,real
flagTimes_gov_alert2_global_headline_d,24,System.Double,real
dataMap_headlineMds_content_s,25,System.String,string
flagTimes_news_alert_candidate_local_d,26,System.Double,real
publisherCategory_id_s,27,System.String,string
publisherCategory_name_s,28,System.String,string
flagTimes_general_alert_pending_low_d,29,System.Double,real
flagTimes_gov_alert2_headline_d,30,System.Double,real
flagTimes_gov_alert2_d,31,System.Double,real
flagTimes_corporate_alert1_headline_d,32,System.Double,real
flagTimes_gov_alert1_headline_d,33,System.Double,real
flagTimes_news_alert1_d,34,System.Double,real
flagTimes_gov_alert1_d,35,System.Double,real
flagTimes_news_alert1_headline_d,36,System.Double,real
flagTimes_corporate_alert1_d,37,System.Double,real
flagTimes_internal_alert_pending_flash_d,38,System.Double,real
flagTimes_general_alert2_local_headline_followup_d,39,System.Double,real
flagTimes_general_alert2_local_followup_d,40,System.Double,real
flagTimes_internal_alert_caption_pass_unclear_event_d,41,System.Double,real
alterations_s,42,System.String,string
odsStatus_source_created_d,43,System.Double,real
companies_s,44,System.String,string
flagTimes_gov_alert2_local_headline_d,45,System.Double,real
flagTimes_gov_alert2_local_d,46,System.Double,real
equityRegions_s,47,System.String,string
flagTimes_internal_alert_desk_freelancer_d,48,System.Double,real
flagTimes_internal_alert_captions_to_write_route_d,49,System.Double,real
flagTimes_general_alert2_global_followup_d,50,System.Double,real
flagTimes_general_alert2_global_headline_followup_d,51,System.Double,real
odsStatus_source_internal_description_s,52,System.String,string
flagTimes_general_alert5_d,53,System.Double,real
flagTimes_general_alert5_headline_d,54,System.Double,real
topicName_s,55,System.String,string
storyQuery_s,56,System.String,string
relatedStoryQuery_s,57,System.String,string
signatureQuery_s,58,System.String,string
label_s,59,System.String,string
odsStatus_translatedText_s,60,System.String,string
flagTimes_general_alert3_needshl_headline_followup_d,61,System.Double,real
flagTimes_general_alert3_needshl_followup_d,62,System.Double,real
flagTimes_news_alert_candidate_conventional_d,63,System.Double,real
odsStatus_source_id_str_g,64,System.String,string
odsStatus_source_link_s,65,System.String,string
flagTimes_general_alert2_local_d,66,System.Double,real
flagTimes_general_alert2_local_headline_d,67,System.Double,real
odsStatus_message_id_g,68,System.String,string
odsStatus_abs_id_g,69,System.String,string
flagTimes_general_alert2_global_headline_d,70,System.Double,real
flagTimes_internal_alert_upgrade_d,71,System.Double,real
flagTimes_general_alert2_global_d,72,System.Double,real
flagTimes_general_alert3_d,73,System.Double,real
flagTimes_general_alert3_headline_d,74,System.Double,real
odsStatus_source_id_str_s,75,System.String,string
dataMap_bullets_content_s,76,System.String,string
dataMap_bullets_source_s,77,System.String,string
dataMap_bullets_media_s,78,System.String,string
linkedAlerts_s,79,System.String,string
flagTimes_general_alert2_headline_followup_d,80,System.Double,real
flagTimes_general_alert2_followup_d,81,System.Double,real
alertRelationships_s,82,System.String,string
darkWeb_b,83,System.SByte,bool
flagTimes_internal_alert_desk_contractor_d,84,System.Double,real
flagTimes_general_alert3_needshl_d,85,System.Double,real
flagTimes_general_alert3_needshl_headline_d,86,System.Double,real
topicId_g,87,System.String,string
location_name2_s,88,System.String,string
location_radius2_d,89,System.Double,real
flagTimes_odsstatus_candidate_d,90,System.Double,real
metadata_eventLocations_s,91,System.String,string
metadata_relatedLocations_s,92,System.String,string
location_coordinates_s,93,System.String,string
location_latitude_d,94,System.Double,real
location_longitude_d,95,System.Double,real
location_name_s,96,System.String,string
location_places_s,97,System.String,string
location_probability_d,98,System.Double,real
location_radius_d,99,System.Double,real
flagTimes_general_alert4_d,100,System.Double,real
flagTimes_general_alert4_needshl_d,101,System.Double,real
flagTimes_general_alert4_needshl_headline_d,102,System.Double,real
flagTimes_general_alert4_headline_d,103,System.Double,real
crosspost_url_s,104,System.String,string
crosspost_domain_s,105,System.String,string
crosspost_domainType_s,106,System.String,string
odsStatus_source_id_g,107,System.String,string
internalOnly_headlineData_sourceAttributionMds_s,108,System.String,string
index_s,109,System.String,string
topicId_s,110,System.String,string
timestamp_d,111,System.Double,real
markTimestamp_d,112,System.Double,real
relatedAlerts_s,113,System.String,string
text_s,114,System.String,string
volume_d,115,System.Double,real
type_s,116,System.String,string
_embedded_labels_s,117,System.String,string
_embedded_targets_s,118,System.String,string
geos_s,119,System.String,string
locations_s,120,System.String,string
terms_s,121,System.String,string
ngrams_s,122,System.String,string
flags_s,123,System.String,string
flagTimes_general_alert2_d,124,System.Double,real
flagTimes_news_alert_candidate_internal_d,125,System.Double,real
flagTimes_news_alert_candidate_d,126,System.Double,real
flagTimes_general_alert2_headline_d,127,System.Double,real
flagTimes_internal_alert_desk_domain_expert_d,128,System.Double,real
queriesMatched_s,129,System.String,string
requestsMatched_s,130,System.String,string
categoriesMatched_s,131,System.String,string
watchlistsMatchedByType_s,132,System.String,string
topics_s,133,System.String,string
categories_s,134,System.String,string
focuses_s,135,System.String,string
sectors_s,136,System.String,string
buckets_s,137,System.String,string
users_s,138,System.String,string
score_d,139,System.Double,real
hasDeletion_b,140,System.SByte,bool
displayTweetIsDeleted_b,141,System.SByte,bool
headline_s,142,System.String,string
headlineData_text_s,143,System.String,string
headlineData_modified_b,144,System.SByte,bool
headlineData_via_s,145,System.String,string
availableRelatedAlerts_d,146,System.Double,real
saved_b,147,System.SByte,bool
followOnly_b,148,System.SByte,bool
dataMap_flags_isEditorial_s,149,System.String,string
odsStatus_type_s,150,System.String,string
odsStatus_timestamp_d,151,System.Double,real
odsStatus_text_s,152,System.String,string
odsStatus_languages_s,153,System.String,string
odsStatus_message_id_s,154,System.String,string
odsStatus_abs_id_s,155,System.String,string
odsStatus_origin_id_s,156,System.String,string
odsStatus_source_id_s,157,System.String,string
odsStatus_source_display_name_s,158,System.String,string
odsStatus_source_entity_name_s,159,System.String,string
odsStatus_source_image_s,160,System.String,string
odsStatus_source_thumbnail_s,161,System.String,string
odsStatus_source_verified_s,162,System.String,string
odsStatus_source_channels_s,163,System.String,string
odsStatus_link_s,164,System.String,string
odsStatus_urls_s,165,System.String,string
odsStatus_media_s,166,System.String,string
odsStatus_extraData_displaySourceName_s,167,System.String,string
esdcs_s,168,System.String,string
referenceTerms_s,169,System.String,string
internalOnly_modelsets_s,170,System.String,string
internalOnly_redirectLinks_rawToRedirectedUrls_s,171,System.String,string
internalOnly_lastProcessedTime_d,172,System.Double,real
internalOnly_lastReadyToProcessTimestamp_d,173,System.Double,real
internalOnly_lastModificationTimestamp_d,174,System.Double,real
internalOnly_alertMatchIndexedTimestamp_d,175,System.Double,real
internalOnly_headlineData_headlineText_s,176,System.String,string
internalOnly_headlineData_sourceAttributionTwitter_s,177,System.String,string
internalOnly_headlineData_transliterationTwitter_s,178,System.String,string
alertType_id_s,179,System.String,string
alertType_name_s,180,System.String,string
Type,181,System.String,string
_ResourceId,182,System.String,string
