TimeGenerated,RawData,ts,vendor,version,generator,dst_mac,src_mac,device_inbound_interface,app_id,src_ipv6,dst_ipv6,ip_version,next_hdr_v6,src_bytes,dst_bytes,src_packets,dst_packets,start_time,end_time,intf_name,egress_intf_id,app_name,id,seq_num,src_ip,dst_ip,protocol,src_port,dst_port,dns_name,dns_host,dns_host_addr,dns_host_type,dns_reply_code,dns_ttl,dns_flags,dns_opcode,dns_class,dns_host_class,dns_host_raw,dns_query,dns_query_type,app_tags,ssl_handshake_type,ssl_cipher_suite_id,ssl_protocol_version,ssl_ext_sig_algorithms_len,ssl_ext_sig_algorithm_scheme,ssl_ext_sig_algorithm_hash,ssl_ext_sig_algorithm_sig,ssl_fingerprint_ja3,ssl_fingerprint_ja3s,ssl_key_share_group,ssl_fingerprint_ja3_full,ssl_fingerprint_ja3s_full,ssl_common_name,ssl_issuer,ssl_validity_not_before,ssl_validity_not_after,ssl_certificate_raw,ssl_organization_name,ssl_content_type,ssl_common_name_raw,ssl_certificate_subject_cn,ssl_certificate_subject_o,ssl_certificate_subject_c,ssl_certificate_dn_issuer,ssl_certificate_issuer_c,ssl_certificate_subject_key_algo_raw,ssl_certificate_subject_key_algo_oid_raw,ssl_certificate_subject_key_algo_oid,ssl_certificate_subject_key_size,ssl_certificate_subject_key_value_raw,ssl_certificate_algo_raw,ssl_certificate_algo_oid_raw,ssl_certificate_algo_oid,ssl_session_id,src_inner_bytes,mpls,tcp_sport,tcp_dport,udp_sport,udp_dport,app_family,dst_inner_bytes,total_bytes,total_packets,ingress_vlan_id,ip_ttl,tcp_flags,ip_hdr_len,ip_frag_flags,tcp_ack_id,tcp_hdr_len,tcp_seq_no,tcp_win_size,udp_msg_len,flow_start_usec,flow_end_usec,flow_start_sec,flow_end_sec,outer_src_ip,outer_dst_ip,tcpflagsyn,tcpflagsynack,tcpflagfin,tcpflagrst,tcp_rtt,tcp_loss_count,ip_wrong_crc,dnp3_al_function_code,dnp3_dl_function_code,dnp3_dl_dir,modbus_exception_code,SSL_version,http_code,http_rtt,tcp_rtt_app,tcp_flag_reset,dns_response_time,http_content_encoding,snmp_version,smb_version,http_version,hl7_version,hl7_msg_seg_name,dicom_pdu_data_pdv_elem_val_cs,dicom_pdu_data_pdv_elem_val_pn
2026-09-02T01:00:00Z,,,Gigamon,1.0,vseries-001,,,,app-demo,,,,,1000,2000,10,12,2026-09-02T01:00:00Z,2026-09-02T01:00:05Z,,,https,evt-0001,,192.0.2.1,198.51.100.1,TCP,40001,443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-02T02:00:00Z,,,Gigamon,1.0,vseries-002,,,,app-demo,,,,,2000,4000,20,24,2026-09-02T02:00:00Z,2026-09-02T02:00:05Z,,,dns,evt-0002,,192.0.2.2,198.51.100.2,UDP,40002,53,example.invalid,,,,NOERROR,300,0,,IN,IN,,example.invalid,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-02T03:00:00Z,,,Gigamon,1.0,vseries-003,,,,app-demo,,,,,3000,6000,30,36,2026-09-02T03:00:00Z,2026-09-02T03:00:05Z,,,https,evt-0003,,192.0.2.3,198.51.100.3,TCP,40003,443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-02T04:00:00Z,,,Gigamon,1.0,vseries-004,,,,app-demo,,,,,4000,8000,40,48,2026-09-02T04:00:00Z,2026-09-02T04:00:05Z,,,dns,evt-0004,,192.0.2.4,198.51.100.4,UDP,40004,53,example.invalid,,,,NOERROR,300,0,,IN,IN,,example.invalid,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-02T05:00:00Z,,,Gigamon,1.0,vseries-005,,,,app-demo,,,,,5000,10000,50,60,2026-09-02T05:00:00Z,2026-09-02T05:00:05Z,,,https,evt-0005,,192.0.2.5,198.51.100.5,TCP,40005,443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-02T06:00:00Z,,,Gigamon,1.0,vseries-006,,,,app-demo,,,,,6000,12000,60,72,2026-09-02T06:00:00Z,2026-09-02T06:00:05Z,,,dns,evt-0006,,192.0.2.6,198.51.100.6,UDP,40006,53,example.invalid,,,,NOERROR,300,0,,IN,IN,,example.invalid,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-02T07:00:00Z,,,Gigamon,1.0,vseries-007,,,,app-demo,,,,,7000,14000,70,84,2026-09-02T07:00:00Z,2026-09-02T07:00:05Z,,,https,evt-0007,,192.0.2.7,198.51.100.7,TCP,40007,443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-02T08:00:00Z,,,Gigamon,1.0,vseries-008,,,,app-demo,,,,,8000,16000,80,96,2026-09-02T08:00:00Z,2026-09-02T08:00:05Z,,,dns,evt-0008,,192.0.2.8,198.51.100.8,UDP,40008,53,example.invalid,,,,NOERROR,300,0,,IN,IN,,example.invalid,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-02T09:00:00Z,,,Gigamon,1.0,vseries-009,,,,app-demo,,,,,9000,18000,90,108,2026-09-02T09:00:00Z,2026-09-02T09:00:05Z,,,https,evt-0009,,192.0.2.9,198.51.100.9,TCP,40009,443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-02T10:00:00Z,,,Gigamon,1.0,vseries-010,,,,app-demo,,,,,10000,20000,100,120,2026-09-02T10:00:00Z,2026-09-02T10:00:05Z,,,dns,evt-0010,,192.0.2.10,198.51.100.10,UDP,40010,53,example.invalid,,,,NOERROR,300,0,,IN,IN,,example.invalid,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
