ColumnName,ColumnOrdinal,DataType,ColumnType
TimeGenerated,0,System.DateTime,datetime
EventVendor,1,System.String,string
EventProduct,2,System.String,string
EventSchema,3,System.String,string
EventSchemaVersion,4,System.String,string
EventType,5,System.String,string
EventStartTime,6,System.DateTime,datetime
EventEndTime,7,System.DateTime,datetime
EventCount,8,System.Int32,int
EventUid,9,System.String,string
EventSeverity,10,System.String,string
DvcHostname,11,System.String,string
DvcFQDN,12,System.String,string
DvcIpAddr,13,System.String,string
DvcId,14,System.String,string
DvcAction,15,System.String,string
AdditionalFields,16,System.Object,dynamic
Type,17,System.String,string
_ItemId,18,System.String,string
module,19,System.String,string
data,20,System.Object,dynamic
TenantId,21,System.String,string
start_time,22,System.DateTime,datetime
end_time,23,System.DateTime,datetime
company_id,24,System.String,string
DvcIdType,25,System.String,string
