ColumnName,ColumnOrdinal,DataType,ColumnType
TenantId,0,"System.String",string
SourceSystem,1,"System.String",string
MG,2,"System.String",string
ManagementGroupName,3,"System.String",string
TimeGenerated,4,"System.DateTime",datetime
activity_id,5,"System.Int32",int
activity_name,6,"System.String",string
category_uid,7,"System.Int32",int
category_name,8,"System.String",string
class_uid,9,"System.Int32",int
class_name,10,"System.String",string
severity_id,11,"System.Int32",int
severity,12,"System.String",string
type_uid,13,"System.Int64",long
type_name,14,"System.String",string
message,15,"System.String",string
raw_data,16,"System.String",string
raw_record,17,"System.String",string
status_id,18,"System.Int32",int
status,19,"System.String",string
action_id,20,"System.Int32",int
action,21,"System.String",string
disposition_id,22,"System.Int32",int
disposition,23,"System.String",string
rcode,24,"System.String",string
rcode_id,25,"System.Int32",int
metadata,26,"System.Object",dynamic
unmapped,27,"System.Object",dynamic
actor,28,"System.Object",dynamic
device,29,"System.Object",dynamic
file,30,"System.Object",dynamic
process,31,"System.Object",dynamic
user,32,"System.Object",dynamic
dst_endpoint,33,"System.Object",dynamic
src_endpoint,34,"System.Object",dynamic
traffic,35,"System.Object",dynamic
query,36,"System.Object",dynamic
answers,37,"System.Object",dynamic
driver,38,"System.Object",dynamic
module,39,"System.Object",dynamic
app,40,"System.Object",dynamic
HalcyonEventId,41,"System.String",string
HalcyonSourceTime,42,"System.DateTime",datetime
