ColumnName,ColumnOrdinal,DataType,ColumnType
TimeGenerated,0,"System.DateTime",datetime
"icmp_type",1,"System.Int32",int
code,2,"System.Int32",int
"dst_dbi",3,"System.Int32",int
"dst_dbo",4,"System.Int32",int
"dst_tbi",5,"System.Int32",int
"dst_tbo",6,"System.Int32",int
ddms,7,"System.Int32",int
tdms,8,"System.Int32",int
pn,9,"System.String",string
un,10,"System.String",string
"src_ip",11,"System.String",string
"dst_ip",12,"System.String",string
class,13,"System.String",string
proto,14,"System.Int32",int
"dst_port",15,"System.Int32",int
"flow_count",16,"System.Int32",int
dir,17,"System.String",string
"org_id",18,"System.Int32",int
state,19,"System.String",string
"pd_qualifier",20,"System.Int32",int
pd,21,"System.Int32",int
"src_hostname",22,"System.String",string
"src_href",23,"System.String",string
"dst_hostname",24,"System.String",string
"dst_href",25,"System.String",string
network,26,"System.String",string
"src_labels",27,"System.Object",dynamic
"dst_labels",28,"System.Object",dynamic
"interval_sec",29,"System.Int32",int
"pce_fqdn",30,"System.String",string
version,31,"System.Int32",int
TenantId,32,"System.String",string
Type,33,"System.String",string
"_ResourceId",34,"System.String",string
