TenantId,SourceSystem,"TimeGenerated [UTC]",Computer,"EventTime [UTC]",Facility,HostName,SeverityLevel,SyslogMessage,ProcessID,HostIP,ProcessName,MG,CollectorHostName,Type,"_ResourceId"
"00000000-0000-0000-000000000000",Linux,"7/28/2023, 8:07:14.552 PM",Zabbix,"7/28/2023, 8:07:14.000 PM",authpriv,Zabbix,info,"group added to /etc/group: name=ntp, GID=127",100934,"Unknown IP",groupadd,"00000000-0000-0000-0000-000000000002",,Syslog,"/subscriptions/00000000-0000-0000-000000000000/resourcegroups/col/providers/microsoft.compute/virtualmachines/col1"
"00000000-0000-0000-000000000000",Linux,"7/28/2023, 8:07:14.562 PM",Zabbix,"7/28/2023, 8:07:14.000 PM",authpriv,Zabbix,info,"group added to /etc/gshadow: name=ntp",100934,"Unknown IP",groupadd,"00000000-0000-0000-0000-000000000002",,Syslog,"/subscriptions/00000000-0000-0000-000000000000/resourcegroups/col/providers/microsoft.compute/virtualmachines/col1"
"00000000-0000-0000-000000000000",Linux,"7/28/2023, 8:07:14.651 PM",Zabbix,"7/28/2023, 8:07:14.000 PM",authpriv,Zabbix,info,"new group: name=ntp, GID=127",100934,"Unknown IP",groupadd,"00000000-0000-0000-0000-000000000002",,Syslog,"/subscriptions/00000000-0000-0000-000000000000/resourcegroups/col/providers/microsoft.compute/virtualmachines/col1"
"00000000-0000-0000-000000000000",Linux,"7/28/2023, 8:07:14.751 PM",Zabbix,"7/28/2023, 8:07:14.000 PM",authpriv,Zabbix,info,"new user: name=ntp, UID=117, GID=127, home=/nonexistent, shell=/usr/sbin/nologin, from=/dev/pts/2",100941,"Unknown IP",useradd,"00000000-0000-0000-0000-000000000002",,Syslog,"/subscriptions/00000000-0000-0000-000000000000/resourcegroups/col/providers/microsoft.compute/virtualmachines/col1"
"00000000-0000-0000-000000000000",Linux,"7/28/2023, 8:07:14.872 PM",Zabbix,"7/28/2023, 8:07:14.000 PM",authpriv,Zabbix,info,"change user 'ntp' password",100948,"Unknown IP",usermod,"00000000-0000-0000-0000-000000000002",,Syslog,"/subscriptions/00000000-0000-0000-000000000000/resourcegroups/col/providers/microsoft.compute/virtualmachines/col1"
"00000000-0000-0000-000000000000",Linux,"7/28/2023, 8:07:17.842 PM",Zabbix,"7/28/2023, 8:07:17.000 PM",authpriv,Zabbix,info,"group added to /etc/group: name=rdma, GID=128",101220,"Unknown IP",groupadd,"00000000-0000-0000-0000-000000000002",,Syslog,"/subscriptions/00000000-0000-0000-000000000000/resourcegroups/col/providers/microsoft.compute/virtualmachines/col1"
"00000000-0000-0000-000000000000",Linux,"7/28/2023, 8:07:17.852 PM",Zabbix,"7/28/2023, 8:07:17.000 PM",authpriv,Zabbix,info,"group added to /etc/gshadow: name=rdma",101220,"Unknown IP",groupadd,"00000000-0000-0000-0000-000000000002",,Syslog,"/subscriptions/00000000-0000-0000-000000000000/resourcegroups/col/providers/microsoft.compute/virtualmachines/col1"
"00000000-0000-0000-000000000000",Linux,"7/28/2023, 8:07:17.901 PM",Zabbix,"7/28/2023, 8:07:17.000 PM",authpriv,Zabbix,info,"new group: name=rdma, GID=128",101220,"Unknown IP",groupadd,"00000000-0000-0000-0000-000000000002",,Syslog,"/subscriptions/00000000-0000-0000-000000000000/resourcegroups/col/providers/microsoft.compute/virtualmachines/col1"
"00000000-0000-0000-000000000000",Linux,"7/28/2023, 8:07:19.887 PM",Zabbix,"7/28/2023, 8:07:19.000 PM",authpriv,Zabbix,info,"group added to /etc/group: name=sssd, GID=129",101347,"Unknown IP",groupadd,"00000000-0000-0000-0000-000000000002",,Syslog,"/subscriptions/00000000-0000-0000-000000000000/resourcegroups/col/providers/microsoft.compute/virtualmachines/col1"
"00000000-0000-0000-000000000000",Linux,"7/28/2023, 8:07:19.897 PM",Zabbix,"7/28/2023, 8:07:19.000 PM",authpriv,Zabbix,info,"group added to /etc/gshadow: name=sssd",101347,"Unknown IP",groupadd,"00000000-0000-0000-0000-000000000002",,Syslog,"/subscriptions/00000000-0000-0000-000000000000/resourcegroups/col/providers/microsoft.compute/virtualmachines/col1"
"00000000-0000-0000-000000000000",Linux,"7/28/2023, 8:07:19.945 PM",Zabbix,"7/28/2023, 8:07:19.000 PM",authpriv,Zabbix,info,"new group: name=sssd, GID=129",101347,"Unknown IP",groupadd,"00000000-0000-0000-0000-000000000002",,Syslog,"/subscriptions/00000000-0000-0000-000000000000/resourcegroups/col/providers/microsoft.compute/virtualmachines/col1"
"00000000-0000-0000-000000000000",Linux,"7/28/2023, 8:07:19.998 PM",Zabbix,"7/28/2023, 8:07:19.000 PM",authpriv,Zabbix,info,"new user: name=sssd, UID=118, GID=129, home=/var/lib/sss, shell=/usr/sbin/nologin, from=/dev/pts/2",101353,"Unknown IP",useradd,"00000000-0000-0000-0000-000000000002",,Syslog,"/subscriptions/00000000-0000-0000-000000000000/resourcegroups/col/providers/microsoft.compute/virtualmachines/col1"
"00000000-0000-0000-000000000000",Linux,"7/28/2023, 8:07:20.121 PM",Zabbix,"7/28/2023, 8:07:20.000 PM",authpriv,Zabbix,info,"change user 'sssd' password",101360,"Unknown IP",usermod,"00000000-0000-0000-0000-000000000002",,Syslog,"/subscriptions/00000000-0000-0000-000000000000/resourcegroups/col/providers/microsoft.compute/virtualmachines/col1"
"00000000-0000-0000-000000000000",Linux,"7/28/2023, 8:07:29.121 PM",Zabbix,"7/28/2023, 8:07:29.000 PM",authpriv,Zabbix,info,"group added to /etc/group: name=sambashare, GID=130",102050,"Unknown IP",groupadd,"00000000-0000-0000-0000-000000000002",,Syslog,"/subscriptions/00000000-0000-0000-000000000000/resourcegroups/col/providers/microsoft.compute/virtualmachines/col1"
"00000000-0000-0000-000000000000",Linux,"7/28/2023, 8:07:29.130 PM",Zabbix,"7/28/2023, 8:07:29.000 PM",authpriv,Zabbix,info,"group added to /etc/gshadow: name=sambashare",102050,"Unknown IP",groupadd,"00000000-0000-0000-0000-000000000002",,Syslog,"/subscriptions/00000000-0000-0000-000000000000/resourcegroups/col/providers/microsoft.compute/virtualmachines/col1"
"00000000-0000-0000-000000000000",Linux,"7/28/2023, 8:07:29.179 PM",Zabbix,"7/28/2023, 8:07:29.000 PM",authpriv,Zabbix,info,"new group: name=sambashare, GID=130",102050,"Unknown IP",groupadd,"00000000-0000-0000-0000-000000000002",,Syslog,"/subscriptions/00000000-0000-0000-000000000000/resourcegroups/col/providers/microsoft.compute/virtualmachines/col1"
"00000000-0000-0000-000000000000",Linux,"7/29/2023, 9:16:40.158 PM",Zabbix,"7/29/2023, 9:16:39.000 PM",authpriv,Zabbix,info,"change user name 'BadUser' to 'baduser2'",152237,"Unknown IP",usermod,"00000000-0000-0000-0000-000000000002",,Syslog,"/subscriptions/00000000-0000-0000-000000000000/resourcegroups/col/providers/microsoft.compute/virtualmachines/col1"
"00000000-0000-0000-000000000000",Linux,"7/29/2023, 9:17:07.439 PM",Zabbix,"7/29/2023, 9:17:06.000 PM",authpriv,Zabbix,info,"group changed in /etc/group (group BadUser/1002, new name: baduser2)",152263,"Unknown IP",groupmod,"00000000-0000-0000-0000-000000000002",,Syslog,"/subscriptions/00000000-0000-0000-000000000000/resourcegroups/col/providers/microsoft.compute/virtualmachines/col1"
"00000000-0000-0000-000000000000",Linux,"7/29/2023, 9:17:07.447 PM",Zabbix,"7/29/2023, 9:17:06.000 PM",authpriv,Zabbix,info,"group changed in /etc/gshadow (group BadUser, new name: baduser2)",152263,"Unknown IP",groupmod,"00000000-0000-0000-0000-000000000002",,Syslog,"/subscriptions/00000000-0000-0000-000000000000/resourcegroups/col/providers/microsoft.compute/virtualmachines/col1"
"00000000-0000-0000-000000000000",Linux,"7/29/2023, 9:17:38.905 PM",Zabbix,"7/29/2023, 9:17:37.000 PM",authpriv,Zabbix,info,"change user 'baduser2' home from '/home/BadUser' to '/tmp/baduser2'",152281,"Unknown IP",usermod,"00000000-0000-0000-0000-000000000002",,Syslog,"/subscriptions/00000000-0000-0000-000000000000/resourcegroups/col/providers/microsoft.compute/virtualmachines/col1"
"00000000-0000-0000-000000000000",Linux,"7/29/2023, 9:17:51.214 PM",Zabbix,"7/29/2023, 9:17:50.000 PM",authpriv,Zabbix,info,"change user 'baduser2' home from '/tmp/baduser2' to '/home/baduser2'",152292,"Unknown IP",usermod,"00000000-0000-0000-0000-000000000002",,Syslog,"/subscriptions/00000000-0000-0000-000000000000/resourcegroups/col/providers/microsoft.compute/virtualmachines/col1"
"00000000-0000-0000-000000000000",Linux,"7/29/2023, 9:14:28.247 PM",Zabbix,"7/29/2023, 9:14:27.000 PM",authpriv,Zabbix,info,"group added to /etc/group: name=testuser, GID=1001",152130,"Unknown IP",groupadd,"00000000-0000-0000-0000-000000000002",,Syslog,"/subscriptions/00000000-0000-0000-000000000000/resourcegroups/col/providers/microsoft.compute/virtualmachines/col1"
"00000000-0000-0000-000000000000",Linux,"7/29/2023, 9:14:28.256 PM",Zabbix,"7/29/2023, 9:14:27.000 PM",authpriv,Zabbix,info,"group added to /etc/gshadow: name=testuser",152130,"Unknown IP",groupadd,"00000000-0000-0000-0000-000000000002",,Syslog,"/subscriptions/00000000-0000-0000-000000000000/resourcegroups/col/providers/microsoft.compute/virtualmachines/col1"
