TenantId,SourceSystem,MG,ManagementGroupName,TimeGenerated [UTC],Computer,RawData,old_permission_s,team_s,config_was_content_type_s,config_was_insecure_ssl_s,config_was_url_s,completed_at_t [UTC],conclusion_s,event_s,head_branch_s,head_sha_s,run_attempt_d,run_number_d,started_at_t [UTC],topic_s,trigger_id_d,workflow_id_d,workflow_run_id_d,environment_name_s,is_hosted_runner_b,job_name_s,job_workflow_ref_s,runner_group_id_d,runner_group_name_s,runner_id_d,runner_labels_s,runner_name_s,secrets_passed_s,hashed_token_s,programmatic_access_type_s,token_id_d,active_b,config_content_type_s,config_insecure_ssl_s,config_url_s,events_s,hook_id_d,name_s,pull_request_id_d,pull_request_title_s,pull_request_url_s,new_repo_permission_s,old_permissions_admin_b,old_permissions_maintain_b,old_permissions_pull_b,old_permissions_push_b,old_permissions_triage_b,old_repo_base_role_s,old_repo_permission_s,permission_s,user_s,user_id_d,visibility_s,invitee_s,inviter_s,public_repo_b,repo_s,repo_id_d,_timestamp_d,_document_id_s,action_s,actor_s,actor_id_d,actor_ip_s,actor_is_bot_b,actor_location_country_code_s,business_s,business_id_d,created_at_d,operation_type_s,org_s,org_id_d,repository_selection_s,user_agent_s,user_programmatic_access_name_s,Type,_ResourceId
b499d0bd-dca7-4f36-b128-241950309a01,OpsManager,,,"4/8/2024, 10:02:58.763 AM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1811724928,Raising a PR for GithubWebhook AuditEvent Parser,https://github.com/x-sentinellabs/Azure-Sentinel/pull/4,,,,,,,,,,gokulkate96,163239217,,,,TRUE,x-sentinellabs/Azure-Sentinel,775495567,1.71257E+12,KfN68EepDXmJkjG0JC0P7w,pull_request.create,gokulkate96,163239217,,FALSE,,accenturelabs,134172,1.71257E+12,create,x-sentinellabs,163237012,,"Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36",,GitHubAuditLogPolling_CL,
b499d0bd-dca7-4f36-b128-241950309a01,OpsManager,,,"4/8/2024, 12:32:49.433 PM",,,read,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,admin,gokulkate96,163239217,,,,,,,1.71258E+12,0X_Y9XlC8y2_2NzIf50vHg,org.update_member,siteshjha11,13924979,49.47.132.48,FALSE,IN,accenturelabs,134172,1.71258E+12,modify,x-sentinellabs,163237012,,"Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36 Edg/123.0.0.0",,GitHubAuditLogPolling_CL,
b499d0bd-dca7-4f36-b128-241950309a01,OpsManager,,,"3/24/2024, 3:19:07.342 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.71129E+12,88exs6h9cwyx-y5In5Oqdg,personal_access_token.access_granted,siteshjha11,13924979,49.47.132.48,FALSE,IN,accenturelabs,134172,1.71129E+12,create,x-sentinellabs,163237012,none,"Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 Edg/122.0.0.0",azlabtoken,GitHubAuditLogPolling_CL,
b499d0bd-dca7-4f36-b128-241950309a01,OpsManager,,,"3/24/2024, 3:19:07.342 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.71129E+12,7Ce6eDUHzfzs1Rc5KEq7fQ,personal_access_token.request_created,siteshjha11,13924979,49.47.132.48,FALSE,IN,accenturelabs,134172,1.71129E+12,create,x-sentinellabs,163237012,none,"Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 Edg/122.0.0.0",azlabtoken,GitHubAuditLogPolling_CL,
b499d0bd-dca7-4f36-b128-241950309a01,OpsManager,,,"4/8/2024, 10:32:50.281 AM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1811724928,Raising a PR for GithubWebhook AuditEvent Parser,https://github.com/x-sentinellabs/Azure-Sentinel/pull/4,,,,,,,,,,gokulkate96,163239217,,,,TRUE,x-sentinellabs/Azure-Sentinel,775495567,1.71257E+12,YVuhFvuagGGrogLMbF5TCw,pull_request.merge,sudhanshu2506,60221216,,FALSE,,accenturelabs,134172,1.71257E+12,modify,x-sentinellabs,163237012,,"Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36",,GitHubAuditLogPolling_CL,
b499d0bd-dca7-4f36-b128-241950309a01,OpsManager,,,"4/8/2024, 10:32:50.281 AM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1811724928,Raising a PR for GithubWebhook AuditEvent Parser,https://github.com/x-sentinellabs/Azure-Sentinel/pull/4,,,,,,,,,,,,,,,TRUE,x-sentinellabs/Azure-Sentinel,775495567,1.71257E+12,WcX5TgpSMS-oBMA3qBLcyA,pull_request_review.submit,sudhanshu2506,60221216,,FALSE,,accenturelabs,134172,1.71257E+12,modify,x-sentinellabs,163237012,,"Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36",,GitHubAuditLogPolling_CL,
b499d0bd-dca7-4f36-b128-241950309a01,OpsManager,,,"4/1/2024, 1:17:49.797 PM",,,,,,,,"4/1/2024, 1:04:00.000 PM",success,push,gitwebhook,3f6580a78b7c16df33a344f9d12c22a6420ccf78,1,4,"4/1/2024, 1:03:39.000 PM",cp1-iad.ingest.github.actions.v0.WorkflowUpdate,17517465730,89458399,8508420404,,,,,,,,,,,,,,,,,,,,Proof HTML,,,,,,,,,,,,,,,,,,FALSE,x-sentinellabs/demo-repository,771348876,1.71198E+12,NVj3HsDibN5X1RY83gWDSg,workflows.completed_workflow_run,sudhanshu2506,60221216,,FALSE,,accenturelabs,134172,1.71198E+12,modify,x-sentinellabs,163237012,,,,GitHubAuditLogPolling_CL,
b499d0bd-dca7-4f36-b128-241950309a01,OpsManager,,,"4/1/2024, 1:17:49.797 PM",,,,,,,,,,,,,,,,,,,8508420404,,TRUE,build,x-sentinellabs/demo-repository/.github/workflows/proof-html.yml@refs/heads/gitwebhook,0,,0,"[""ubuntu-latest""]",,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,x-sentinellabs/demo-repository,771348876,1.71198E+12,4003:219C26:104AB2D:1F5ED58:660AB0AF,workflows.prepared_workflow_job,,,,,,accenturelabs,134172,1.71198E+12,modify,x-sentinellabs,163237012,,,,GitHubAuditLogPolling_CL,
b499d0bd-dca7-4f36-b128-241950309a01,OpsManager,,,"4/1/2024, 1:17:49.797 PM",,,,,,,,,,push,gitwebhook,3f6580a78b7c16df33a344f9d12c22a6420ccf78,,4,"4/1/2024, 1:03:39.000 PM",,17517465730,89458399,8508420404,,,,,,,,,,,hzVx94UseVPQTGcvopYfY3i31ovx/LEPiyzAO0Cub9s=,GitHub App server-to-server token,86984218957,,,,,,,Proof HTML,,,,,,,,,,,,,,,,,,FALSE,x-sentinellabs/demo-repository,771348876,1.71198E+12,OgCBtwZJH_-AUlodCYOv6w,workflows.created_workflow_run,sudhanshu2506,60221216,,FALSE,,accenturelabs,134172,1.71198E+12,create,x-sentinellabs,163237012,,launch/production,,GitHubAuditLogPolling_CL,
b499d0bd-dca7-4f36-b128-241950309a01,OpsManager,,,"4/1/2024, 11:02:50.685 AM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,json,0,https://fngithubwebhookg6mdpxk7siciw.azurewebsites.net,"[""*""]",469997666,webhook,,,,,,,,,,,,,,,,,,,,,1.71197E+12,E5VbUTSDtuuRUzO4qfoVTA,hook.create,sudhanshu2506,60221216,,FALSE,,accenturelabs,134172,1.71197E+12,create,x-sentinellabs,163237012,,"Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36",,GitHubAuditLogPolling_CL,
