TenantId,TimeGenerated,SourceSystem,Account,AccountType,Computer,EventSourceName,Channel,Task,Level,EventData,EventID,Activity,PartitionKey,RowKey,StorageAccount,AzureDeploymentID,AzureTableName,AccessList,AccessMask,AccessReason,AccountDomain,AccountExpires,AccountName,AccountSessionIdentifier,AdditionalInfo,AdditionalInfo2,AllowedToDelegateTo,Attributes,AuditPolicyChanges,AuditsDiscarded,AuthenticationLevel,AuthenticationPackageName,AuthenticationProvider,AuthenticationServer,AuthenticationService,AuthenticationType,CACertificateHash,CalledStationID,CallerProcessId,CallerProcessName,CallingStationID,CAPublicKeyHash,CategoryId,CertificateDatabaseHash,ClassId,ClassName,ClientAddress,ClientIPAddress,ClientName,CommandLine,CompatibleIds,DCDNSName,DeviceDescription,DeviceId,DisplayName,Disposition,DomainBehaviorVersion,DomainName,DomainPolicyChanged,DomainSid,EAPType,ElevatedToken,ErrorCode,ExtendedQuarantineState,FailureReason,FileHash,FilePath,FilePathNoUser,Filter,ForceLogoff,Fqbn,FullyQualifiedSubjectMachineName,FullyQualifiedSubjectUserName,GroupMembership,HandleId,HardwareIds,HomeDirectory,HomePath,ImpersonationLevel,InterfaceUuid,IpAddress,IpPort,KeyLength,LmPackageName,LocationInformation,LockoutDuration,LockoutObservationWindow,LockoutThreshold,LoggingResult,LogonGuid,LogonHours,LogonID,LogonProcessName,LogonType,LogonTypeName,MachineAccountQuota,MachineInventory,MachineLogon,MandatoryLabel,MaxPasswordAge,MemberName,MemberSid,MinPasswordAge,MinPasswordLength,MixedDomainMode,NASIdentifier,NASIPv4Address,NASIPv6Address,NASPort,NASPortType,NetworkPolicyName,NewDate,NewMaxUsers,NewProcessId,NewProcessName,NewRemark,NewShareFlags,NewTime,NewUacValue,NewValue,NewValueType,ObjectName,ObjectServer,ObjectType,ObjectValueName,OemInformation,OldMaxUsers,OldRemark,OldShareFlags,OldUacValue,OldValue,OldValueType,OperationType,PackageName,ParentProcessName,PasswordHistoryLength,PasswordLastSet,PasswordProperties,PreviousDate,PreviousTime,PrimaryGroupId,PrivateKeyUsageCount,PrivilegeList,Process,ProcessId,ProcessName,Properties,ProfilePath,ProtocolSequence,ProxyPolicyName,QuarantineHelpURL,QuarantineSessionID,QuarantineSessionIdentifier,QuarantineState,QuarantineSystemHealthResult,RelativeTargetName,RemoteIpAddress,RemotePort,Requester,RequestId,RestrictedAdminMode,RowsDeleted,SamAccountName,ScriptPath,SecurityDescriptor,ServiceAccount,ServiceFileName,ServiceName,ServiceStartType,ServiceType,SessionName,ShareLocalPath,ShareName,SidHistory,Status,SubjectAccount,SubcategoryGuid,SubcategoryId,Subject,SubjectDomainName,SubjectKeyIdentifier,SubjectLogonId,SubjectMachineName,SubjectMachineSID,SubjectUserName,SubjectUserSid,SubStatus,TableId,TargetAccount,TargetDomainName,TargetInfo,TargetLinkedLogonId,TargetLogonGuid,TargetLogonId,TargetOutboundDomainName,TargetOutboundUserName,TargetServerName,TargetSid,TargetUser,TargetUserName,TargetUserSid,TemplateContent,TemplateDSObjectFQDN,TemplateInternalName,TemplateOID,TemplateSchemaVersion,TemplateVersion,TokenElevationType,TransmittedServices,UserAccountControl,UserParameters,UserPrincipalName,UserWorkstations,VirtualAccount,VendorIds,Workstation,WorkstationName,EventLevelName,SourceComputerId,EventOriginId,MG,TimeCollected,ManagementGroupName,SystemUserId,Version,Opcode,Keywords,Correlation,SystemProcessId,SystemThreadId,EventRecordId,Type,_ResourceId,ParentProcessId
12345aea-6210-464b-a6dd-49f0fd95cef0,6/19/2025 21:42,OpsManager,test001$,Machine,test001,Microsoft-Windows-Security-Auditing,Security,13312,0,-,4663,4688 - A new process has been created.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,/k echo {a297d6a6-4af6-11f0-9842-6045bd808a49},-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,00000000-0000-0000-0000-000000000001,-,-,-,-,-,-,-,-,-,00000000-0000-0000-0000-000000000001,-,-,-,-,-,-,-,-,S-1-16-01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0x426c8,C:\Windows\System32\cmd.exe,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,C:\Program Files\test\testfile1.exe,-,-,-,-,-,-,-,-,cmd.exe,0x33ed4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,test001,00000000-0000-0000-0000-000000000001,-,-,WORKGROUP,-,0x3e7,-,-,test001$,S-1-5-18,-,-,-\-,-,-,-,00000000-0000-0000-0000-000000000001,0x0,-,-,-,-,-,-,S-1-0-0,-,-,-,-,-,-,%%1936,-,-,-,-,-,-,-,-,-,LogAlways,1ec8c28f-8049-4da6-a06a-263f5767208b,142a7d67-f7ca-4ebd-aa53-ddd02146a0ab,00000000-0000-0000-0000-000000000001,6/19/2025 21:42,Test-47c8c23b-93e7-423a-ab36-7076329cfcce,test1,2,0,0x8020000000000000,-,4,10,123,SecurityEvent,testresourceid,0x34222
12345aea-6210-464b-a6dd-49f0fd95cef0,6/19/2025 21:42,OpsManager,S-1-5-02,User,test001,Microsoft-Windows-AppLocker,Microsoft-Windows-AppLocker/EXE and DLL,0,4,"<UserData xmlns=""http://schemas.microsoft.com/win/2004/08/events/event"">
  <RuleAndFileData xmlns=""http://schemas.microsoft.com/schemas/event/Microsoft.Windows/1.0.0.0"">
    <PolicyNameLength>1</PolicyNameLength>
    <PolicyName>EXE</PolicyName>
    <RuleId>{caf6ec4c-22ae-4f7b-852b-65dd67c14f2f}</RuleId>
    <RuleNameLength>11</RuleNameLength>
    <RuleName>(Default Rule) All Exe's</RuleName>
    <RuleSddlLength>22</RuleSddlLength>
    <RuleSddl>D:(XA;;FX;;;S-1-1-0;(APPID://PATH Contains ""*""))</RuleSddl>
    <TargetUser>S-1-5-12</TargetUser>
    <TargetProcessId>12</TargetProcessId>
    <FilePathLength>12</FilePathLength>
    <FilePath>%SYSTEM32%\CMD.EXE</FilePath>
    <FileHashLength>12</FileHashLength>
    <FileHash>5F10D08805D4EEE36337C8111F0D82191A4D58D24EA2FF2E522A95A5D6E5B73</FileHash>
    <FqbnLength>12</FqbnLength>
    <Fqbn>O=TEST CORPORATION, L=Urgentina, S=Spain, C=test\test.EXE\1.0.0.2</Fqbn>
    <TargetLogonId>0x3e7</TargetLogonId>
    <FullFilePathLength>1</FullFilePathLength>
    <FullFilePath>C:\Windows\system32\cmd.exe</FullFilePath>
  </RuleAndFileData>
</UserData>",4663,8002 - A process was allowed to run.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1F98D08805D4EEE36337C81914F0D82191A4D58D24EA2FF2E522A95A5D6E5B71,%SYSTEM32%\CMD.EXE,-,-,-,"O=TEST CORPORATION, L=Urgentina, S=YOKOHAMA, C=test\CMD.EXE\1.0.0.0",-,-,-,-,-,-,-,-,00000000-0000-0000-0000-000000000002,-,-,-,-,-,-,-,-,-,00000000-0000-0000-0000-000000000002,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,CMD.EXE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,00000000-0000-0000-0000-000000000002,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,00000000-0000-0000-0000-000000000002,-,-,-,-,-,S-1-5-10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Informational,1ec8c28f-8049-4da6-a06a-263f5767208b,242a7d67-f7ca-4ebd-aa53-ddd02146a0ac,00000000-0000-0000-0000-000000000001,6/19/2025 21:42,Test-47c8c23b-93e7-423a-ab36-7076329cfcce,test2,0,0,0x8000000000000000,-,212692,11,124,SecurityEvent,testresourceid,
12345aea-6210-464b-a6dd-49f0fd95cef0,6/19/2025 18:55,OpsManager,test001$,Machine,test001,Microsoft-Windows-Security-Auditing,Security,13312,0,-,4663,4688 - A new process has been created.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,C:\Windows\system32\test1.exe,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,00000000-0000-0000-0000-000000000003,-,-,-,-,-,-,-,-,-,00000000-0000-0000-0000-000000000003,-,-,-,-,-,-,-,-,S-1-16-02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0x4103c,C:\Windows\System32\appidcertstorecheck.exe,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,C:\Windows\System32\svchost.exe,-,-,-,-,-,-,-,-,CMD.EXE,0x738,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,test002,00000000-0000-0000-0000-000000000003,-,-,WORKGROUP,-,0x3e7,-,-,test001$,S-1-5-18,-,-,NT AUTHORITY\LOCAL SERVICE,NT AUTHORITY,-,-,00000000-0000-0000-0000-000000000003,0x3e5,-,-,-,-,-,LOCAL SERVICE,S-1-0-1,-,-,-,-,-,-,%%1936,-,-,-,-,-,-,-,-,-,LogAlways,1ec8c28f-8049-4da6-a06a-263f5767208b,342a7d67-f7ca-4ebd-aa53-ddd02146a0ad,00000000-0000-0000-0000-000000000001,6/19/2025 18:55,Test-47c8c23b-93e7-423a-ab36-7076329cfcce,test3,2,0,0x8020000000000000,-,4,12,125,SecurityEvent,testresourceid,
12345aea-6210-464b-a6dd-49f0fd95cef0,6/19/2025 18:55,OpsManager,NT AUTHORITY\LOCAL SERVICE,Machine,test001,Microsoft-Windows-Security-Auditing,Security,13312,0,-,4663,4688 - A new process has been created.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,C:\Windows\system32\test1.exe,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,00000000-0000-0000-0000-000000000004,-,-,-,-,-,-,-,-,-,00000000-0000-0000-0000-000000000004,-,-,-,-,-,-,-,-,S-1-16-03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0x2a7d4,C:\Windows\System32\conhost.exe,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,C:\Windows\System32\test12.exe,-,-,-,-,-,-,-,-,CMD.EXE,0x4103c,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,test003,00000000-0000-0000-0000-000000000004,-,-,NT AUTHORITY,-,0x3e5,-,-,LOCAL SERVICE,S-1-5-19,-,-,-\-,-,-,-,00000000-0000-0000-0000-000000000004,0x0,-,-,-,-,-,-,S-1-0-0,-,-,-,-,-,-,%%1936,-,-,-,-,-,-,-,-,-,LogAlways,1ec8c28f-8049-4da6-a06a-263f5767208b,442a7d67-f7ca-4ebd-aa53-ddd02146a0ae,00000000-0000-0000-0000-000000000001,6/19/2025 18:55,Test-47c8c23b-93e7-423a-ab36-7076329cfcce,test4,2,0,0x8020000000000000,-,4,13,126,SecurityEvent,testresourceid,
12345aea-6210-464b-a6dd-49f0fd95cef0,6/19/2025 18:55,OpsManager,S-1-5-01,User,test001,Microsoft-Windows-AppLocker,Microsoft-Windows-AppLocker/EXE and DLL,0,4,"<UserData xmlns=""http://schemas.microsoft.com/win/2004/08/events/event"">
  <RuleAndFileData xmlns=""http://schemas.microsoft.com/schemas/event/Microsoft.Windows/1.0.0.0"">
    <PolicyNameLength>3</PolicyNameLength>
    <PolicyName>EXE</PolicyName>
    <RuleId>{caf3ec4c-22ae-4f7b-852b-65dd67c14f2f}</RuleId>
    <RuleNameLength>12</RuleNameLength>
    <RuleName>(Default Rule) All Exe's</RuleName>
    <RuleSddlLength>48</RuleSddlLength>
    <RuleSddl>D:(XA;;FX;;;S-1-1-0;(APPID://PATH Contains ""*""))</RuleSddl>
    <TargetUser>S-1-5-01</TargetUser>
    <TargetProcessId>123</TargetProcessId>
    <FilePathLength>1</FilePathLength>
    <FilePath>%SYSTEM32%\test.exe</FilePath>
    <FileHashLength>1</FileHashLength>
    <FileHash>A1234567E1A6E8D2C324B2ADD762C63F1EA3FCABFFC9BD0E155CED010967465D</FileHash>
    <FqbnLength>131</FqbnLength>
    <Fqbn>O=TEST CORPORATION, L=Urgentina, S=WASHINGTON, C=test.EXE\1.0.0.1</Fqbn>
    <TargetLogonId>123</TargetLogonId>
    <FullFilePathLength>12</FullFilePathLength>
    <FullFilePath>C:\Windows\system32\test1.exe</FullFilePath>
  </RuleAndFileData>
</UserData>",4663,8002 - A process was allowed to run.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26026394E1A6E8D2C324B2ADD762C63F1EA3FCABFFC9BD0E155CED0109674652,%SYSTEM32%\TEST1.EXE,-,-,-,"O=TEST CORPORATION, L=Urgentina, S=YOKOHAMA, C=test\CMD.EXE\1.0.0.1",-,-,-,-,-,-,-,-,00000000-0000-0000-0000-000000000005,-,-,-,-,-,-,-,-,-,00000000-0000-0000-0000-000000000005,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,CMD.EXE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,00000000-0000-0000-0000-000000000005,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,00000000-0000-0000-0000-000000000005,-,-,-,-,-,S-1-5-11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Informational,1ec8c28f-8049-4da6-a06a-263f5767208b,542a7d67-f7ca-4ebd-aa53-ddd02146a0af,00000000-0000-0000-0000-000000000001,6/19/2025 18:55,Test-47c8c23b-93e7-423a-ab36-7076329cfcce,test5,0,0,0x8000000000000000,-,1848,14,127,SecurityEvent,testresourceid,
12345aea-6210-464b-a6dd-49f0fd95cef0,6/19/2025 18:55,OpsManager,S-1-5-01,User,test001,Microsoft-Windows-AppLocker,Microsoft-Windows-AppLocker/EXE and DLL,0,4,"<UserData xmlns=""http://schemas.microsoft.com/win/2004/08/events/event"">
  <RuleAndFileData xmlns=""http://schemas.microsoft.com/schemas/event/Microsoft.Windows/1.0.0.0"">
    <PolicyNameLength>3</PolicyNameLength>
    <PolicyName>EXE</PolicyName>
    <RuleId>{caf3ec4c-22ae-4f8b-852b-65dd67c14f2f}</RuleId>
    <RuleNameLength>11</RuleNameLength>
    <RuleName>(Default Rule) All Exe's</RuleName>
    <RuleSddlLength>12</RuleSddlLength>
    <RuleSddl>D:(XA;;FX;;;S-1-1-0;(APPID://PATH Contains ""*""))</RuleSddl>
    <TargetUser>S-1-5-33</TargetUser>
    <TargetProcessId>12</TargetProcessId>
    <FilePathLength>12</FilePathLength>
    <FilePath>%SYSTEM32%\test.EXE</FilePath>
    <FileHashLength>11</FileHashLength>
    <FileHash>A41D8C90C7FFE44FE68B7ED3DA2BE1E4CC90812AE0CBBCEDA7CB69997E046965</FileHash>
    <FqbnLength>119</FqbnLength>
    <Fqbn>O=TEST CORPORATION, L=Urgentina, S=Spain, C=test\test.EXE\10.0.17763.2628</Fqbn>
    <TargetLogonId>0x3e5</TargetLogonId>
    <FullFilePathLength>11</FullFilePathLength>
    <FullFilePath>\SystemRoot\System32\test.exe</FullFilePath>
  </RuleAndFileData>
</UserData>",4663,8002 - A process was allowed to run.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,341D8C70C7FFE44FE68B7ED3DA2BE1E4CC97612AE0CBBCEDA7CB69997E046963,%SYSTEM32%\TESTHOST.EXE,-,-,-,"O=TEST CORPORATION, L=Urgentina, S=YOKOHAMA, C=test\CMD.EXE\1.0.0.2",-,-,-,-,-,-,-,-,00000000-0000-0000-0000-000000000006,-,-,-,-,-,-,-,-,-,00000000-0000-0000-0000-000000000006,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,CMD.EXE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,00000000-0000-0000-0000-000000000006,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,00000000-0000-0000-0000-000000000006,-,-,-,-,-,S-1-5-12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Informational,1ec8c28f-8049-4da6-a06a-263f5767208b,642a7d67-f7ca-4ebd-aa53-ddd02146a0ag,00000000-0000-0000-0000-000000000001,6/19/2025 18:55,Test-47c8c23b-93e7-423a-ab36-7076329cfcce,test6,0,0,0x8000000000000000,-,266300,15,128,SecurityEvent,testresourceid,
12345aea-6210-464b-a6dd-49f0fd95cef0,6/19/2025 18:55,OpsManager,S-1-5-02,User,test001,Microsoft-Windows-AppLocker,Microsoft-Windows-AppLocker/EXE and DLL,0,4,"<UserData xmlns=""http://schemas.microsoft.com/win/2004/08/events/event"">
  <RuleAndFileData xmlns=""http://schemas.microsoft.com/schemas/event/Microsoft.Windows/1.0.0.0"">
    <PolicyNameLength>3</PolicyNameLength>
    <PolicyName>EXE</PolicyName>
    <RuleId>{caf2ec6c-22ae-4f7b-852b-65dd67c14f2f}</RuleId>
    <RuleNameLength>12</RuleNameLength>
    <RuleName>(Default Rule) All Exe's</RuleName>
    <RuleSddlLength>2</RuleSddlLength>
    <RuleSddl>D:(XA;;FX;;;S-1-1-0;(APPID://PATH Contains ""*""))</RuleSddl>
    <TargetUser>S-1-5-12</TargetUser>
    <TargetProcessId>11</TargetProcessId>
    <FilePathLength>11</FilePathLength>
    <FilePath>%PROGRAMFILES%\test\test.EXE</FilePath>
    <FileHashLength>12</FileHashLength>
    <FileHash>44550A6BB1FCE515BA8319FF558310E905FF3CAE4D19C3AD6F800569AC9615A6</FileHash>
    <FqbnLength>104</FqbnLength>
    <Fqbn>O=TEST CORPORATION, L=Urgentina, S=SPAIN, C=test\test.DLL\1.0.1.2</Fqbn>
    <TargetLogonId>0x3e7</TargetLogonId>
    <FullFilePathLength>11</FullFilePathLength>
    <FullFilePath>C:\Program Files (x86)\Microsoft\EdgeUpdate\test.exe</FullFilePath>
  </RuleAndFileData>
</UserData>",4663,8002 - A process was allowed to run.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,43880A6BB1FCE515BA8319FF558310E905FF3CAE4D19C3AD6F800569AC9615A4,%PROGRAMFILES%\TEST\EDGEUPDATE\TESTUPDATE.EXE,-,-,-,"O=TEST CORPORATION, L=Urgentina, S=YOKOHAMA, C=test\CMD.EXE\1.0.0.3",-,-,-,-,-,-,-,-,00000000-0000-0000-0000-000000000007,-,-,-,-,-,-,-,-,-,00000000-0000-0000-0000-000000000007,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,CMD.EXE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,00000000-0000-0000-0000-000000000007,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,00000000-0000-0000-0000-000000000007,-,-,-,-,-,S-1-5-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Informational,1ec8c28f-8049-4da6-a06a-263f5767208b,742a7d67-f7ca-4ebd-aa53-ddd02146a0ah,00000000-0000-0000-0000-000000000001,6/19/2025 18:55,Test-47c8c23b-93e7-423a-ab36-7076329cfcce,test7,0,0,0x8000000000000000,-,1848,16,129,SecurityEvent,testresourceid,
12345aea-6210-464b-a6dd-49f0fd95cef0,6/19/2025 18:55,OpsManager,test001$,Machine,test001,Microsoft-Windows-Security-Auditing,Security,13312,0,-,4663,4688 - A new process has been created.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,C:\Windows\system32\test1.exe,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,00000000-0000-0000-0000-000000000008,-,-,-,-,-,-,-,-,-,00000000-0000-0000-0000-000000000008,-,-,-,-,-,-,-,-,S-1-16-04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0xb0f8,C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,C:\Windows\System32\svchost.exe,-,-,-,-,-,-,-,-,CMD.EXE,0x738,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,test004,00000000-0000-0000-0000-000000000008,-,-,WORKGROUP,-,0x3e7,-,-,test001$,S-1-5-20,-,-,-\-,-,-,-,00000000-0000-0000-0000-000000000008,0x0,-,-,-,-,-,-,S-1-0-0,-,-,-,-,-,-,%%1936,-,-,-,-,-,-,-,-,-,LogAlways,1ec8c28f-8049-4da6-a06a-263f5767208b,842a7d67-f7ca-4ebd-aa53-ddd02146a0ai,00000000-0000-0000-0000-000000000001,6/19/2025 18:55,Test-47c8c23b-93e7-423a-ab36-7076329cfcce,test8,2,0,0x8020000000000000,-,4,17,130,SecurityEvent,testresourceid,
12345aea-6210-464b-a6dd-49f0fd95cef0,6/19/2025 18:55,OpsManager,test001$,Machine,test001,Microsoft-Windows-Security-Auditing,Security,13312,0,-,4663,4688 - A new process has been created.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,C:\Windows\system32\test1.exe,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,00000000-0000-0000-0000-000000000009,-,-,-,-,-,-,-,-,-,00000000-0000-0000-0000-000000000009,-,-,-,-,-,-,-,-,S-1-16-05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0x19ca0,C:\WindowsAzure\test\test2.exe,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,C:\WindowsAzure\test\test3.exe,-,-,-,-,-,-,-,-,CMD.EXE,0x3149c,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,test005,00000000-0000-0000-0000-000000000009,-,-,WORKGROUP,-,0x3e7,-,-,test001$,S-1-5-21,-,-,-\-,-,-,-,00000000-0000-0000-0000-000000000009,0x0,-,-,-,-,-,-,S-1-0-0,-,-,-,-,-,-,%%1936,-,-,-,-,-,-,-,-,-,LogAlways,1ec8c28f-8049-4da6-a06a-263f5767208b,942a7d67-f7ca-4ebd-aa53-ddd02146a0aj,00000000-0000-0000-0000-000000000001,6/19/2025 18:55,Test-47c8c23b-93e7-423a-ab36-7076329cfcce,test9,2,0,0x8020000000000000,-,4,18,131,SecurityEvent,testresourceid,
12345aea-6210-464b-a6dd-49f0fd95cef0,6/19/2025 18:55,OpsManager,test001$,Machine,test001,Microsoft-Windows-Security-Auditing,Security,13312,0,-,4663,4688 - A new process has been created.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,C:\Windows\system32\test1.exe,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,00000000-0000-0000-0000-000000000010,-,-,-,-,-,-,-,-,-,00000000-0000-0000-0000-000000000010,-,-,-,-,-,-,-,-,S-1-16-06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0x31840,C:\Windows\System32\testhost.exe,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,C:\WindowsAzure\test\test2.exe,-,-,-,-,-,-,-,-,CMD.EXE,0x19ca0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,test006,00000000-0000-0000-0000-000000000010,-,-,WORKGROUP,-,0x3e7,-,-,test001$,S-1-5-22,-,-,-\-,-,-,-,00000000-0000-0000-0000-000000000010,0x0,-,-,-,-,-,-,S-1-0-0,-,-,-,-,-,-,%%1936,-,-,-,-,-,-,-,-,-,LogAlways,1ec8c28f-8049-4da6-a06a-263f5767208b,042a7d67-f7ca-4ebd-aa53-ddd02146a0ak,00000000-0000-0000-0000-000000000001,6/19/2025 18:55,Test-47c8c23b-93e7-423a-ab36-7076329cfcce,test10,2,0,0x8020000000000000,-,4,19,132,SecurityEvent,testresourceid,
