ColumnName,ColumnOrdinal,DataType,ColumnType
TenantId,0,"System.String",string
SourceSystem,1,"System.String",string
MG,2,"System.String",string
ManagementGroupName,3,"System.String",string
TimeGenerated,4,"System.DateTime",datetime
Computer,5,"System.String",string
RawData,6,"System.String",string
"ListenAddresses_s",7,"System.String",string
"NAME_s",8,"System.String",string
"TTL_s",9,"System.String",string
"RDATA_s",10,"System.String",string
"ZoneScope_s",11,"System.String",string
"PropertyKey_s",12,"System.String",string
"NewValue_s",13,"System.String",string
"VirtualizationID_s",14,"System.String",string
"Name_s",15,"System.String",string
"Type_s",16,"System.String",string
"Lookup_s",17,"System.String",string
"ReplicationScope_s",18,"System.String",string
"ZoneFile_s",19,"System.String",string
"Reason_s",20,"System.String",string
"ParsedPacketData_dns_additional_s",21,"System.String",string
"QXID_s",22,"System.String",string
"RecursionDepth_s",23,"System.String",string
"RecursionScope_s",24,"System.String",string
"CacheScope_s",25,"System.String",string
"ParsedPacketData_dns_answer_s",26,"System.String",string
"QueriesAttached_s",27,"System.String",string
"SourceName_s",28,"System.String",string
"ProviderGuid_g",29,"System.String",string
"EventID_d",30,"System.Double",real
"Version_d",31,"System.Double",real
"ChannelID_d",32,"System.Double",real
"Channel_s",33,"System.String",string
"LevelValue_d",34,"System.Double",real
Level,35,"System.String",string
"OpcodeValue_d",36,"System.Double",real
"TaskValue_d",37,"System.Double",real
Category,38,"System.String",string
"Keywords_s",39,"System.String",string
"EventTime_t",40,"System.DateTime",datetime
"ExecutionProcessID_d",41,"System.Double",real
"ExecutionThreadID_d",42,"System.Double",real
"EventType_s",43,"System.String",string
"SeverityValue_d",44,"System.Double",real
"Severity_s",45,"System.String",string
"Hostname_s",46,"System.String",string
"Domain_s",47,"System.String",string
"AccountName_s",48,"System.String",string
"UserID_s",49,"System.String",string
"AccountType_s",50,"System.String",string
"Flags_s",51,"System.String",string
"TCP_s",52,"System.String",string
"InterfaceIP_s",53,"System.String",string
"Source_s",54,"System.String",string
"RD_s",55,"System.String",string
"QNAME_s",56,"System.String",string
"QTYPE_s",57,"System.String",string
"XID_s",58,"System.String",string
"Port_s",59,"System.String",string
"ParsedPacketData_dns_id_d",60,"System.Double",real
"ParsedPacketData_dns_flags_recursion_desired_s",61,"System.String",string
"ParsedPacketData_dns_flags_truncated_response_s",62,"System.String",string
"ParsedPacketData_dns_flags_authoritative_s",63,"System.String",string
"ParsedPacketData_dns_opcode_s",64,"System.String",string
"ParsedPacketData_dns_flags_query_or_response_s",65,"System.String",string
"ParsedPacketData_dns_response_code_s",66,"System.String",string
"ParsedPacketData_dns_flags_checking_disabled_s",67,"System.String",string
"ParsedPacketData_dns_flags_authentic_data_s",68,"System.String",string
"ParsedPacketData_dns_flags_recursion_available_s",69,"System.String",string
"ParsedPacketData_dns_query_s",70,"System.String",string
"PacketData_s",71,"System.String",string
"AdditionalInfo_s",72,"System.String",string
"GUID_g",73,"System.String",string
"EventReceivedTime_t",74,"System.DateTime",datetime
"SourceModuleName_s",75,"System.String",string
"SourceModuleType_s",76,"System.String",string
"HostIP_s",77,"System.String",string
"BufferSize_s",78,"System.String",string
"Destination_s",79,"System.String",string
"AA_s",80,"System.String",string
"AD_s",81,"System.String",string
"DNSSEC_s",82,"System.String",string
"RCODE_s",83,"System.String",string
"Scope_s",84,"System.String",string
"Zone_s",85,"System.String",string
"PolicyName_s",86,"System.String",string
"ParsedPacketData_dns_authority_s",87,"System.String",string
"ElapsedTime_s",88,"System.String",string
"GUID_s",89,"System.String",string
Type,90,"System.String",string
"_ResourceId",91,"System.String",string
