ColumnName,ColumnOrdinal,DataType,ColumnType
data,0,System.Object,dynamic
id,1,System.String,string
oracle,2,System.Object,dynamic
time_t,3,System.DateTime,datetime
TimeGenerated,4,System.DateTime,datetime
oracle_compartmentid_s,5,System.String,string
oracle_ingestedtime_t,6,System.DateTime,datetime
oracle_loggroupid_s,7,System.String,string
oracle_tenantid_s,8,System.String,string
oracle_logid_s,9,System.String,string
oracle_vniccompartmentocid_s,10,System.String,string
oracle_vnicocid_s,11,System.String,string
oracle_vnicsubnetocid_s,12,System.String,string
data_endTime_d,13,System.Int32,int
data_flowid_s,14,System.String,string
data_startTime_d,15,System.Int32,int
data_status_s,16,System.String,string
data_version_s,17,System.String,string
data_bytesOut_d,18,System.Int32,int
data_destinationAddress_s,19,System.String,string
data_destinationPort_d,20,System.Int32,int
data_packets_d,21,System.Int32,int
data_protocol_d,22,System.Int32,int
data_protocolName_s,23,System.String,string
data_sourceAddress_s,24,System.String,string
data_sourcePort_d,25,System.Int32,int
data_request_parameters_serviceName_s,26,System.String,string
data_request_parameters_vcnId_s,27,System.String,string
data_request_parameters_imageId_s,28,System.String,string
data_request_parameters_operatingSystem_s,29,System.String,string
data_request_parameters_operatingSystemVersion_s,30,System.String,string
data_request_parameters_shape_s,31,System.String,string
data_request_parameters_isMergeEnabled_s,32,System.String,string
data_identity_callerId_s,33,System.String,string
data_identity_callerName_s,34,System.String,string
data_request_headers_opc_obo_token_s,35,System.String,string
data_additionalDetails_imageId_s,36,System.String,string
data_additionalDetails_shape_s,37,System.String,string
data_additionalDetails_type_s,38,System.String,string
data_additionalDetails_volumeId_s,39,System.String,string
data_stateChange_current_systemTags_orcl_cloud_s,40,System.String,string
data_request_parameters_instanceId_s,41,System.String,string
data_request_headers_opc_retry_token_s,42,System.String,string
data_additionalDetails_isFreeTier_b,43,System.SByte,bool
data_stateChange_current_Instance_agentConfig_s,44,System.String,string
data_stateChange_current_Instance_availabilityConfig_s,45,System.String,string
data_stateChange_current_Instance_availabilityDomain_s,46,System.String,string
data_stateChange_current_Instance_compartmentId_s,47,System.String,string
data_stateChange_current_Instance_definedTags_s,48,System.String,string
data_response_headers_Content_Security_Policy_s,49,System.String,string
data_response_headers_Etag_s,50,System.String,string
data_response_headers_Opc_Request_Id_s,51,System.String,string
data_response_headers_Strict_Transport_Security_s,52,System.String,string
data_response_headers_X_Frame_Options_s,53,System.String,string
data_response_headers_X_Xss_Protection_s,54,System.String,string
data_stateChange_current_compartmentId_s,55,System.String,string
data_stateChange_current_definedTags_Oracle_Tags_s,56,System.String,string
data_stateChange_current_displayName_s,57,System.String,string
data_stateChange_current_id_s,58,System.String,string
data_stateChange_current_instanceId_s,59,System.String,string
data_stateChange_current_lifecycleDetails_s,60,System.String,string
data_stateChange_current_tenancyId_s,61,System.String,string
data_stateChange_current_timeUpdated_t,62,System.DateTime,datetime
data_stateChange_current_userDisplayName_s,63,System.String,string
data_request_headers_oci_splat_generated_ocids_s,64,System.String,string
data_response_headers_opc_work_request_id_s,65,System.String,string
data_stateChange_current_configuration_s,66,System.String,string
data_stateChange_current_definedTags_s,67,System.String,string
data_stateChange_current_freeformTags_s,68,System.String,string
data_stateChange_current_isEnabled_b,69,System.SByte,bool
data_stateChange_current_logGroupId_s,70,System.String,string
data_stateChange_current_logType_s,71,System.String,string
data_stateChange_current_retentionDuration_d,72,System.Double,real
data_stateChange_current_timeCreated_t,73,System.DateTime,datetime
