TimeGenerated,Computer,SyslogMessage,ProcessName,ProcessID,HostIP,Type,_ItemId,_ResourceId,_SubscriptionId
11/22/2025 10:15:30 AM,ssh-server-01.contoso.local,Accepted publickey for adminuser from 192.168.1.100 port 52234 ssh2,sshd,12345,10.0.1.50,Syslog,a1b2c3d4-e5f6-7890-1234-567890abcdef,/subscriptions/12345678-1234-1234-1234-123456789012/resourcegroups/rg-linux-servers/providers/microsoft.compute/virtualmachines/ssh-server-01,12345678-1234-1234-1234-123456789012
11/22/2025 10:16:45 AM,ssh-server-01.contoso.local,Accepted password for testuser from 192.168.1.101 port 52235 ssh2,sshd,12346,10.0.1.50,Syslog,b2c3d4e5-f6a7-8901-2345-678901bcdefg,/subscriptions/12345678-1234-1234-1234-123456789012/resourcegroups/rg-linux-servers/providers/microsoft.compute/virtualmachines/ssh-server-01,12345678-1234-1234-1234-123456789012
11/22/2025 10:17:20 AM,ssh-server-01.contoso.local,Failed password for invaliduser from 192.168.1.102 port 52236 ssh2,sshd,12347,10.0.1.50,Syslog,c3d4e5f6-a7b8-9012-3456-789012cdefgh,/subscriptions/12345678-1234-1234-1234-123456789012/resourcegroups/rg-linux-servers/providers/microsoft.compute/virtualmachines/ssh-server-01,12345678-1234-1234-1234-123456789012
11/22/2025 10:18:05 AM,ssh-server-01.contoso.local,Failed publickey for sshuser from 192.168.1.103 port 52237 ssh2,sshd,12348,10.0.1.50,Syslog,d4e5f6a7-b8c9-0123-4567-890123defghi,/subscriptions/12345678-1234-1234-1234-123456789012/resourcegroups/rg-linux-servers/providers/microsoft.compute/virtualmachines/ssh-server-01,12345678-1234-1234-1234-123456789012
11/22/2025 10:19:30 AM,ssh-server-01.contoso.local,Invalid user hacker from 192.168.1.104 port 52238,sshd,12349,10.0.1.50,Syslog,e5f6a7b8-c9d0-1234-5678-901234efghij,/subscriptions/12345678-1234-1234-1234-123456789012/resourcegroups/rg-linux-servers/providers/microsoft.compute/virtualmachines/ssh-server-01,12345678-1234-1234-1234-123456789012
11/22/2025 10:20:15 AM,ssh-server-01.contoso.local,"Timeout, client not responding from user adminuser 192.168.1.100 port 52234",sshd,12345,10.0.1.50,Syslog,f6a7b8c9-d0e1-2345-6789-012345fghijk,/subscriptions/12345678-1234-1234-1234-123456789012/resourcegroups/rg-linux-servers/providers/microsoft.compute/virtualmachines/ssh-server-01,12345678-1234-1234-1234-123456789012
11/22/2025 10:21:00 AM,ssh-server-01.contoso.local,reverse mapping checking getaddrinfo for badhost.example.com [192.168.1.105] failed - POSSIBLE BREAK-IN ATTEMPT!,sshd,12350,10.0.1.50,Syslog,a7b8c9d0-e1f2-3456-7890-123456ghijkl,/subscriptions/12345678-1234-1234-1234-123456789012/resourcegroups/rg-linux-servers/providers/microsoft.compute/virtualmachines/ssh-server-01,12345678-1234-1234-1234-123456789012
11/22/2025 10:22:30 AM,ssh-server-01.contoso.local,"Address 192.168.1.106 maps to suspicious-host.bad.net, but this does not map back to the address - POSSIBLE BREAK-IN ATTEMPT!",sshd,12351,10.0.1.50,Syslog,b8c9d0e1-f2a3-4567-8901-234567hijklm,/subscriptions/12345678-1234-1234-1234-123456789012/resourcegroups/rg-linux-servers/providers/microsoft.compute/virtualmachines/ssh-server-01,12345678-1234-1234-1234-123456789012
11/22/2025 10:23:45 AM,ssh-server-01.contoso.local,"Nasty PTR record ""malicious.example.com"" is set up for 192.168.1.107, ignoring",sshd,12352,10.0.1.50,Syslog,c9d0e1f2-a3b4-5678-9012-345678ijklmn,/subscriptions/12345678-1234-1234-1234-123456789012/resourcegroups/rg-linux-servers/providers/microsoft.compute/virtualmachines/ssh-server-01,12345678-1234-1234-1234-123456789012
11/22/2025 10:24:20 AM,ssh-server-01.contoso.local,message repeated 5 times: [ Failed password for testuser from 192.168.1.108 port 52239 ssh2],sshd,12353,10.0.1.50,Syslog,d0e1f2a3-b4c5-6789-0123-456789jklmno,/subscriptions/12345678-1234-1234-1234-123456789012/resourcegroups/rg-linux-servers/providers/microsoft.compute/virtualmachines/ssh-server-01,12345678-1234-1234-1234-123456789012
11/22/2025 10:25:50 AM,ssh-server-02.contoso.local,Accepted publickey for dbadmin from 10.20.30.40 port 45678 ssh2: RSA SHA256:abcdef1234567890,sshd,22345,10.0.1.51,Syslog,e1f2a3b4-c5d6-7890-1234-567890klmnop,/subscriptions/12345678-1234-1234-1234-123456789012/resourcegroups/rg-linux-servers/providers/microsoft.compute/virtualmachines/ssh-server-02,12345678-1234-1234-1234-123456789012
11/22/2025 10:26:30 AM,ssh-server-02.contoso.local,Failed none for emptyuser from 10.20.30.41 port 45679 ssh2,sshd,22346,10.0.1.51,Syslog,f2a3b4c5-d6e7-8901-2345-678901lmnopq,/subscriptions/12345678-1234-1234-1234-123456789012/resourcegroups/rg-linux-servers/providers/microsoft.compute/virtualmachines/ssh-server-02,12345678-1234-1234-1234-123456789012
11/22/2025 10:27:15 AM,ssh-server-02.contoso.local,Accepted none for guestuser from 10.20.30.42 port 45680 ssh2,sshd,22347,10.0.1.51,Syslog,a3b4c5d6-e7f8-9012-3456-789012mnopqr,/subscriptions/12345678-1234-1234-1234-123456789012/resourcegroups/rg-linux-servers/providers/microsoft.compute/virtualmachines/ssh-server-02,12345678-1234-1234-1234-123456789012
11/22/2025 10:28:00 AM,ssh-server-02.contoso.local,Invalid user  from 10.20.30.43 port 45681,sshd,22348,10.0.1.51,Syslog,b4c5d6e7-f8a9-0123-4567-890123nopqrs,/subscriptions/12345678-1234-1234-1234-123456789012/resourcegroups/rg-linux-servers/providers/microsoft.compute/virtualmachines/ssh-server-02,12345678-1234-1234-1234-123456789012
11/22/2025 10:29:30 AM,ssh-server-03.contoso.local,Accepted publickey for root from 172.16.10.1 port 33333 ssh2,sshd,32345,10.0.1.52,Syslog,c5d6e7f8-a9b0-1234-5678-901234opqrst,/subscriptions/12345678-1234-1234-1234-123456789012/resourcegroups/rg-linux-servers/providers/microsoft.compute/virtualmachines/ssh-server-03,12345678-1234-1234-1234-123456789012
11/22/2025 10:30:45 AM,ssh-server-03.contoso.local,Failed password for root from 172.16.10.2 port 33334 ssh2,sshd,32346,10.0.1.52,Syslog,d6e7f8a9-b0c1-2345-6789-012345pqrstu,/subscriptions/12345678-1234-1234-1234-123456789012/resourcegroups/rg-linux-servers/providers/microsoft.compute/virtualmachines/ssh-server-03,12345678-1234-1234-1234-123456789012
11/22/2025 10:31:20 AM,ssh-server-03.contoso.local,Accepted password for serviceaccount from 172.16.10.3 port 33335 ssh2,sshd,32347,10.0.1.52,Syslog,e7f8a9b0-c1d2-3456-7890-123456qrstuv,/subscriptions/12345678-1234-1234-1234-123456789012/resourcegroups/rg-linux-servers/providers/microsoft.compute/virtualmachines/ssh-server-03,12345678-1234-1234-1234-123456789012
11/22/2025 10:32:10 AM,ssh-server-03.contoso.local,message repeated 3 times: [ Failed publickey for deployuser from 172.16.10.4 port 33336 ssh2],sshd,32348,10.0.1.52,Syslog,f8a9b0c1-d2e3-4567-8901-234567rstuvw,/subscriptions/12345678-1234-1234-1234-123456789012/resourcegroups/rg-linux-servers/providers/microsoft.compute/virtualmachines/ssh-server-03,12345678-1234-1234-1234-123456789012
