ColumnName,ColumnOrdinal,DataType,ColumnType
TimeGenerated,0,"System.DateTime",datetime
DeviceVendor,1,"System.String",string
DeviceProduct,2,"System.String",string
DeviceVersion,3,"System.String",string
EventClassID,4,"System.String",string
EventMessage,5,"System.String",string
EventSeverity,6,"System.String",string
DestinationHostName,7,"System.String",string
DestinationMACAddress,8,"System.String",string
DestinationIP,9,"System.String",string
Protocol,10,"System.String",string
SourceHostName,11,"System.String",string
SourceMACAddress,12,"System.String",string
SourceIP,13,"System.String",string
EventType,14,"System.Int64",long
EventCategory,15,"System.String",string
EventServer,16,"System.String",string
EventCollectorHostName,17,"System.String",string
SchemaVersion,18,"System.Double",real
EventID,19,"System.Int64",long
Port,20,"System.String",string
SourceVendor,21,"System.String",string
DestinationVendor,22,"System.String",string
SourceType,23,"System.String",string
DestinationType,24,"System.String",string
SourceVLAN,25,"System.String",string
EventTime,26,"System.DateTime",datetime
