TimeGenerated [UTC],count_d,Category,date_s,company_name_s
"2/21/2023, 12:02:49.577 AM",1251,good,2023-02-19,Actors Films
"2/21/2023, 12:02:49.577 AM",1,warn,2023-02-19,Actors Films
"2/21/2023, 12:02:49.577 AM",522,neutral,2023-02-19,Actors Films
"2/21/2023, 12:02:49.577 AM",0,fair,2023-02-19,Actors Films
"2/21/2023, 12:02:49.577 AM",263,bad,2023-02-19,Actors Films
"2/21/2023, 12:03:02.772 AM",2816,good,2023-02-19,HCL Group
"2/21/2023, 12:03:02.772 AM",90,warn,2023-02-19,HCL Group
"2/21/2023, 12:03:02.772 AM",983,neutral,2023-02-19,HCL Group
"2/21/2023, 12:03:02.772 AM",174,fair,2023-02-19,HCL Group
"2/21/2023, 12:03:02.772 AM",103,bad,2023-02-19,HCL Group
"2/21/2023, 12:02:59.890 AM",83,good,2023-02-19,Goliath Investments LLC
"2/21/2023, 12:02:59.890 AM",4,warn,2023-02-19,Goliath Investments LLC
"2/21/2023, 12:02:59.890 AM",54,neutral,2023-02-19,Goliath Investments LLC
"2/21/2023, 12:02:59.890 AM",0,fair,2023-02-19,Goliath Investments LLC
"2/21/2023, 12:02:59.890 AM",14,bad,2023-02-19,Goliath Investments LLC
"2/21/2023, 12:03:28.539 AM",20,good,2023-02-19,Nibra Insurance
"2/21/2023, 12:03:28.539 AM",2,warn,2023-02-19,Nibra Insurance
"2/21/2023, 12:03:28.539 AM",23,neutral,2023-02-19,Nibra Insurance
"2/21/2023, 12:03:28.539 AM",0,fair,2023-02-19,Nibra Insurance
