TenantId,SourceSystem,MG,ManagementGroupName,"TimeGenerated [UTC]",Computer,RawData,"metrics_cvss_v40_score_d","metrics_cvss_v40_vector_s","metrics_cvss_v40_components_attack_vector_s","metrics_cvss_v40_components_attack_complexity_s","metrics_cvss_v40_components_privileges_required_s","metrics_cvss_v40_components_user_interaction_s","metrics_cvss_v40_components_attack_requirements_s","hostname_s","port_d","source_s","confidence_d","evidence_s","id_s","year_d","risk_source_s","name_s","severity_s","metrics_epss_score_d","metrics_epss_percentile_d","metrics_cvss_v31_score_d","metrics_cvss_v31_vector_s","metrics_cvss_v31_components_attack_vector_s","metrics_cvss_v31_components_attack_complexity_s","metrics_cvss_v31_components_privileges_required_s","metrics_cvss_v31_components_user_interaction_s","metrics_cvss_v31_components_scope_s","metrics_cvss_v31_components_confidentiality_s","metrics_cvss_v31_components_integrity_s","metrics_cvss_v31_components_availability_s","kev_s","metrics_cvss_v30_score_d",Type,"_ResourceId"
"70be182c-0d95-49fe-9675-40f220961ab8",RestAPI,,,"2/6/2026, 5:59:04.982 AM",,,,,,,,,,"15.161.244.126",6003,"third_party","0.25","[{""found_value"":""cpe:2.3:a:apache:http_server:2.0.47:*:*:*:*:*:*:*"",""semver_expression"":""<2.4.59""},{""found_value"":""cpe:2.3:a:apache:http_server:2.0.47:*:*:*:*:*:*:*"",""semver_expression"":""<=2.4.58""}]","CVE-2023-38709",2023,cve,"CVE-2023-38709",high,"0.039","0.881","7.3","CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:L/A:L",network,low,none,none,unchanged,low,low,low,,,"Censys_Web_Property_Vuln_CL",
"70be182c-0d95-49fe-9675-40f220961ab8",RestAPI,,,"2/6/2026, 5:59:04.982 AM",,,,,,,,,,"15.161.244.126",6003,"third_party","0.25","[{""found_value"":""cpe:2.3:a:apache:http_server:2.0.47:*:*:*:*:*:*:*"",""semver_expression"":"">=2.0.44 && <2.0.51""}]","CVE-2004-751",2004,cve,"CVE-2004-751",,,,,,,,,,,,,,,,"Censys_Web_Property_Vuln_CL",
"70be182c-0d95-49fe-9675-40f220961ab8",RestAPI,,,"2/6/2026, 5:59:04.982 AM",,,,,,,,,,"15.161.244.126",6003,"third_party","0.25","[{""found_value"":""cpe:2.3:a:apache:http_server:2.0.47:*:*:*:*:*:*:*"",""semver_expression"":"">=2.0.0 && <2.0.65""}]","CVE-2012-31",2012,cve,"CVE-2012-31",,,,,,,,,,,,,,,,"Censys_Web_Property_Vuln_CL",
"70be182c-0d95-49fe-9675-40f220961ab8",RestAPI,,,"2/6/2026, 5:59:04.982 AM",,,,,,,,,,"15.161.244.126",6003,"third_party","0.25","[{""found_value"":""cpe:2.3:a:apache:http_server:2.0.47:*:*:*:*:*:*:*"",""semver_expression"":""<2.4.49""}]","CVE-2021-39275",2021,cve,"CVE-2021-39275",critical,"0.25","0.96","9.8","CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H",network,low,none,none,unchanged,high,high,high,,,"Censys_Web_Property_Vuln_CL",
"70be182c-0d95-49fe-9675-40f220961ab8",RestAPI,,,"2/6/2026, 5:59:04.982 AM",,,,,,,,,,"15.161.244.126",6003,"third_party","0.25","[{""found_value"":""cpe:2.3:a:apache:http_server:2.0.47:*:*:*:*:*:*:*"",""semver_expression"":"">=2.0.35 && <2.0.51""}]","CVE-2004-748",2004,cve,"CVE-2004-748",,,,,,,,,,,,,,,,"Censys_Web_Property_Vuln_CL",
"70be182c-0d95-49fe-9675-40f220961ab8",RestAPI,,,"2/6/2026, 5:59:04.982 AM",,,,,,,,,,"15.161.244.126",6003,"third_party","0.25","[{""found_value"":""cpe:2.3:a:apache:http_server:2.0.47:*:*:*:*:*:*:*"",""semver_expression"":"">=2.0.36 && <2.0.55""}]","CVE-2005-2970",2005,cve,"CVE-2005-2970",low,"0.208","0.955",,,,,,,,,,,,,"Censys_Web_Property_Vuln_CL",
"70be182c-0d95-49fe-9675-40f220961ab8",RestAPI,,,"2/6/2026, 5:59:04.982 AM",,,,,,,,,,"15.161.244.126",6003,"third_party","0.25","[{""found_value"":""cpe:2.3:a:apache:http_server:2.0.47:*:*:*:*:*:*:*"",""semver_expression"":"">=2.0.35 && <2.0.55""}]","CVE-2005-2088",2005,cve,"CVE-2005-2088",low,"0.467","0.976",,,,,,,,,,,,,"Censys_Web_Property_Vuln_CL",
"70be182c-0d95-49fe-9675-40f220961ab8",RestAPI,,,"2/6/2026, 5:59:04.982 AM",,,,,,,,,,"15.161.244.126",6003,"third_party","0.25","[{""found_value"":""cpe:2.3:a:apache:http_server:2.0.47:*:*:*:*:*:*:*"",""semver_expression"":""<=2.0.63""}]","CVE-2008-2939",2008,cve,"CVE-2008-2939",low,"0.399","0.972",,,,,,,,,,,,,"Censys_Web_Property_Vuln_CL",
"70be182c-0d95-49fe-9675-40f220961ab8",RestAPI,,,"2/6/2026, 5:59:04.982 AM",,,,,,,,,,"15.161.244.126",6003,"third_party","0.25","[{""found_value"":""cpe:2.3:a:apache:http_server:2.0.47:*:*:*:*:*:*:*"",""semver_expression"":""<=2.2.14""}]","CVE-2009-3555",2009,cve,"CVE-2009-3555",low,"0.035","0.874",,,,,,,,,,,"[{""source"":""third_party"",""date_added"":""2009-11-18T00:00:00Z""}]",,"Censys_Web_Property_Vuln_CL",
"70be182c-0d95-49fe-9675-40f220961ab8",RestAPI,,,"2/6/2026, 5:59:04.982 AM",,,,,,,,,,"15.161.244.126",6003,"third_party","0.25","[{""found_value"":""cpe:2.3:a:apache:http_server:2.0.47:*:*:*:*:*:*:*"",""semver_expression"":"">=2.0.0 && <2.0.65""}]","CVE-2013-1862",2013,cve,"CVE-2013-1862",low,"0.177","0.95",,,,,,,,,,,,,"Censys_Web_Property_Vuln_CL",
