TenantId,TimeGenerated [UTC],SourceSystem,Action,ActivityGroupNames,AdditionalInformation,ApplicationId,AzureTenantId,ConfidenceScore,Description,DiamondModel,ExternalIndicatorId,ExpirationDateTime [UTC],IndicatorId,ThreatType,Active,KillChainActions,KillChainC2,KillChainDelivery,KillChainExploitation,KillChainReconnaissance,KillChainWeaponization,KnownFalsePositives,MalwareNames,PassiveOnly,ThreatSeverity,Tags,TrafficLightProtocolLevel,EmailEncoding,EmailLanguage,EmailRecipient,EmailSenderAddress,EmailSenderName,EmailSourceDomain,EmailSourceIpAddress,EmailSubject,EmailXMailer,FileCompileDateTime [UTC],FileCreatedDateTime [UTC],FileHashType,FileHashValue,FileMutexName,FileName,FilePacker,FilePath,FileSize,FileType,DomainName,NetworkIP,NetworkPort,NetworkDestinationAsn,NetworkDestinationCidrBlock,NetworkDestinationIP,NetworkCidrBlock,NetworkDestinationPort,NetworkProtocol,NetworkSourceAsn,NetworkSourceCidrBlock,NetworkSourceIP,NetworkSourcePort,Url,UserAgent,IndicatorProvider,Type
2f6ff951-1800-43fd-b53b-00000000000,"6/27/2023, 7:31:16 AM",Cofense Intelligence,alert,,,,2f6ff951-1800-43fd-b53b-00000000000,100,Role: Credential Phishing,,indicator--7b991d89-3b96-ed5e-ec77-031e76c1bb41,"1/1/10000, 12:00:00 AM",288F43EF5CC92FB5AD3F5EE2F50BC355A4EEF93172C9FC00E5519AC0212186C4,URL,TRUE,,,,,,,,,,,"[""threatID-320873""]",unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://moob.financial/email/verification/rsvsok/,,,ThreatIntelligenceIndicator
2f6ff951-1800-43fd-b53b-00000000001,"6/27/2023, 7:31:19 AM",Cofense Intelligence,alert,,,,2f6ff951-1800-43fd-b53b-00000000001,50,Role: Location from which a payload is obtained,,indicator--ba032448-8e6f-7e8b-98d9-f058b41bc8d6,"1/1/10000, 12:00:00 AM",C2D93EF5D34ED4155F1C555D0FFB16323543AD883744316996D20D98BD601236,Domain Name,TRUE,,,,,,,,,,,"[""threatID-320863""]",unknown,,,,,,,,,,,,,,,,,,,,obasicofunciona.com.br,,,,,,,,,,,,,https://superduperince.ru/.ded/next.php,,,ThreatIntelligenceIndicator
2f6ff951-1800-43fd-b53b-00000000002,"6/27/2023, 7:31:19 AM",Cofense Intelligence,alert,,,,2f6ff951-1800-43fd-b53b-00000000002,1,Role: Command and control location used by malware,,indicator--c1ef6919-43bd-01cf-65c1-2e140ebc81f6,"1/1/10000, 12:00:00 AM",B7C7E3798D05625A3DF62B33D70803ED2CC5E84F62A6E41BA6B48602DFB93EB9,File,TRUE,,,,,,,,,,,"[""threatID-320408""]",unknown,,,,,,,,,,,,,,,,,,,,solazone.com.au,,,,,,,,,,,,,https://puppylovespeech.com/css/hill.php,,,ThreatIntelligenceIndicator
2f6ff951-1800-43fd-b53b-00000000003,"6/27/2023, 7:31:19 AM",Cofense Intelligence,alert,,,,2f6ff951-1800-43fd-b53b-00000000003,30,Role: URL provided in email as means for infection,,indicator--6fca43ad-74d7-c359-dc75-08ca94be9f9c,"1/1/10000, 12:00:00 AM",A99A06C620061BE55202B7251F21B877649B2BE0F70B6C992F87692771FABE7C,URL,TRUE,,,,,,,,,,,"[""threatID-320865""]",unknown,,,,,,,,,,,,,,,,,,,,dsauvsiv.top,,,,,,,,,,,,,https://about.metahelpcase.com/J6n17h,,,ThreatIntelligenceIndicator
2f6ff951-1800-43fd-b53b-00000000004,"6/27/2023, 7:31:19 AM",Cofense Intelligence,alert,,,,2f6ff951-1800-43fd-b53b-00000000004,100,Role: Download,,indicator--3c9cb30c-6589-1843-e78a-ecdc1b4699a3,"1/1/10000, 12:00:00 AM",5F4568B4D99705A5E7A8064399AC2BEDEBE5591B905FEB59E521B4D0E9CBE248,Domain Name,TRUE,,,,,,,,,,,"[""threatID-320887""]",unknown,,,,,,,,,,,,,,,,,,,,uniformesjollpat.com,,,,,,,,,,,,,https://www.afrique-hydraulique.com/dhcw,,,ThreatIntelligenceIndicator
2f6ff951-1800-43fd-b53b-00000000005,"6/27/2023, 7:31:19 AM",Cofense Intelligence,alert,,,,2f6ff951-1800-43fd-b53b-00000000005,50,Role: Attachment,,indicator--6bbc5ebd-78a2-1feb-d868-504fd1e1b909,"1/1/10000, 12:00:00 AM",D541BF4C6B71CAD7F2DE014DF54D69E64E72C481BFE23B326E8F8A2322270C5C,File,TRUE,,,,,,,,,,,"[""threatID-320880""]",unknown,,,,,,,,,,,,,,,,,,,,shilhaandara.com,,,,,,,,,,,,,https://www.canva.com/design/DAFiTZjJVV8/RMJDHpqhsfIvqzclmALJuA/edit?utm_content=DAFiTZjJVV8&utm_campaign=designshare&utm_medium=link2&utm_source=sharebutton,,,ThreatIntelligenceIndicator
2f6ff951-1800-43fd-b53b-00000000006,"6/27/2023, 7:31:19 AM",Cofense Intelligence,alert,,,,2f6ff951-1800-43fd-b53b-00000000006,1,Role: Drop,,indicator--88fa1d65-f7ed-5419-98b8-e588d2af6eea,"1/1/10000, 12:00:00 AM",10EC2D1F6C06DFBF7AA02519895F6C77EFAA162776990C300A56C657DE1C09A9,URL,TRUE,,,,,,,,,,,"[""threatID-320399""]",unknown,,,,,,,,,,,,,,,,,,,,metalmaxms.com.br,,,,,,,,,,,,,https://login-microsooftteam.msnrdr02.com/,,,ThreatIntelligenceIndicator
2f6ff951-1800-43fd-b53b-00000000007,"6/27/2023, 7:31:19 AM",Cofense Intelligence,alert,,,,2f6ff951-1800-43fd-b53b-00000000007,30,Role: Creds Phishing,,indicator--1cc50aa0-3d84-1a40-c80c-d9ccb30388ba,"1/1/10000, 12:00:00 AM",D9BF176934995EEF0390FB5D87AC8701B12C7045CB851DAD041111714892C9B4,Domain Name,TRUE,,,,,,,,,,,"[""threatID-320405""]",unknown,,,,,,,,,,,,,,,,,,,,erivhx.fun,,,,,,,,,,,,,https://sso.repository2.cfd/common/login,,,ThreatIntelligenceIndicator
2f6ff951-1800-43fd-b53b-00000000008,"6/27/2023, 7:31:19 AM",Cofense Intelligence,alert,,,,2f6ff951-1800-43fd-b53b-00000000008,100,Role: 3rd party location used by malware to identify the IP address of the infected machine,,indicator--905c2635-3d33-b6d0-0a5e-d28bd9c8895b,"1/1/10000, 12:00:00 AM",8CC1B72E1363FF1C848E2C148E23B5D2075897A98046A67E9F2032BEE0F8360B,File,TRUE,,,,,,,,,,,"[""threatID-320423""]",unknown,,,,,,,,,,,,,,,,,,,,sanitidom.com,,,,,,,,,,,,,,,,ThreatIntelligenceIndicator
2f6ff951-1800-43fd-b53b-00000000009,"6/27/2023, 7:31:19 AM",Cofense Intelligence,alert,,,,2f6ff951-1800-43fd-b53b-00000000009,50,Role: Credential Phishing,,indicator--b0273edc-ed8a-1a84-d42b-21a7d0cb78e1,"1/1/10000, 12:00:00 AM",93C079EC7EEC0EE848CE14989CF23C3D4FDC6C7EAA2001D000BF4A1089DCBEB9,URL,TRUE,,,,,,,,,,,"[""threatID-320423""]",unknown,,,,,,,,,,,,,,,,,,,,www.jonamicrolending.africa/322430,,,,,,,,,,,,,,,,ThreatIntelligenceIndicator
