TimeGenerated [UTC],ip_s,type_s,fingerprint_g,port_d,first_seen_s,last_seen_s,distinct_ips_d,active_days_d,event_count_d,start_date_s,end_date_s,fingerprint_s,Type
"7/17/2024, 5:53:24 AM",1.1.1.1,ja3s,d75f9129-bb5d-0549-2a65-ff78e081bcb2,443,2024-07-16,2024-07-16,11492,1,6,2024-06-17,2024-07-16,,Cymru_Scout_IP_Data_Fingerprints_CL
"7/17/2024, 5:53:24 AM",1.1.1.1,jarm,,443,2024-06-21,2024-07-13,303,5,5,2024-06-17,2024-07-16,a2ad0002ad2ad22c43d00041df99b2decc4b8fb98e1980ee1064c054,Cymru_Scout_IP_Data_Fingerprints_CL
"7/17/2024, 5:53:24 AM",1.1.1.1,ja3s,eb1d94da-a7e0-3445-97e7-56a1fb6e7054,443,2024-07-12,2024-07-12,21226,1,2,2024-06-17,2024-07-16,,Cymru_Scout_IP_Data_Fingerprints_CL
"7/17/2024, 5:53:24 AM",1.1.1.1,ja3,58b6acf9-98e0-73a5-34ec-83bfc402ef03,443,2024-07-16,2024-07-16,1,1,1,2024-06-17,2024-07-16,,Cymru_Scout_IP_Data_Fingerprints_CL
"7/17/2024, 5:53:24 AM",1.1.1.1,ja3,1157f32b-9320-a4f0-6118-f787a582f97a,443,2024-07-16,2024-07-16,1,1,1,2024-06-17,2024-07-16,,Cymru_Scout_IP_Data_Fingerprints_CL
"7/17/2024, 5:53:24 AM",1.1.1.1,ja3,4f2d63c6-a35e-03e0-917b-cb5c7d1d6540,443,2024-07-12,2024-07-12,3930,1,1,2024-06-17,2024-07-16,,Cymru_Scout_IP_Data_Fingerprints_CL
"7/17/2024, 5:53:24 AM",1.1.1.1,ja3,79ad227c-8f57-6541-61cb-132d8e9cce05,443,2024-07-16,2024-07-16,1,1,1,2024-06-17,2024-07-16,,Cymru_Scout_IP_Data_Fingerprints_CL
"7/17/2024, 5:53:24 AM",1.1.1.1,ja3,fb9a3d06-b092-69cb-836e-ac2a30d553a7,443,2024-07-16,2024-07-16,1,1,1,2024-06-17,2024-07-16,,Cymru_Scout_IP_Data_Fingerprints_CL
"7/17/2024, 5:53:24 AM",1.1.1.1,ja3,9169738a-e783-4d7d-464c-5705a5a0beae,443,2024-07-16,2024-07-16,1,1,1,2024-06-17,2024-07-16,,Cymru_Scout_IP_Data_Fingerprints_CL
"7/17/2024, 5:53:24 AM",1.1.1.1,ja3s,2b0648ab-686e-e45e-0e7c-35fcfb0eea7e,443,2024-07-16,2024-07-16,8784,1,1,2024-06-17,2024-07-16,,Cymru_Scout_IP_Data_Fingerprints_CL
"7/17/2024, 5:53:24 AM",1.1.1.1,ja3,d3de52e1-863e-1642-a2fe-7d3f74891c92,443,2024-07-12,2024-07-12,1,1,1,2024-06-17,2024-07-16,,Cymru_Scout_IP_Data_Fingerprints_CL
"7/17/2024, 5:53:24 AM",1.1.1.1,ja3,73af38b5-c2bf-5555-e408-3911da25ee9c,443,2024-07-16,2024-07-16,1,1,1,2024-06-17,2024-07-16,,Cymru_Scout_IP_Data_Fingerprints_CL
"7/17/2024, 5:53:24 AM",1.1.1.1,ja3,a8968a43-ac0b-6f12-fd2c-7a28f0e07fbd,443,2024-07-16,2024-07-16,1,1,1,2024-06-17,2024-07-16,,Cymru_Scout_IP_Data_Fingerprints_CL
"7/17/2024, 5:53:27 AM",1.1.1.2,ja3s,d75f9129-bb5d-0549-2a65-ff78e081bcb2,443,2024-07-16,2024-07-16,11492,1,12,2024-06-17,2024-07-16,,Cymru_Scout_IP_Data_Fingerprints_CL
"7/17/2024, 5:53:27 AM",1.1.1.2,ja3s,eb1d94da-a7e0-3445-97e7-56a1fb6e7054,443,2024-06-26,2024-07-16,21226,2,6,2024-06-17,2024-07-16,,Cymru_Scout_IP_Data_Fingerprints_CL
"7/17/2024, 5:53:27 AM",1.1.1.2,ja3,8159b41f-35eb-a89b-8d36-d33b5bec46c1,443,2024-06-26,2024-06-26,1,1,2,2024-06-17,2024-07-16,,Cymru_Scout_IP_Data_Fingerprints_CL
"7/17/2024, 5:53:27 AM",1.1.1.2,ja3,211f021e-95e7-5f0b-98ff-703416665607,443,2024-07-16,2024-07-16,1,1,1,2024-06-17,2024-07-16,,Cymru_Scout_IP_Data_Fingerprints_CL
"7/17/2024, 5:53:27 AM",1.1.1.2,ja3,1d435be2-4afb-f73b-83a0-4d1b3241689a,443,2024-07-16,2024-07-16,1,1,1,2024-06-17,2024-07-16,,Cymru_Scout_IP_Data_Fingerprints_CL
"7/17/2024, 5:53:27 AM",1.1.1.2,ja3,d37d58f6-71e7-e119-c929-466a3d19ab45,443,2024-07-16,2024-07-16,1,1,1,2024-06-17,2024-07-16,,Cymru_Scout_IP_Data_Fingerprints_CL
"7/17/2024, 5:53:27 AM",1.1.1.2,ja3,475f68ae-166c-48a1-135e-c533dd027d40,443,2024-07-16,2024-07-16,1,1,1,2024-06-17,2024-07-16,,Cymru_Scout_IP_Data_Fingerprints_CL
