batch_id,class,confidence,detected,dga,domain,expiration,full_profile,host,id_value,imported,profile,property,received,threat_level,tld,type_value,task_id,extended,extended_surbl_list,extended_extended,extended_ais_consent,extended_cyberint_guid,extended_no_whitelist,extended_notes,extended_reason,extended_attack_chain,extended_protocol,extended_references,extended_confidence_score,extended_risk_score,extended_threat_score,extended_from_email,extended_subject_line,extended_email_id,extended_processor,extended_provider,extended_submitter,extended_sample_sha256,extended_comments,up,url,ip,tlp,confidence_score,confidence_score_rating,confidence_score_vector,risk_score,risk_score_rating,risk_score_vector,threat_score,threat_score_rating,threat_score_vector,target,origin,email,threat_label,hash,hash_type,TimeGenerated,RowData,TenantId,Type,_ResourceId
0576155e-22be-11ef-aa15-7540481bdf8d,InternetInfrastructure,100,2024-06-04T22:00:16.545Z,,,2024-06-11T22:00:16.545Z,IID:IID_IRD,,057e79ed-22be-11ef-aa15-7540481bdf8d,2024-06-04T22:01:40.258Z,IID,InternetInfrastructure_DoHService,2024-06-04T22:01:40.258Z,0,,IP,38939890-9b83-4fc8-8880-6aeff1934484,None,,,,2dc6e93e659668cdec9d2420ac4ecf33,true,Associated with DoHService Operated by Cloudflare,,,,,,,,,,,,,,,,,,1.1.1.1,,None,,,None,,,None,,,,,,,,,2026-08-18T12:57:09.631389Z,"{""cyberint_guid"":""2dc6e93e659668cdec9d2420ac4ecf33"",""no_whitelist"":""true"",""notes"":""Associated with DoHService Operated by Cloudflare""}",8e42b5a4-1350-4818-abd4-a594af7b6837,dossier_atp_threat_CL,
6eb74246-6264-11ef-bf6f-e92192ba52b0,InternetInfrastructure,100,2024-08-24T22:00:14.924Z,,,2024-08-31T22:00:14.924Z,IID:IID_IRD,,6ecc7807-6264-11ef-bf6f-e92192ba52b0,2024-08-24T22:01:36.639Z,IID,InternetInfrastructure_DoHService,2024-08-24T22:01:36.639Z,0,,IP,38939890-9b83-4fc8-8880-6aeff1934484,None,,,,3d57ba596734db4dcd710e29047fe2a6,true,Associated with DoHService Operated by Cloudflare,,,,,,,,,,,,,,,,,,1.1.1.1,,None,,,None,,,None,,,,,,,,,2026-08-18T12:57:09.631389Z,"{""cyberint_guid"":""3d57ba596734db4dcd710e29047fe2a6"",""no_whitelist"":""true"",""notes"":""Associated with DoHService Operated by Cloudflare""}",8e42b5a4-1350-4818-abd4-a594af7b6837,dossier_atp_threat_CL,
f95a4496-8b4b-11e7-b172-815b775760e9,MalwareC2,None,2017-08-27T17:20:02.656Z,,,2017-09-10T17:20:02.656Z,IID:IID_IRD,,f95ab9d9-8b4b-11e7-b172-815b775760e9,2017-08-27T17:20:08.035Z,IID,MalwareC2_Ramnit,2017-08-27T17:20:08.035Z,100,,IP,38939890-9b83-4fc8-8880-6aeff1934484,None,,,,,,,,,,,,,,,,,,,,,,true,,1.1.1.1,,None,,,None,,,None,,,,,,,,,2026-08-18T12:57:09.631389Z,None,8e42b5a4-1350-4818-abd4-a594af7b6837,dossier_atp_threat_CL,
5e7844a7-0ffb-11eb-957b-0157844be814,InternetInfrastructure,100,2020-10-16T22:00:16.671Z,,,2020-10-23T22:00:16.671Z,IID:IID_IRD,,5e7ed404-0ffb-11eb-957b-0157844be814,2020-10-16T22:03:06.112Z,IID,InternetInfrastructure_DoHService,2020-10-16T22:03:06.112Z,0,,IP,38939890-9b83-4fc8-8880-6aeff1934484,None,,,,6e97d87b4245537505f49844e1b2f5e5,true,Cloudflare,,,,,,,,,,,,,,,,,,1.1.1.1,,None,,,None,,,None,,,,,,,,,2026-08-18T12:57:09.631389Z,"{""cyberint_guid"":""6e97d87b4245537505f49844e1b2f5e5"",""no_whitelist"":""true"",""notes"":""Cloudflare""}",8e42b5a4-1350-4818-abd4-a594af7b6837,dossier_atp_threat_CL,
26e653e2-b64d-11ee-b431-11766d1885d6,InternetInfrastructure,100,2024-01-18T22:00:16.423Z,,,2024-01-25T22:00:16.423Z,IID:IID_IRD,,26ec4776-b64d-11ee-b431-11766d1885d6,2024-01-18T22:01:37.666Z,IID,InternetInfrastructure_DoHService,2024-01-18T22:01:37.666Z,0,,IP,38939890-9b83-4fc8-8880-6aeff1934484,None,,,,8a803c632124511e203bafc01082448d,true,Associated with DoHService Operated by Cloudflare,,,,,,,,,,,,,,,,,,1.1.1.1,,8.1,High,COSIS:1.0/SR:H/POP:N/TLD:N/CP:T,0,None,RSIS:1.0/TSS:L/TLD:N/CVSS:N/EX:N/MOD:N/AVL:N/T:L/DT:L,3.9,Low,TSIS:1.0/AV:N/AC:L/PR:N/UI:N/EX:N/MOD:N/AVL:N/CI:N/ASN:N/TLD:N/DOP:N/P:F,,,,,,,2026-08-18T12:57:09.631389Z,"{""cyberint_guid"":""8a803c632124511e203bafc01082448d"",""no_whitelist"":""true"",""notes"":""Associated with DoHService Operated by Cloudflare""}",8e42b5a4-1350-4818-abd4-a594af7b6837,dossier_atp_threat_CL,
6cffda16-8924-11f0-9dd1-79f694c28ec9,MalwareDownload,100,2025-09-04T00:13:33.974Z,,,2026-09-04T00:13:33.974Z,IID:IID_IRD,,6d00283a-8924-11f0-9dd1-79f694c28ec9,2025-09-04T00:16:38.903Z,IID,MalwareDownload_Generic,2025-09-04T00:16:38.903Z,100,,HASH,90fae7bb-e5a7-4e41-996a-31c800298334,None,,,,dc4472d4be4457ee52a9201b09d400d2,,"The file(sha256: 19da5036904a4c1168d2d9b96fd25be0a9b8f9f78f8c11105aefd754d8eb3679) uses Living off the Land (LotL) methods, a malicious technique that involves abusing pre-built software on the victim�s machine to execute attacks. This binary matches the threat signature ""None"".",,,,,,,,,,,,,,19da5036904a4c1168d2d9b96fd25be0a9b8f9f78f8c11105aefd754d8eb3679,,true,,,,None,,,None,,,None,,,,,,,19da5036904a4c1168d2d9b96fd25be0a9b8f9f78f8c11105aefd754d8eb3679,SHA256,2026-08-19T05:45:44.5034373Z,"{""cyberint_guid"":""dc4472d4be4457ee52a9201b09d400d2"",""notes"":""The file(sha256: 19da5036904a4c1168d2d9b96fd25be0a9b8f9f78f8c11105aefd754d8eb3679) uses Living off the Land (LotL) methods, a malicious technique that involves abusing pre-built software on the victim�s machine to execute attacks. This binary matches the threat signature \""None\""."",""sample_sha256"":""19da5036904a4c1168d2d9b96fd25be0a9b8f9f78f8c11105aefd754d8eb3679""}",8e42b5a4-1350-4818-abd4-a594af7b6837,dossier_atp_threat_CL,
ce58b0fd-fc89-11eb-bbaf-9f7f3828d75a,Phishing,50,2021-08-03T12:30:52.227Z,,amazon.com,2021-09-02T12:30:52.227Z,IID:IID_IRD,amazon.com,ce5e085f-fc89-11eb-bbaf-9f7f3828d75a,2021-08-13T22:57:16.768Z,IID,Phishing_Generic,2021-08-13T22:57:16.768Z,50,com,URL,203efc16-a2f7-4b98-a186-872523d00e89,None,,,,d94783102f343c3c1537be6e91dfd9ce,false,,,,https,,,,,,,,,,,,,true,https://amazon.com/gp/gss/browse/14660#open%14660.,,,None,,,None,,,None,,,,,,,,,2026-08-18T12:53:49.5161452Z,"{""cyberint_guid"":""d94783102f343c3c1537be6e91dfd9ce"",""no_whitelist"":""false"",""protocol"":""https""}",8e42b5a4-1350-4818-abd4-a594af7b6837,dossier_atp_threat_CL,
f4704713-f511-11eb-815f-b19363cbb5d2,Phishing,50,2021-08-03T12:30:52.227Z,,amazon.com,2021-09-02T12:30:52.227Z,IID:IID_IRD,amazon.com,f48de157-f511-11eb-815f-b19363cbb5d2,2021-08-04T10:51:42.922Z,IID,Phishing_Generic,2021-08-04T10:51:42.922Z,50,com,URL,203efc16-a2f7-4b98-a186-872523d00e89,None,,,,87612708b732af8d440a109ac96d5d76,false,,,,https,,,,,,,,,,,,,true,https://amazon.com/gp/gss/o/1YUxC8GM96ZlLLT1-JPLVY6KPENQJCen6NySR0xtI0lls0z-XH0TMLwH4PwTkc18T.,,,8,High,COSIS:1.0/SR:H/POP:N/TLD:N/CP:F,7.9,High,RSIS:1.0/TSS:M/TLD:N/CVSS:L/EX:H/MOD:N/AVL:N/T:M/DT:L,5.8,Medium,TSIS:1.0/AV:N/AC:L/PR:L/UI:R/EX:H/MOD:N/AVL:N/CI:N/ASN:N/TLD:N/DOP:N/P:F,,,,,,,2026-08-18T12:53:49.5161452Z,"{""cyberint_guid"":""87612708b732af8d440a109ac96d5d76"",""no_whitelist"":""false"",""protocol"":""https""}",8e42b5a4-1350-4818-abd4-a594af7b6837,dossier_atp_threat_CL,
f3609336-ad9f-11eb-8943-6962d4bdf9de,Phishing,50,2021-05-05T12:30:51.084Z,,amazon.com,2021-06-04T12:30:51.084Z,IID:IID_IRD,amazon.com,f38cd441-ad9f-11eb-8943-6962d4bdf9de,2021-05-05T12:46:45.968Z,IID,Phishing_Generic,2021-05-05T12:46:45.968Z,50,com,URL,203efc16-a2f7-4b98-a186-872523d00e89,None,,,,5fdc161a5767d66e22703c00c5831de7,false,,,,https,,,,,,,,,,,,,true,https://Amazon.com/exec/obidos/ASIN/B07MJL8NXR,,,None,,,None,,,None,,,,,,,,,2026-08-18T12:53:49.5161452Z,"{""cyberint_guid"":""5fdc161a5767d66e22703c00c5831de7"",""no_whitelist"":""false"",""protocol"":""https""}",8e42b5a4-1350-4818-abd4-a594af7b6837,dossier_atp_threat_CL,
195e70c0-e3d9-11eb-815f-b19363cbb5d2,Phishing,50,2021-07-13T12:30:53.858Z,,amazon.com,2021-08-12T12:30:53.858Z,IID:IID_IRD,amazon.com,19850b86-e3d9-11eb-815f-b19363cbb5d2,2021-07-13T12:51:53.823Z,IID,Phishing_Generic,2021-07-13T12:51:53.823Z,50,com,URL,203efc16-a2f7-4b98-a186-872523d00e89,None,,,,a8dccd8cfebf2036df0fcd0ea6ef5cbb,false,,,,https,,,,,,,,,,,,,true,https://amazon.com/Norman-Rosenthal-Transcendence-Transformation-Transcendental/dp/B00HTJU68Q/,,,8,High,COSIS:1.0/SR:H/POP:N/TLD:N/CP:F,7.9,High,RSIS:1.0/TSS:M/TLD:N/CVSS:L/EX:H/MOD:N/AVL:N/T:M/DT:L,5.8,Medium,TSIS:1.0/AV:N/AC:L/PR:L/UI:R/EX:H/MOD:N/AVL:N/CI:N/ASN:N/TLD:N/DOP:N/P:F,,,,,,,2026-08-18T12:53:49.5161452Z,"{""cyberint_guid"":""a8dccd8cfebf2036df0fcd0ea6ef5cbb"",""no_whitelist"":""false"",""protocol"":""https""}",8e42b5a4-1350-4818-abd4-a594af7b6837,dossier_atp_threat_CL,
