task_id,params,params_type,params_target,params_source,status,time_value,v_value,data,data_results,data_info,data_reason,status_message_for_dossier,TimeGenerated,RowData,TenantId,Type,_ResourceId
374042a4-4944-450f-8d64-01bb5c65f17e,None,host,whitepanda.info,infoblox_web_cat,success,6,3.0.0,None,"[{""name"":""Malware Distribution Point""}]",,,Click here to view the data,2026-08-18T06:25:14.4317331Z,"{""results"":[{""name"":""Malware Distribution Point""}]}",8e42b5a4-1350-4818-abd4-a594af7b6837,dossier_infoblox_web_cat_CL,
cf4f8a73-7ddd-410b-87bf-65727f1e65cd,None,host,zuxiswabobb.pro,infoblox_web_cat,success,6,3.0.0,None,"[{""name"":""Malware Distribution Point""}]",,,Click here to view the data,2026-08-18T06:26:54.955853Z,"{""results"":[{""name"":""Malware Distribution Point""}]}",8e42b5a4-1350-4818-abd4-a594af7b6837,dossier_infoblox_web_cat_CL,
9a8580a8-367a-4e43-9882-36810c1294d0,None,host,zelmuoraki.info,infoblox_web_cat,success,8,3.0.0,None,"[{""name"":""Malware Distribution Point""}]",,,Click here to view the data,2026-08-18T06:27:20.8008988Z,"{""results"":[{""name"":""Malware Distribution Point""}]}",8e42b5a4-1350-4818-abd4-a594af7b6837,dossier_infoblox_web_cat_CL,
8ba66dba-2b5d-41f2-9851-34e6fd917248,None,url,http://www.824555.com/app/member/SportOption.php?uid=guest&langx=gb,infoblox_web_cat,error,None,3.0.0,None,None,bad http status,bad api response status code: 501,Click here to view the data,2026-08-18T12:49:42.6613627Z,"{""info"":""bad http status"",""reason"":""bad api response status code: 501""}",8e42b5a4-1350-4818-abd4-a594af7b6837,dossier_infoblox_web_cat_CL,
60ad32f6-2526-4f61-9176-9da939deb787,None,url,http://www.vilagnomad.com/tables/payday-loans-direct-lenders-only.php,infoblox_web_cat,error,4,3.0.0,None,None,bad http status,bad api response status code: 501,Click here to view the data,2026-08-18T12:50:19.623024Z,"{""info"":""bad http status"",""reason"":""bad api response status code: 501""}",8e42b5a4-1350-4818-abd4-a594af7b6837,dossier_infoblox_web_cat_CL,
e67e62d1-93ab-4835-a496-fc85735aa195,None,url,http://9779.info/%E7%AE%80%E5%8D%95%E6%8A%98%E7%BA%B8%E7%B2%98%E8%B4%B4%E7%94%BB/,infoblox_web_cat,error,3,3.0.0,None,None,bad http status,bad api response status code: 501,Click here to view the data,2026-08-18T12:50:38.3654923Z,"{""info"":""bad http status"",""reason"":""bad api response status code: 501""}",8e42b5a4-1350-4818-abd4-a594af7b6837,dossier_infoblox_web_cat_CL,
d5fcdc32-1355-4277-a978-04d6536417d5,None,url,http://style.org.hc360.com/css/detail/mysite/siteconfig/pro_control.css,infoblox_web_cat,error,5,3.0.0,None,None,bad http status,bad api response status code: 501,Click here to view the data,2026-08-18T12:53:21.9253847Z,"{""info"":""bad http status"",""reason"":""bad api response status code: 501""}",8e42b5a4-1350-4818-abd4-a594af7b6837,dossier_infoblox_web_cat_CL,
91a0f8a2-c5dd-429c-952a-58e4a4eeea73,None,host,amazon.com,infoblox_web_cat,success,16,3.0.0,None,"[{""name"":""Online Shopping""}]",,,Click here to view the data,2026-08-18T12:53:50.2044971Z,"{""results"":[{""name"":""Online Shopping""}]}",8e42b5a4-1350-4818-abd4-a594af7b6837,dossier_infoblox_web_cat_CL,
7e0a19ba-218e-4fde-a28a-e5186f287154,None,host,Data.gov,infoblox_web_cat,success,6,3.0.0,None,"[{""name"":""U.S. Government Resources""}]",,,Click here to view the data,2026-08-18T12:54:51.8715618Z,"{""results"":[{""name"":""U.S. Government Resources""}]}",8e42b5a4-1350-4818-abd4-a594af7b6837,dossier_infoblox_web_cat_CL,
a981b565-9a42-4fa7-a4bb-ce86bd7aa67a,None,host,example.com,infoblox_web_cat,success,8,3.0.0,None,"[{""name"":""Technology - Other""}]",,,Click here to view the data,2026-08-18T13:02:33.2829742Z,"{""results"":[{""name"":""Technology - Other""}]}",8e42b5a4-1350-4818-abd4-a594af7b6837,dossier_infoblox_web_cat_CL,
