"task_id",params,"params_type","params_target","params_source",status,"time_value","v_value",data,"data_response","data_response_ip_response","data_response_ip_response_country","data_response_ip_response_handle","data_response_ip_response_last_changed [UTC]","data_response_ip_response_name","data_response_ip_response_net_range","data_response_ip_response_net_type","data_response_ip_response_parent","data_response_ip_response_registration [UTC]","data_response_ip_response_source_registery","data_response_nameservers","data_response_parsed_whois","data_response_parsed_whois_contacts","data_response_parsed_whois_created_date [UTC]","data_response_parsed_whois_domain","data_response_parsed_whois_expired_date [UTC]","data_response_parsed_whois_name_servers","data_response_parsed_whois_other_props","data_response_parsed_whois_other_props_registry_domain_id","data_response_parsed_whois_registrar","data_response_parsed_whois_registrar_abuse_contact_email","data_response_parsed_whois_registrar_abuse_contact_phone","data_response_parsed_whois_registrar_iana_id","data_response_parsed_whois_registrar_name","data_response_parsed_whois_statuses","data_response_parsed_whois_updated_date [UTC]","data_response_raw","data_response_registrant","data_response_registration","data_response_registration_created [UTC]","data_response_registration_expires [UTC]","data_response_registration_registrar","data_response_registration_statuses","data_response_registration_updated [UTC]","data_response_whois","data_response_whois_date [UTC]","data_response_whois_record","status_message_for_dossier","TimeGenerated [UTC]",RowData,TenantId,Type,"_ResourceId"
"a824297a-e2d4-462a-a419-e3ae48c048de",,host,"ns.abc.com",whois,success,84,"3.0.0",,,,,,,,,,,,,"[]",,,,,,,,,,,,,,,,,,,,,,,,,,,"Click here to view the data","8/18/2026, 1:03:07.019 PM","{""response"":{""ip_response"":null,""nameservers"":[],""parsed_whois"":null,""raw"":null,""registrant"":"""",""registration"":null,""whois"":null}}","8e42b5a4-1350-4818-abd4-a594af7b6837","dossier_whois_CL",
"07ebb11d-c425-4b76-86e4-d1d7efd87f3b",,host,"topopo.top",whois,success,6,"3.0.0",,,,,,,,,,,,,"[]",,,,,,,,,,,,,,,,,,,,,,,,,,,"Click here to view the data","8/19/2026, 5:35:08.394 AM","{""response"":{""ip_response"":null,""nameservers"":[],""parsed_whois"":null,""raw"":null,""registrant"":"""",""registration"":null,""whois"":null}}","8e42b5a4-1350-4818-abd4-a594af7b6837","dossier_whois_CL",
"e9b23c87-bd72-4183-89e2-7438586a1953",,host,"crexx.ai",whois,success,63,"3.0.0",,,,,,,,,,,,,"[]",,,,,,,,,,,,,,,,,,,,,,,,,,,"Click here to view the data","8/19/2026, 5:35:35.741 AM","{""response"":{""ip_response"":null,""nameservers"":[],""parsed_whois"":null,""raw"":null,""registrant"":"""",""registration"":null,""whois"":null}}","8e42b5a4-1350-4818-abd4-a594af7b6837","dossier_whois_CL",
"b15f72fb-439d-4af7-8f6c-72016c47fcc0",,host,"ser-gate.cc",whois,success,77,"3.0.0",,,,,,,,,,,,,"[]",,,,,,,,,,,,,,,,,,,,,,,,,,,"Click here to view the data","8/19/2026, 5:35:51.321 AM","{""response"":{""ip_response"":null,""nameservers"":[],""parsed_whois"":null,""raw"":null,""registrant"":"""",""registration"":null,""whois"":null}}","8e42b5a4-1350-4818-abd4-a594af7b6837","dossier_whois_CL",
"98a85791-6174-48fe-a162-db1756c70cc1",,ip,"34.102.13.1",whois,success,235,"3.0.0",,,,null,"NET-34-64-0-0-1","9/28/2018, 2:45:41.000 PM","GOOGL-2","34.64.0.0 - 34.127.255.255","DIRECT ALLOCATION","NET-34-0-0-0-0","9/28/2018, 2:45:37.000 PM",APNIC,"[]",,,,,,,,,,,,,,,,,"GOOGL-2",,,,,,,,"8/19/2026, 12:00:00.000 AM","Handle: nro_rdap_profile_0, rdap_level_0, cidr0, arin_originas0
Start Address: 34.64.0.0
End Address: 34.127.255.255
IP Version: v4
Name: GOOGL-2
Type: DIRECT ALLOCATION
Country: 
Source: 
Parent Handle: NET-34-0-0-0-0
Status: active
Port43: whois.arin.net
Remarks: 

Registrant ID: 
Handle: GOOGL-2
Remark: 
	Event: 
	Date: 
Role: registrant
Registrant version:v4

Whois Registration: 2018-09-28T10:45:37-04:00
Whois Last Modified: 2018-09-28T10:45:41-04:00
Links: https://rdap.arin.net/registry/ip/34.97.198.21
","Click here to view the data","8/19/2026, 5:36:21.717 AM","{""response"":{""ip_response"":{""registration"":""2018-09-28T14:45:37.0000000Z"",""name"":""GOOGL-2"",""country"":""null"",""handle"":""NET-34-64-0-0-1"",""last_changed"":""2018-09-28T14:45:41.0000000Z"",""net_range"":""34.64.0.0 - 34.127.255.255"",""net_type"":""DIRECT ALLOCATION"",""parent"":""NET-34-0-0-0-0"",""source_registery"":""APNIC""},""nameservers"":[],""parsed_whois"":null,""raw"":null,""registrant"":""GOOGL-2"",""registration"":null,""whois"":{""date"":""2026-08-19T00:00:00.0000000Z"",""record"":""Handle: nro_rdap_profile_0, rdap_level_0, cidr0, arin_originas0\nStart Address: 34.64.0.0\nEnd Address: 34.127.255.255\nIP Version: v4\nName: GOOGL-2\nType: DIRECT ALLOCATION\nCountry: \nSource: \nParent Handle: NET-34-0-0-0-0\nStatus: active\nPort43: whois.arin.net\nRemarks: \n\nRegistrant ID: \nHandle: GOOGL-2\nRemark: \n\tEvent: \n\tDate: \nRole: registrant\nRegistrant version:v4\n\nWhois Registration: 2018-09-28T10:45:37-04:00\nWhois Last Modified: 2018-09-28T10:45:41-04:00\nLinks: https://rdap.arin.net/registry/ip/34.97.198.21\n""}}}","8e42b5a4-1350-4818-abd4-a594af7b6837","dossier_whois_CL",
"09012ebb-2851-420b-8689-3bb3a9e2cbc5",,ip,"80.4.92.16",whois,success,307,"3.0.0",,,,GB,"80.4.80.0 - 80.4.95.255","6/27/2023, 4:10:19.000 PM",VMCBBUK,"80.4.80.0 - 80.4.95.255","ASSIGNED PA","80.0.0.0 - 80.7.255.255","6/27/2023, 4:10:19.000 PM",APNIC,"[]",,,,,,,,,,,,,,,,,VMCBBUK,,,,,,,,"8/19/2026, 12:00:00.000 AM","Handle: geofeed1, rirSearch1, ips, cidr0, rdap_level_0, nro_rdap_profile_0, redacted
Start Address: 80.4.80.0
End Address: 80.4.95.255
IP Version: v4
Name: VMCBBUK
Type: ASSIGNED PA
Country: GB
Source: 
Parent Handle: 80.0.0.0 - 80.7.255.255
Status: active
Port43: whois.ripe.net
Remarks: 
Title: 
Data: BROMLEYVirgin Media Consumer Broadband UKReport Abuse via http://www.virginmedia.com/netreport

Registrant ID: 
Handle: AS5089-MNT
Remark: 
	Event: 
	Date: 
Handle: NNMC1-RIPE
Remark: 
	Event: 
	Date: 
Handle: AR17821-RIPE
Remark: 
	Event: 
	Date: 
Role: registrant
Registrant version:v4

Whois Registration: 2023-06-27T16:10:19Z
Whois Last Modified: 2023-06-27T16:10:19Z
Links: https://rdap.db.ripe.net/ip/80.4.92.16
","Click here to view the data","8/19/2026, 5:36:49.509 AM","{""response"":{""ip_response"":{""registration"":""2023-06-27T16:10:19.0000000Z"",""name"":""VMCBBUK"",""country"":""GB"",""handle"":""80.4.80.0 - 80.4.95.255"",""last_changed"":""2023-06-27T16:10:19.0000000Z"",""net_range"":""80.4.80.0 - 80.4.95.255"",""net_type"":""ASSIGNED PA"",""parent"":""80.0.0.0 - 80.7.255.255"",""source_registery"":""APNIC""},""nameservers"":[],""parsed_whois"":null,""raw"":null,""registrant"":""VMCBBUK"",""registration"":null,""whois"":{""date"":""2026-08-19T00:00:00.0000000Z"",""record"":""Handle: geofeed1, rirSearch1, ips, cidr0, rdap_level_0, nro_rdap_profile_0, redacted\nStart Address: 80.4.80.0\nEnd Address: 80.4.95.255\nIP Version: v4\nName: VMCBBUK\nType: ASSIGNED PA\nCountry: GB\nSource: \nParent Handle: 80.0.0.0 - 80.7.255.255\nStatus: active\nPort43: whois.ripe.net\nRemarks: \nTitle: \nData: BROMLEYVirgin Media Consumer Broadband UKReport Abuse via http://www.virginmedia.com/netreport\n\nRegistrant ID: \nHandle: AS5089-MNT\nRemark: \n\tEvent: \n\tDate: \nHandle: NNMC1-RIPE\nRemark: \n\tEvent: \n\tDate: \nHandle: AR17821-RIPE\nRemark: \n\tEvent: \n\tDate: \nRole: registrant\nRegistrant version:v4\n\nWhois Registration: 2023-06-27T16:10:19Z\nWhois Last Modified: 2023-06-27T16:10:19Z\nLinks: https://rdap.db.ripe.net/ip/80.4.92.16\n""}}}","8e42b5a4-1350-4818-abd4-a594af7b6837","dossier_whois_CL",
"ab7eb9d3-4a06-4f0a-b229-ec71b75b7a90",,ip,"10.50.7.83",whois,success,6,"3.0.0",,,,,,,,,,,,,"[]",,,,,,,,,,,,,,,,,,,,,,,,,,,"Click here to view the data","8/19/2026, 5:37:27.822 AM","{""response"":{""ip_response"":null,""nameservers"":[],""parsed_whois"":null,""raw"":null,""registrant"":"""",""registration"":null,""whois"":null}}","8e42b5a4-1350-4818-abd4-a594af7b6837","dossier_whois_CL",
"e3662ea8-08df-4511-a3d5-3010989fe929",,ip,"80.4.2.16",whois,success,294,"3.0.0",,,,GB,"80.4.0.0 - 80.4.15.255","6/27/2023, 4:10:19.000 PM",VMCBBUK,"80.4.0.0 - 80.4.15.255","ASSIGNED PA","80.0.0.0 - 80.7.255.255","6/27/2023, 4:10:19.000 PM",APNIC,"[]",,,,,,,,,,,,,,,,,VMCBBUK,,,,,,,,"8/19/2026, 12:00:00.000 AM","Handle: geofeed1, rirSearch1, ips, cidr0, rdap_level_0, nro_rdap_profile_0, redacted
Start Address: 80.4.0.0
End Address: 80.4.15.255
IP Version: v4
Name: VMCBBUK
Type: ASSIGNED PA
Country: GB
Source: 
Parent Handle: 80.0.0.0 - 80.7.255.255
Status: active
Port43: whois.ripe.net
Remarks: 
Title: 
Data: AYLESBURYVirgin Media Consumer Broadband UKReport Abuse via http://www.virginmedia.com/netreport

Registrant ID: 
Handle: AS5089-MNT
Remark: 
	Event: 
	Date: 
Handle: NNMC1-RIPE
Remark: 
	Event: 
	Date: 
Handle: AR17821-RIPE
Remark: 
	Event: 
	Date: 
Role: registrant
Registrant version:v4

Whois Registration: 2023-06-27T16:10:19Z
Whois Last Modified: 2023-06-27T16:10:19Z
Links: https://rdap.db.ripe.net/ip/80.4.2.16
","Click here to view the data","8/19/2026, 5:37:55.418 AM","{""response"":{""ip_response"":{""registration"":""2023-06-27T16:10:19.0000000Z"",""name"":""VMCBBUK"",""country"":""GB"",""handle"":""80.4.0.0 - 80.4.15.255"",""last_changed"":""2023-06-27T16:10:19.0000000Z"",""net_range"":""80.4.0.0 - 80.4.15.255"",""net_type"":""ASSIGNED PA"",""parent"":""80.0.0.0 - 80.7.255.255"",""source_registery"":""APNIC""},""nameservers"":[],""parsed_whois"":null,""raw"":null,""registrant"":""VMCBBUK"",""registration"":null,""whois"":{""date"":""2026-08-19T00:00:00.0000000Z"",""record"":""Handle: geofeed1, rirSearch1, ips, cidr0, rdap_level_0, nro_rdap_profile_0, redacted\nStart Address: 80.4.0.0\nEnd Address: 80.4.15.255\nIP Version: v4\nName: VMCBBUK\nType: ASSIGNED PA\nCountry: GB\nSource: \nParent Handle: 80.0.0.0 - 80.7.255.255\nStatus: active\nPort43: whois.ripe.net\nRemarks: \nTitle: \nData: AYLESBURYVirgin Media Consumer Broadband UKReport Abuse via http://www.virginmedia.com/netreport\n\nRegistrant ID: \nHandle: AS5089-MNT\nRemark: \n\tEvent: \n\tDate: \nHandle: NNMC1-RIPE\nRemark: \n\tEvent: \n\tDate: \nHandle: AR17821-RIPE\nRemark: \n\tEvent: \n\tDate: \nRole: registrant\nRegistrant version:v4\n\nWhois Registration: 2023-06-27T16:10:19Z\nWhois Last Modified: 2023-06-27T16:10:19Z\nLinks: https://rdap.db.ripe.net/ip/80.4.2.16\n""}}}","8e42b5a4-1350-4818-abd4-a594af7b6837","dossier_whois_CL",
"b9dc13e9-ee85-442e-9ef3-6dc00bacf257",,ip,"10.0.7.83",whois,success,7,"3.0.0",,,,,,,,,,,,,"[]",,,,,,,,,,,,,,,,,,,,,,,,,,,"Click here to view the data","8/19/2026, 5:38:34.605 AM","{""response"":{""ip_response"":null,""nameservers"":[],""parsed_whois"":null,""raw"":null,""registrant"":"""",""registration"":null,""whois"":null}}","8e42b5a4-1350-4818-abd4-a594af7b6837","dossier_whois_CL",
"c8104905-3e5b-4c04-8a9a-801b82e37af0",,ip,"3.10.1.1",whois,success,272,"3.0.0",,,,null,"NET-3-8-0-0-1","8/1/2018, 4:09:11.000 PM","AMAZON-LHR","3.8.0.0 - 3.11.255.255",ALLOCATION,"NET-3-0-0-0-1","8/1/2018, 4:09:11.000 PM",APNIC,"[]",,,,,,,,,,,,,,,,,"AMAZON-LHR",,,,,,,,"8/19/2026, 12:00:00.000 AM","Handle: nro_rdap_profile_0, rdap_level_0, cidr0, arin_originas0
Start Address: 3.8.0.0
End Address: 3.11.255.255
IP Version: v4
Name: AMAZON-LHR
Type: ALLOCATION
Country: 
Source: 
Parent Handle: NET-3-0-0-0-1
Status: active
Port43: whois.arin.net
Remarks: 

Registrant ID: 
Handle: ADSU
Remark: 
	Event: 
	Date: 
Role: registrant
Registrant version:v4

Whois Registration: 2018-08-01T12:09:11-04:00
Whois Last Modified: 2018-08-01T12:09:11-04:00
Links: https://rdap.arin.net/registry/ip/3.10.1.1
","Click here to view the data","8/19/2026, 5:39:34.307 AM","{""response"":{""ip_response"":{""registration"":""2018-08-01T16:09:11.0000000Z"",""name"":""AMAZON-LHR"",""country"":""null"",""handle"":""NET-3-8-0-0-1"",""last_changed"":""2018-08-01T16:09:11.0000000Z"",""net_range"":""3.8.0.0 - 3.11.255.255"",""net_type"":""ALLOCATION"",""parent"":""NET-3-0-0-0-1"",""source_registery"":""APNIC""},""nameservers"":[],""parsed_whois"":null,""raw"":null,""registrant"":""AMAZON-LHR"",""registration"":null,""whois"":{""date"":""2026-08-19T00:00:00.0000000Z"",""record"":""Handle: nro_rdap_profile_0, rdap_level_0, cidr0, arin_originas0\nStart Address: 3.8.0.0\nEnd Address: 3.11.255.255\nIP Version: v4\nName: AMAZON-LHR\nType: ALLOCATION\nCountry: \nSource: \nParent Handle: NET-3-0-0-0-1\nStatus: active\nPort43: whois.arin.net\nRemarks: \n\nRegistrant ID: \nHandle: ADSU\nRemark: \n\tEvent: \n\tDate: \nRole: registrant\nRegistrant version:v4\n\nWhois Registration: 2018-08-01T12:09:11-04:00\nWhois Last Modified: 2018-08-01T12:09:11-04:00\nLinks: https://rdap.arin.net/registry/ip/3.10.1.1\n""}}}","8e42b5a4-1350-4818-abd4-a594af7b6837","dossier_whois_CL",
