TimeGenerated [UTC],custom_details_objectId_g,summary_s,source_s,severity_s,class_s,custom_details_id_g,custom_details_type_s,custom_details_objectName_s,custom_details_objectType_s,custom_details_status_s,custom_details_clusterId_g,timestamp_t [UTC],Type
"9/15/2022, 11:40:03.520 PM",323590d7-5541-54bd-863b-b9f8a3ef40ec,Finished Ransomware Investigation analysis for snapshot taken on 2022-09-15 23:06:10.891 +0000 UTC of HypervVirtualMachine 'DMALBROUGH-VMHV'.,40fdb2a5-3591-40ee-a37a-50bce5240d62 | 323590d7-5541-54bd-863b-b9f8a3ef40ec,info,RadarAnalysis,084622f1-2a48-4df9-a987-f2f167820644,Event,DMALBROUGH-VMHV,HypervVm,Success,40fdb2a5-3591-40ee-a37a-50bce5240d62,"9/15/2022, 11:40:00.935 PM",Rubrik_Ransomware_Event_Data_CL
"9/15/2022, 11:40:04.672 PM",b8dc9359-5e80-4ab8-81e8-32fd73b2ea0d,Finished Ransomware Investigation analysis for snapshot taken on 2022-09-15 23:01:36.535 +0000 UTC of HypervVirtualMachine 'Windows2016 Test'.,40fdb2a5-3591-40ee-a37a-50bce5240d62 | b8dc9359-5e80-4ab8-81e8-32fd73b2ea0d,info,RadarAnalysis,15263022-94e9-4d89-8c38-f17264b5d4a4,Event,Windows2016 Test,HypervVm,Success,40fdb2a5-3591-40ee-a37a-50bce5240d62,"9/15/2022, 11:40:03.106 PM",Rubrik_Ransomware_Event_Data_CL
"9/15/2022, 11:40:04.573 PM",b8dc9359-5e80-4ab8-81e8-32fd73b2ea0d,Started Ransomware Investigation analysis for snapshot taken on 2022-09-15 23:01:36.535 +0000 UTC of HypervVirtualMachine 'Windows2016 Test'.,40fdb2a5-3591-40ee-a37a-50bce5240d62 | b8dc9359-5e80-4ab8-81e8-32fd73b2ea0d,info,RadarAnalysis,b5dd7201-1c63-4fb2-bec1-c0597ec873eb,Event,Windows2016 Test,HypervVm,TaskSuccess,40fdb2a5-3591-40ee-a37a-50bce5240d62,"9/15/2022, 11:40:03.001 PM",Rubrik_Ransomware_Event_Data_CL
"9/15/2022, 11:40:05.152 PM",323590d7-5541-54bd-863b-b9f8a3ef40ec,Started Ransomware Investigation analysis for snapshot taken on 2022-09-15 23:06:10.891 +0000 UTC of HypervVirtualMachine 'DMALBROUGH-VMHV'.,40fdb2a5-3591-40ee-a37a-50bce5240d62 | 323590d7-5541-54bd-863b-b9f8a3ef40ec,info,RadarAnalysis,1e212c19-8125-49f7-ac68-9b403e6703f3,Event,DMALBROUGH-VMHV,HypervVm,TaskSuccess,40fdb2a5-3591-40ee-a37a-50bce5240d62,"9/15/2022, 11:40:00.858 PM",Rubrik_Ransomware_Event_Data_CL
"9/15/2022, 11:41:08.701 PM",cada75e2-9557-453f-8b7b-3fa40592053e,Started Ransomware Investigation analysis for snapshot taken on 2022-09-15 23:03:10.814 +0000 UTC of HypervVirtualMachine 'ClusterVM_2016'.,40fdb2a5-3591-40ee-a37a-50bce5240d62 | cada75e2-9557-453f-8b7b-3fa40592053e,info,RadarAnalysis,f43fb3a8-c27a-4d4b-a746-5232573d9b38,Event,ClusterVM_2016,HypervVm,TaskSuccess,40fdb2a5-3591-40ee-a37a-50bce5240d62,"9/15/2022, 11:41:07.961 PM",Rubrik_Ransomware_Event_Data_CL
"9/15/2022, 11:41:09.486 PM",cada75e2-9557-453f-8b7b-3fa40592053e,Finished Ransomware Investigation analysis for snapshot taken on 2022-09-15 23:03:10.814 +0000 UTC of HypervVirtualMachine 'ClusterVM_2016'.,40fdb2a5-3591-40ee-a37a-50bce5240d62 | cada75e2-9557-453f-8b7b-3fa40592053e,info,RadarAnalysis,214c1192-c772-4c1e-93cb-0bbad2d65f91,Event,ClusterVM_2016,HypervVm,Success,40fdb2a5-3591-40ee-a37a-50bce5240d62,"9/15/2022, 11:41:08.034 PM",Rubrik_Ransomware_Event_Data_CL
"9/15/2022, 11:45:54.993 PM",aeb5d0d5-6e6f-5c44-9f30-a89d7d487abd,Finished Ransomware Investigation analysis for snapshot taken on 2022-09-15 23:01:40.987 +0000 UTC of HypervVirtualMachine 'Ubuntu Test Machine'.,40fdb2a5-3591-40ee-a37a-50bce5240d62 | aeb5d0d5-6e6f-5c44-9f30-a89d7d487abd,info,RadarAnalysis,57ba983c-eab1-4c9d-beb2-a8902ce0d5ac,Event,Ubuntu Test Machine,HypervVm,Success,40fdb2a5-3591-40ee-a37a-50bce5240d62,"9/15/2022, 11:45:54.436 PM",Rubrik_Ransomware_Event_Data_CL
"9/15/2022, 11:45:55.162 PM",aeb5d0d5-6e6f-5c44-9f30-a89d7d487abd,Started Ransomware Investigation analysis for snapshot taken on 2022-09-15 23:01:40.987 +0000 UTC of HypervVirtualMachine 'Ubuntu Test Machine'.,40fdb2a5-3591-40ee-a37a-50bce5240d62 | aeb5d0d5-6e6f-5c44-9f30-a89d7d487abd,info,RadarAnalysis,a408f9f3-3365-421b-a423-130bbc8c5a97,Event,Ubuntu Test Machine,HypervVm,TaskSuccess,40fdb2a5-3591-40ee-a37a-50bce5240d62,"9/15/2022, 11:45:54.315 PM",Rubrik_Ransomware_Event_Data_CL
"9/16/2022, 3:26:05.122 AM",3933e7e9-ca66-51b0-9c58-be9a3881d134,Finished Ransomware Investigation analysis for snapshot taken on 2022-09-16 02:38:53.519 +0000 UTC of VmwareVirtualMachine 'ZFG-WEB-01'.,8b4fe6f6-cc87-4354-a125-b65e23cf8c90 | 3933e7e9-ca66-51b0-9c58-be9a3881d134,info,RadarAnalysis,3c4e1b8a-b0f8-4f0c-aa09-0c37200297b9,Event,ZFG-WEB-01,VmwareVm,Success,8b4fe6f6-cc87-4354-a125-b65e23cf8c90,"9/16/2022, 3:25:56.824 AM",Rubrik_Ransomware_Event_Data_CL
"9/16/2022, 3:26:05.534 AM",3933e7e9-ca66-51b0-9c58-be9a3881d134,Started Ransomware Investigation analysis for snapshot taken on 2022-09-16 02:38:53.519 +0000 UTC of VmwareVirtualMachine 'ZFG-WEB-01'.,8b4fe6f6-cc87-4354-a125-b65e23cf8c90 | 3933e7e9-ca66-51b0-9c58-be9a3881d134,info,RadarAnalysis,3a3f9495-3774-4ffe-86dd-232f3d2b8c52,Event,ZFG-WEB-01,VmwareVm,TaskSuccess,8b4fe6f6-cc87-4354-a125-b65e23cf8c90,"9/16/2022, 3:25:56.718 AM",Rubrik_Ransomware_Event_Data_CL
"9/16/2022, 3:33:33.966 AM",b8dc9359-5e80-4ab8-81e8-32fd73b2ea0d,Started Ransomware Investigation analysis for snapshot taken on 2022-09-16 03:01:38.196 +0000 UTC of HypervVirtualMachine 'Windows2016 Test'.,40fdb2a5-3591-40ee-a37a-50bce5240d62 | b8dc9359-5e80-4ab8-81e8-32fd73b2ea0d,info,RadarAnalysis,9007f92d-7832-4160-80e6-2d08f361bfad,Event,Windows2016 Test,HypervVm,TaskSuccess,40fdb2a5-3591-40ee-a37a-50bce5240d62,"9/16/2022, 3:33:32.722 AM",Rubrik_Ransomware_Event_Data_CL
"9/16/2022, 7:29:44.566 AM",cb611c83-59ef-5abf-aa00-a9a3176158df,Started Ransomware Investigation analysis for snapshot taken on 2022-09-16 07:02:04.505 +0000 UTC of VolumeGroup 'DEMO-EXG02 volumes'.,8b4fe6f6-cc87-4354-a125-b65e23cf8c90 | cb611c83-59ef-5abf-aa00-a9a3176158df,info,RadarAnalysis,9ad76efb-39b7-4809-b6cc-e5f5e190120d,Event,DEMO-EXG02 volumes,VolumeGroup,TaskSuccess,8b4fe6f6-cc87-4354-a125-b65e23cf8c90,"9/16/2022, 7:29:41.446 AM",Rubrik_Ransomware_Event_Data_CL
"9/16/2022, 7:29:43.514 AM",cb611c83-59ef-5abf-aa00-a9a3176158df,Finished Ransomware Investigation analysis for snapshot taken on 2022-09-16 07:02:04.505 +0000 UTC of VolumeGroup 'DEMO-EXG02 volumes'.,8b4fe6f6-cc87-4354-a125-b65e23cf8c90 | cb611c83-59ef-5abf-aa00-a9a3176158df,info,RadarAnalysis,c8f212ae-654e-4ff9-ba87-5359326e87e0,Event,DEMO-EXG02 volumes,VolumeGroup,Success,8b4fe6f6-cc87-4354-a125-b65e23cf8c90,"9/16/2022, 7:29:41.561 AM",Rubrik_Ransomware_Event_Data_CL
"9/16/2022, 7:35:53.766 AM",fcdaecb2-e0a8-5294-8461-808ef38e7e9b,Started Ransomware Investigation analysis for snapshot taken on 2022-09-16 07:08:28.479 +0000 UTC of VmwareVirtualMachine 'IDM'.,40fdb2a5-3591-40ee-a37a-50bce5240d62 | fcdaecb2-e0a8-5294-8461-808ef38e7e9b,info,RadarAnalysis,7db7192c-1c71-43f1-9503-b6d3a468c0c3,Event,IDM,VmwareVm,TaskSuccess,40fdb2a5-3591-40ee-a37a-50bce5240d62,"9/16/2022, 7:35:51.767 AM",Rubrik_Ransomware_Event_Data_CL
"9/16/2022, 7:35:54.044 AM",2783414b-6280-5f75-abea-57742295a386,Started Ransomware Investigation analysis for snapshot taken on 2022-09-16 07:05:59.268 +0000 UTC of VmwareVirtualMachine 'DEMO-AF-WEB1'.,40fdb2a5-3591-40ee-a37a-50bce5240d62 | 2783414b-6280-5f75-abea-57742295a386,info,RadarAnalysis,950a8646-b509-4538-bc2d-3d491b0921d1,Event,DEMO-AF-WEB1,VmwareVm,TaskSuccess,40fdb2a5-3591-40ee-a37a-50bce5240d62,"9/16/2022, 7:35:46.483 AM",Rubrik_Ransomware_Event_Data_CL
"9/16/2022, 7:35:54.110 AM",fcdaecb2-e0a8-5294-8461-808ef38e7e9b,Finished Ransomware Investigation analysis for snapshot taken on 2022-09-16 07:08:28.479 +0000 UTC of VmwareVirtualMachine 'IDM'.,40fdb2a5-3591-40ee-a37a-50bce5240d62 | fcdaecb2-e0a8-5294-8461-808ef38e7e9b,info,RadarAnalysis,45a05045-fcbb-4e30-9ce1-30e368f7fb63,Event,IDM,VmwareVm,Success,40fdb2a5-3591-40ee-a37a-50bce5240d62,"9/16/2022, 7:35:51.831 AM",Rubrik_Ransomware_Event_Data_CL
"9/16/2022, 7:35:54.074 AM",0299f943-0d28-5d81-8576-eca225ddef1b,Started Ransomware Investigation analysis for snapshot taken on 2022-09-16 07:05:59.342 +0000 UTC of VmwareVirtualMachine 'LCM'.,40fdb2a5-3591-40ee-a37a-50bce5240d62 | 0299f943-0d28-5d81-8576-eca225ddef1b,info,RadarAnalysis,840f4a37-9ac6-4be1-85be-4885ccf0dea1,Event,LCM,VmwareVm,TaskSuccess,40fdb2a5-3591-40ee-a37a-50bce5240d62,"9/16/2022, 7:35:48.623 AM",Rubrik_Ransomware_Event_Data_CL
"9/16/2022, 7:35:55.714 AM",323590d7-5541-54bd-863b-b9f8a3ef40ec,Finished Ransomware Investigation analysis for snapshot taken on 2022-09-16 07:06:13.035 +0000 UTC of HypervVirtualMachine 'DMALBROUGH-VMHV'.,40fdb2a5-3591-40ee-a37a-50bce5240d62 | 323590d7-5541-54bd-863b-b9f8a3ef40ec,info,RadarAnalysis,70c486fa-9713-4e7a-bda9-08846bce388c,Event,DMALBROUGH-VMHV,HypervVm,Success,40fdb2a5-3591-40ee-a37a-50bce5240d62,"9/16/2022, 7:35:54.293 AM",Rubrik_Ransomware_Event_Data_CL
"9/16/2022, 7:35:55.342 AM",0299f943-0d28-5d81-8576-eca225ddef1b,Finished Ransomware Investigation analysis for snapshot taken on 2022-09-16 07:05:59.342 +0000 UTC of VmwareVirtualMachine 'LCM'.,40fdb2a5-3591-40ee-a37a-50bce5240d62 | 0299f943-0d28-5d81-8576-eca225ddef1b,info,RadarAnalysis,afa249f1-c809-498f-ac4f-2f29be39982f,Event,LCM,VmwareVm,Success,40fdb2a5-3591-40ee-a37a-50bce5240d62,"9/16/2022, 7:35:48.685 AM",Rubrik_Ransomware_Event_Data_CL
"9/16/2022, 7:35:56.846 AM",323590d7-5541-54bd-863b-b9f8a3ef40ec,Started Ransomware Investigation analysis for snapshot taken on 2022-09-16 07:06:13.035 +0000 UTC of HypervVirtualMachine 'DMALBROUGH-VMHV'.,40fdb2a5-3591-40ee-a37a-50bce5240d62 | 323590d7-5541-54bd-863b-b9f8a3ef40ec,info,RadarAnalysis,e5e7b721-5df2-4501-9d79-08be06dce787,Event,DMALBROUGH-VMHV,HypervVm,TaskSuccess,40fdb2a5-3591-40ee-a37a-50bce5240d62,"9/16/2022, 7:35:54.220 AM",Rubrik_Ransomware_Event_Data_CL
