TenantId,SourceSystem,MG,ManagementGroupName,"TimeGenerated [UTC]",Computer,RawData,"parentObjectId_s","reportedObjectId_s","parentObjectId_g","performedBy_id_s","timestamp_d","auditType_d","enforcementSource_d","userRole_d","destinationEntitiesList_s","details_s","reportedObjectId_g","reportedObjectGeneration_d","performedBy_id_g","performedBy_name_s",Type,"_ResourceId"
"bb902f4d-7a83-4b9b-9f0f-89c5d403ffc1",RestAPI,,,"10/30/2022, 7:15:00.616 PM",,,,,"75bde6e6-83d6-401b-b63b-c2ed062e80fb","u:a:f9KNkzvT",1667157218058,22,2,6,"[
  {
    ""id"": ""a:a:3e8c791b"",
    ""name"": ""OFFICE-TLV-DC16""
  }
]","{""rule"":{""LocalEntityID"":""a:a:3e8c791b"",""localEntityNames"":{""id"":""a:a:3e8c791b"",""name"":""OFFICE-TLV-DC16""},""remoteEntityNames"":[{""id"":""a:a:9kGi4Os0"",""name"":""POLINA-LAPTOP""}],""ports"":[{""protocol_type"":6,""ports"":""3389""}],""expiration"":1667157218012,""description"":""RDP/WinRM MFA"",""localProcesses"":[""*""],""created_by"":{""id"":""u:a:f9KNkzvT"",""name"":""Polina Blinchevsky""},""enforcementSource"":1,""createdAt"":1667142818014,""approvedBy"":null,""usedMfaMethod"":0,""excludedLocalEntityNames"":[],""state"":1,""updatedAt"":1667142818014,""updatedBy"":{}}}","2f98c677-01ae-4045-a95c-99e3524ebc7b",1264139,,"Polina Blinchevsky","ZNSegmentAudit_CL",
"bb902f4d-7a83-4b9b-9f0f-89c5d403ffc1",RestAPI,,,"10/30/2022, 8:25:00.666 PM",,,,,,"m:8cd0f646c46e5d66cda87bc884c2832519d87255",1667161493487,32,6,4,"[
  {
    ""id"": ""b:110002"",
    ""name"": ""All protected assets""
  }
]","{""rule"":{""LocalEntityID"":"""",""localEntityNames"":{""id"":""b:110002"",""name"":""All protected assets""},""remoteEntityNames"":[{""id"":""b:12ac10010120"",""name"":""172.16.1.1""},{""id"":""b:12ac10020120"",""name"":""172.16.2.1""}],""ports"":[{""protocol_type"":1}],""expiration"":0,""description"":""Sentinel Integration - Block Malicous IPs"",""localProcesses"":[""*""],""created_by"":{""id"":""u:a:ZMLGbhRk"",""name"":""Nicholas DiCola""},""enforcementSource"":4,""createdAt"":1647536872111,""approvedBy"":null,""usedMfaMethod"":0,""excludedLocalEntityNames"":[],""state"":1,""updatedAt"":1667161493448,""updatedBy"":{""id"":""m:8cd0f646c46e5d66cda87bc884c2832519d87255"",""name"":""MS Sentinel Integration""}},""prevRule"":{""LocalEntityID"":"""",""localEntityNames"":{""id"":""b:110002"",""name"":""All protected assets""},""remoteEntityNames"":[{""id"":""b:12ac10010120"",""name"":""172.16.1.1""}],""ports"":[{""protocol_type"":1}],""expiration"":0,""description"":""Sentinel Integration - Block Malicous IPs"",""localProcesses"":[""*""],""created_by"":{""id"":""u:a:ZMLGbhRk"",""name"":""Nicholas DiCola""},""enforcementSource"":4,""createdAt"":1647536872111,""approvedBy"":null,""usedMfaMethod"":0,""excludedLocalEntityNames"":[],""state"":1,""updatedAt"":1667161493258,""updatedBy"":{""id"":""m:8cd0f646c46e5d66cda87bc884c2832519d87255"",""name"":""MS Sentinel Integration""}}}","16ccf615-91e0-491c-9e99-0553ac9a41de",1264186,,"MS Sentinel Integration","ZNSegmentAudit_CL",
"bb902f4d-7a83-4b9b-9f0f-89c5d403ffc1",RestAPI,,,"10/30/2022, 8:25:00.666 PM",,,,,,"m:8cd0f646c46e5d66cda87bc884c2832519d87255",1667161493337,32,6,4,"[
  {
    ""id"": ""b:110002"",
    ""name"": ""All protected assets""
  }
]","{""rule"":{""LocalEntityID"":"""",""localEntityNames"":{""id"":""b:110002"",""name"":""All protected assets""},""remoteEntityNames"":[{""id"":""b:12ac10010120"",""name"":""172.16.1.1""}],""ports"":[{""protocol_type"":1}],""expiration"":0,""description"":""Sentinel Integration - Block Malicous IPs"",""localProcesses"":[""*""],""created_by"":{""id"":""u:a:ZMLGbhRk"",""name"":""Nicholas DiCola""},""enforcementSource"":4,""createdAt"":1647536872111,""approvedBy"":null,""usedMfaMethod"":0,""excludedLocalEntityNames"":[],""state"":1,""updatedAt"":1667161493279,""updatedBy"":{""id"":""m:8cd0f646c46e5d66cda87bc884c2832519d87255"",""name"":""MS Sentinel Integration""}},""prevRule"":{""LocalEntityID"":"""",""localEntityNames"":{""id"":""b:110002"",""name"":""All protected assets""},""remoteEntityNames"":[{""id"":""b:12ac10010120"",""name"":""172.16.1.1""},{""id"":""b:12ac10020120"",""name"":""172.16.2.1""}],""ports"":[{""protocol_type"":1}],""expiration"":0,""description"":""Sentinel Integration - Block Malicous IPs"",""localProcesses"":[""*""],""created_by"":{""id"":""u:a:ZMLGbhRk"",""name"":""Nicholas DiCola""},""enforcementSource"":4,""createdAt"":1647536872111,""approvedBy"":null,""usedMfaMethod"":0,""excludedLocalEntityNames"":[],""state"":1,""updatedAt"":1667132693737,""updatedBy"":{""id"":""m:8cd0f646c46e5d66cda87bc884c2832519d87255"",""name"":""MS Sentinel Integration""}}}","16ccf615-91e0-491c-9e99-0553ac9a41de",1264185,,"MS Sentinel Integration","ZNSegmentAudit_CL",
"bb902f4d-7a83-4b9b-9f0f-89c5d403ffc1",RestAPI,,,"10/30/2022, 8:30:00.679 PM",,,,,"75bde6e6-83d6-401b-b63b-c2ed062e80fb","u:a:7aIK8NFw",1667161669254,22,2,6,"[
  {
    ""id"": ""a:a:3e8c791b"",
    ""name"": ""OFFICE-TLV-DC16""
  }
]","{""rule"":{""LocalEntityID"":""a:a:3e8c791b"",""localEntityNames"":{""id"":""a:a:3e8c791b"",""name"":""OFFICE-TLV-DC16""},""remoteEntityNames"":[{""id"":""a:j:htWsiHQa"",""name"":""lab2-mac-1""}],""ports"":[{""protocol_type"":6,""ports"":""3389""}],""expiration"":1667161669216,""description"":""RDP/WinRM MFA"",""localProcesses"":[""*""],""created_by"":{""id"":""u:a:7aIK8NFw"",""name"":""Yossi Ioukhtov""},""enforcementSource"":1,""createdAt"":1667147269218,""approvedBy"":null,""usedMfaMethod"":0,""excludedLocalEntityNames"":[],""state"":1,""updatedAt"":1667147269218,""updatedBy"":{}}}","b5604dad-2c46-4235-bf8b-5ab006facbcb",1264189,,"Yossi Ioukhtov","ZNSegmentAudit_CL",
"bb902f4d-7a83-4b9b-9f0f-89c5d403ffc1",RestAPI,,,"10/31/2022, 4:25:00.998 AM",,,,,,"m:8cd0f646c46e5d66cda87bc884c2832519d87255",1667190294246,32,6,4,"[
  {
    ""id"": ""b:110002"",
    ""name"": ""All protected assets""
  }
]","{""rule"":{""LocalEntityID"":"""",""localEntityNames"":{""id"":""b:110002"",""name"":""All protected assets""},""remoteEntityNames"":[{""id"":""b:12ac10010120"",""name"":""172.16.1.1""},{""id"":""b:12ac10020120"",""name"":""172.16.2.1""}],""ports"":[{""protocol_type"":1}],""expiration"":0,""description"":""Sentinel Integration - Block Malicous IPs"",""localProcesses"":[""*""],""created_by"":{""id"":""u:a:ZMLGbhRk"",""name"":""Nicholas DiCola""},""enforcementSource"":4,""createdAt"":1647536872111,""approvedBy"":null,""usedMfaMethod"":0,""excludedLocalEntityNames"":[],""state"":1,""updatedAt"":1667190294208,""updatedBy"":{""id"":""m:8cd0f646c46e5d66cda87bc884c2832519d87255"",""name"":""MS Sentinel Integration""}},""prevRule"":{""LocalEntityID"":"""",""localEntityNames"":{""id"":""b:110002"",""name"":""All protected assets""},""remoteEntityNames"":[{""id"":""b:12ac10010120"",""name"":""172.16.1.1""}],""ports"":[{""protocol_type"":1}],""expiration"":0,""description"":""Sentinel Integration - Block Malicous IPs"",""localProcesses"":[""*""],""created_by"":{""id"":""u:a:ZMLGbhRk"",""name"":""Nicholas DiCola""},""enforcementSource"":4,""createdAt"":1647536872111,""approvedBy"":null,""usedMfaMethod"":0,""excludedLocalEntityNames"":[],""state"":1,""updatedAt"":1667190294042,""updatedBy"":{""id"":""m:8cd0f646c46e5d66cda87bc884c2832519d87255"",""name"":""MS Sentinel Integration""}}}","16ccf615-91e0-491c-9e99-0553ac9a41de",1264595,,"MS Sentinel Integration","ZNSegmentAudit_CL",
"bb902f4d-7a83-4b9b-9f0f-89c5d403ffc1",RestAPI,,,"10/31/2022, 4:25:00.998 AM",,,,,,"m:8cd0f646c46e5d66cda87bc884c2832519d87255",1667190294100,32,6,4,"[
  {
    ""id"": ""b:110002"",
    ""name"": ""All protected assets""
  }
]","{""rule"":{""LocalEntityID"":"""",""localEntityNames"":{""id"":""b:110002"",""name"":""All protected assets""},""remoteEntityNames"":[{""id"":""b:12ac10010120"",""name"":""172.16.1.1""}],""ports"":[{""protocol_type"":1}],""expiration"":0,""description"":""Sentinel Integration - Block Malicous IPs"",""localProcesses"":[""*""],""created_by"":{""id"":""u:a:ZMLGbhRk"",""name"":""Nicholas DiCola""},""enforcementSource"":4,""createdAt"":1647536872111,""approvedBy"":null,""usedMfaMethod"":0,""excludedLocalEntityNames"":[],""state"":1,""updatedAt"":1667190294062,""updatedBy"":{""id"":""m:8cd0f646c46e5d66cda87bc884c2832519d87255"",""name"":""MS Sentinel Integration""}},""prevRule"":{""LocalEntityID"":"""",""localEntityNames"":{""id"":""b:110002"",""name"":""All protected assets""},""remoteEntityNames"":[{""id"":""b:12ac10010120"",""name"":""172.16.1.1""},{""id"":""b:12ac10020120"",""name"":""172.16.2.1""}],""ports"":[{""protocol_type"":1}],""expiration"":0,""description"":""Sentinel Integration - Block Malicous IPs"",""localProcesses"":[""*""],""created_by"":{""id"":""u:a:ZMLGbhRk"",""name"":""Nicholas DiCola""},""enforcementSource"":4,""createdAt"":1647536872111,""approvedBy"":null,""usedMfaMethod"":0,""excludedLocalEntityNames"":[],""state"":1,""updatedAt"":1667161493427,""updatedBy"":{""id"":""m:8cd0f646c46e5d66cda87bc884c2832519d87255"",""name"":""MS Sentinel Integration""}}}","16ccf615-91e0-491c-9e99-0553ac9a41de",1264594,,"MS Sentinel Integration","ZNSegmentAudit_CL",
"bb902f4d-7a83-4b9b-9f0f-89c5d403ffc1",RestAPI,,,"10/31/2022, 12:25:03.680 PM",,,,,,"m:8cd0f646c46e5d66cda87bc884c2832519d87255",1667219094667,32,6,4,"[
  {
    ""id"": ""b:110002"",
    ""name"": ""All protected assets""
  }
]","{""rule"":{""LocalEntityID"":"""",""localEntityNames"":{""id"":""b:110002"",""name"":""All protected assets""},""remoteEntityNames"":[{""id"":""b:12ac10010120"",""name"":""172.16.1.1""},{""id"":""b:12ac10020120"",""name"":""172.16.2.1""}],""ports"":[{""protocol_type"":1}],""expiration"":0,""description"":""Sentinel Integration - Block Malicous IPs"",""localProcesses"":[""*""],""created_by"":{""id"":""u:a:ZMLGbhRk"",""name"":""Nicholas DiCola""},""enforcementSource"":4,""createdAt"":1647536872111,""approvedBy"":null,""usedMfaMethod"":0,""excludedLocalEntityNames"":[],""state"":1,""updatedAt"":1667219094627,""updatedBy"":{""id"":""m:8cd0f646c46e5d66cda87bc884c2832519d87255"",""name"":""MS Sentinel Integration""}},""prevRule"":{""LocalEntityID"":"""",""localEntityNames"":{""id"":""b:110002"",""name"":""All protected assets""},""remoteEntityNames"":[{""id"":""b:12ac10010120"",""name"":""172.16.1.1""}],""ports"":[{""protocol_type"":1}],""expiration"":0,""description"":""Sentinel Integration - Block Malicous IPs"",""localProcesses"":[""*""],""created_by"":{""id"":""u:a:ZMLGbhRk"",""name"":""Nicholas DiCola""},""enforcementSource"":4,""createdAt"":1647536872111,""approvedBy"":null,""usedMfaMethod"":0,""excludedLocalEntityNames"":[],""state"":1,""updatedAt"":1667219094416,""updatedBy"":{""id"":""m:8cd0f646c46e5d66cda87bc884c2832519d87255"",""name"":""MS Sentinel Integration""}}}","16ccf615-91e0-491c-9e99-0553ac9a41de",1265024,,"MS Sentinel Integration","ZNSegmentAudit_CL",
"bb902f4d-7a83-4b9b-9f0f-89c5d403ffc1",RestAPI,,,"10/31/2022, 12:25:03.680 PM",,,,,,"m:8cd0f646c46e5d66cda87bc884c2832519d87255",1667219094466,32,6,4,"[
  {
    ""id"": ""b:110002"",
    ""name"": ""All protected assets""
  }
]","{""rule"":{""LocalEntityID"":"""",""localEntityNames"":{""id"":""b:110002"",""name"":""All protected assets""},""remoteEntityNames"":[{""id"":""b:12ac10010120"",""name"":""172.16.1.1""}],""ports"":[{""protocol_type"":1}],""expiration"":0,""description"":""Sentinel Integration - Block Malicous IPs"",""localProcesses"":[""*""],""created_by"":{""id"":""u:a:ZMLGbhRk"",""name"":""Nicholas DiCola""},""enforcementSource"":4,""createdAt"":1647536872111,""approvedBy"":null,""usedMfaMethod"":0,""excludedLocalEntityNames"":[],""state"":1,""updatedAt"":1667219094431,""updatedBy"":{""id"":""m:8cd0f646c46e5d66cda87bc884c2832519d87255"",""name"":""MS Sentinel Integration""}},""prevRule"":{""LocalEntityID"":"""",""localEntityNames"":{""id"":""b:110002"",""name"":""All protected assets""},""remoteEntityNames"":[{""id"":""b:12ac10010120"",""name"":""172.16.1.1""},{""id"":""b:12ac10020120"",""name"":""172.16.2.1""}],""ports"":[{""protocol_type"":1}],""expiration"":0,""description"":""Sentinel Integration - Block Malicous IPs"",""localProcesses"":[""*""],""created_by"":{""id"":""u:a:ZMLGbhRk"",""name"":""Nicholas DiCola""},""enforcementSource"":4,""createdAt"":1647536872111,""approvedBy"":null,""usedMfaMethod"":0,""excludedLocalEntityNames"":[],""state"":1,""updatedAt"":1667190294188,""updatedBy"":{""id"":""m:8cd0f646c46e5d66cda87bc884c2832519d87255"",""name"":""MS Sentinel Integration""}}}","16ccf615-91e0-491c-9e99-0553ac9a41de",1265023,,"MS Sentinel Integration","ZNSegmentAudit_CL",
"bb902f4d-7a83-4b9b-9f0f-89c5d403ffc1",RestAPI,,,"10/30/2022, 5:45:00.551 PM",,,,"m:f546f51dc2cefab4ba917ddf500379fe8e3531d6",,,1667151812483,27,5,1,"[
  {
    ""id"": ""m:f546f51dc2cefab4ba917ddf500379fe8e3531d6"",
    ""name"": ""yossii""
  }
]",,,,"1f352ed0-86f1-454f-90a5-592c197c8000","Zero Networks","ZNSegmentAudit_CL",
"bb902f4d-7a83-4b9b-9f0f-89c5d403ffc1",RestAPI,,,"10/30/2022, 1:20:00.714 PM",,,,,"75bde6e6-83d6-401b-b63b-c2ed062e80fb",,1667135834838,20,1,6,"[
  {
    ""id"": ""a:a:3e8c791b"",
    ""name"": ""OFFICE-TLV-DC16""
  }
]","{""rule"":{""LocalEntityID"":""a:a:3e8c791b"",""localEntityNames"":{""id"":""a:a:3e8c791b"",""name"":""OFFICE-TLV-DC16""},""remoteEntityNames"":[{""id"":""a:j:htWsiHQa"",""name"":""lab2-mac-1""}],""ports"":[{""protocol_type"":6,""ports"":""3389""}],""expiration"":1667150234793,""description"":""RDP/WinRM MFA"",""localProcesses"":[""*""],""created_by"":{},""enforcementSource"":1,""createdAt"":1667135834795,""approvedBy"":null,""usedMfaMethod"":4,""excludedLocalEntityNames"":[],""state"":1,""updatedAt"":1667135834795,""updatedBy"":{}}}","cd08a79a-9c7c-4367-87b9-b021f38e159d",1263773,,,"ZNSegmentAudit_CL",
