"TimeGenerated [UTC]","Timestamp [UTC]",RawData,Message,Severity,TenantId,Type,"_ResourceId"
"9/20/2024, 3:53:47.935 AM",,"{""eventid"":""cowrie.session.connect"",""src_ip"":""45.168.176.36"",""src_port"":39266,""dst_ip"":""10.0.0.4"",""dst_port"":2222,""session"":""a619d69162d9"",""protocol"":""ssh"",""message"":""New connection: 45.168.176.36:39266 (10.0.0.4:2222) [session: a619d69162d9]"",""sensor"":""server01"",""timestamp"":""2024-09-20T03:53:47.934557Z""}
",,,"b3e3b5d0-8c0b-43a4-80ac-2965c6cfdfa0","newCowrie_CL","/subscriptions/1598f60c-b2fc-444f-af68-e88b999bc0c2/resourcegroups/rgtisensor/providers/microsoft.compute/virtualmachines/server01"
"9/20/2024, 3:53:47.937 AM",,"{""eventid"":""cowrie.session.closed"",""duration"":0.0004012584686279297,""message"":""Connection lost after 0 seconds"",""sensor"":""server01"",""timestamp"":""2024-09-20T03:53:47.936345Z"",""src_ip"":""45.168.176.36"",""session"":""a619d69162d9""}
",,,"b3e3b5d0-8c0b-43a4-80ac-2965c6cfdfa0","newCowrie_CL","/subscriptions/1598f60c-b2fc-444f-af68-e88b999bc0c2/resourcegroups/rgtisensor/providers/microsoft.compute/virtualmachines/server01"
"9/20/2024, 3:28:28.643 AM",,"{""eventid"":""cowrie.session.connect"",""src_ip"":""172.172.34.12"",""src_port"":22159,""dst_ip"":""10.0.0.4"",""dst_port"":2222,""session"":""9f8984885fc0"",""protocol"":""ssh"",""message"":""New connection: 172.172.34.12:22159 (10.0.0.4:2222) [session: 9f8984885fc0]"",""sensor"":""server01"",""timestamp"":""2024-09-20T03:28:28.642670Z""}
",,,"b3e3b5d0-8c0b-43a4-80ac-2965c6cfdfa0","newCowrie_CL","/subscriptions/1598f60c-b2fc-444f-af68-e88b999bc0c2/resourcegroups/rgtisensor/providers/microsoft.compute/virtualmachines/server01"
"9/20/2024, 3:28:28.645 AM",,"{""eventid"":""cowrie.client.version"",""version"":""SSH-2.0-PuTTY_Release_0.81"",""message"":""Remote SSH version: SSH-2.0-PuTTY_Release_0.81"",""sensor"":""server01"",""timestamp"":""2024-09-20T03:28:28.644170Z"",""src_ip"":""172.172.34.12"",""session"":""9f8984885fc0""}
",,,"b3e3b5d0-8c0b-43a4-80ac-2965c6cfdfa0","newCowrie_CL","/subscriptions/1598f60c-b2fc-444f-af68-e88b999bc0c2/resourcegroups/rgtisensor/providers/microsoft.compute/virtualmachines/server01"
"9/20/2024, 3:28:28.707 AM",,"{""eventid"":""cowrie.client.kex"",""hassh"":""1dd4d89cd6b7a1f7b06acf808260c130"",""hasshAlgorithms"":""sntrup761x25519-sha512@openssh.com,curve448-sha512,curve25519-sha256,curve25519-sha256@libssh.org,ecdh-sha2-nistp256,ecdh-sha2-nistp384,ecdh-sha2-nistp521,diffie-hellman-group-exchange-sha256,diffie-hellman-group-exchange-sha1,diffie-hellman-group18-sha512,diffie-hellman-group17-sha512,diffie-hellman-group16-sha512,diffie-hellman-group15-sha512,diffie-hellman-group14-sha256,diffie-hellman-group14-sha1,rsa2048-sha256,rsa1024-sha1,diffie-hellman-group1-sha1,ext-info-c,kex-strict-c-v00@openssh.com;aes256-ctr,aes256-cbc,rijndael-cbc@lysator.liu.se,aes192-ctr,aes192-cbc,aes128-ctr,aes128-cbc,chacha20-poly1305@openssh.com,aes128-gcm@openssh.com,aes256-gcm@openssh.com,3des-ctr,3des-cbc,blowfish-ctr,blowfish-cbc,arcfour256,arcfour128;hmac-sha2-256,hmac-sha2-512,hmac-sha1,hmac-sha1-96,hmac-md5,hmac-sha2-256-etm@openssh.com,hmac-sha2-512-etm@openssh.com,hmac-sha1-etm@openssh.com,hmac-sha1-96-etm@openssh.com,hmac-md5-etm@openssh.com;none,zlib,zlib@openssh.com"",""kexAlgs"":[""sntrup761x25519-sha512@openssh.com"",""curve448-sha512"",""curve25519-sha256"",""curve25519-sha256@libssh.org"",""ecdh-sha2-nistp256"",""ecdh-sha2-nistp384"",""ecdh-sha2-nistp521"",""diffie-hellman-group-exchange-sha256"",""diffie-hellman-group-exchange-sha1"",""diffie-hellman-group18-sha512"",""diffie-hellman-group17-sha512"",""diffie-hellman-group16-sha512"",""diffie-hellman-group15-sha512"",""diffie-hellman-group14-sha256"",""diffie-hellman-group14-sha1"",""rsa2048-sha256"",""rsa1024-sha1"",""diffie-hellman-group1-sha1"",""ext-info-c"",""kex-strict-c-v00@openssh.com""],""keyAlgs"":[""ssh-ed25519"",""ssh-ed448"",""ecdsa-sha2-nistp256"",""ecdsa-sha2-nistp384"",""ecdsa-sha2-nistp521"",""rsa-sha2-512"",""rsa-sha2-256"",""ssh-rsa"",""ssh-dss""],""encCS"":[""aes256-ctr"",""aes256-cbc"",""rijndael-cbc@lysator.liu.se"",""aes192-ctr"",""aes192-cbc"",""aes128-ctr"",""aes128-cbc"",""chacha20-poly1305@openssh.com"",""aes128-gcm@openssh.com"",""aes256-gcm@openssh.com"",""3des-ctr"",""3des-cbc"",""blowfish-ctr"",""blowfish-cbc"",""arcfour256"",""arcfour128""],""macCS"":[""hmac-sha2-256"",""hmac-sha2-512"",""hmac-sha1"",""hmac-sha1-96"",""hmac-md5"",""hmac-sha2-256-etm@openssh.com"",""hmac-sha2-512-etm@openssh.com"",""hmac-sha1-etm@openssh.com"",""hmac-sha1-96-etm@openssh.com"",""hmac-md5-etm@openssh.com""],""compCS"":[""none"",""zlib"",""zlib@openssh.com""],""langCS"":[""""],""message"":""SSH client hassh fingerprint: 1dd4d89cd6b7a1f7b06acf808260c130"",""sensor"":""server01"",""timestamp"":""2024-09-20T03:28:28.705045Z"",""src_ip"":""172.172.34.12"",""session"":""9f8984885fc0""}
",,,"b3e3b5d0-8c0b-43a4-80ac-2965c6cfdfa0","newCowrie_CL","/subscriptions/1598f60c-b2fc-444f-af68-e88b999bc0c2/resourcegroups/rgtisensor/providers/microsoft.compute/virtualmachines/server01"
"9/20/2024, 3:28:49.709 AM",,"{""eventid"":""cowrie.login.success"",""username"":""jack"",""password"":""MCdoWell07@"",""message"":""login attempt [jack/MCdoWell07@] succeeded"",""sensor"":""server01"",""timestamp"":""2024-09-20T03:28:49.708604Z"",""src_ip"":""172.172.34.12"",""session"":""9f8984885fc0""}
",,,"b3e3b5d0-8c0b-43a4-80ac-2965c6cfdfa0","newCowrie_CL","/subscriptions/1598f60c-b2fc-444f-af68-e88b999bc0c2/resourcegroups/rgtisensor/providers/microsoft.compute/virtualmachines/server01"
"9/20/2024, 3:28:49.837 AM",,"{""eventid"":""cowrie.client.size"",""width"":80,""height"":24,""message"":""Terminal Size: 80 24"",""sensor"":""server01"",""timestamp"":""2024-09-20T03:28:49.836883Z"",""src_ip"":""172.172.34.12"",""session"":""9f8984885fc0""}
",,,"b3e3b5d0-8c0b-43a4-80ac-2965c6cfdfa0","newCowrie_CL","/subscriptions/1598f60c-b2fc-444f-af68-e88b999bc0c2/resourcegroups/rgtisensor/providers/microsoft.compute/virtualmachines/server01"
"9/20/2024, 3:28:49.842 AM",,"{""eventid"":""cowrie.session.params"",""arch"":""linux-x64-lsb"",""message"":[],""sensor"":""server01"",""timestamp"":""2024-09-20T03:28:49.838759Z"",""src_ip"":""172.172.34.12"",""session"":""9f8984885fc0""}
",,,"b3e3b5d0-8c0b-43a4-80ac-2965c6cfdfa0","newCowrie_CL","/subscriptions/1598f60c-b2fc-444f-af68-e88b999bc0c2/resourcegroups/rgtisensor/providers/microsoft.compute/virtualmachines/server01"
"9/20/2024, 3:28:52.976 AM",,"{""eventid"":""cowrie.command.input"",""input"":""ls -la"",""message"":""CMD: ls -la"",""sensor"":""server01"",""timestamp"":""2024-09-20T03:28:52.976142Z"",""src_ip"":""172.172.34.12"",""session"":""9f8984885fc0""}
",,,"b3e3b5d0-8c0b-43a4-80ac-2965c6cfdfa0","newCowrie_CL","/subscriptions/1598f60c-b2fc-444f-af68-e88b999bc0c2/resourcegroups/rgtisensor/providers/microsoft.compute/virtualmachines/server01"
"9/20/2024, 3:28:55.825 AM",,"{""eventid"":""cowrie.command.input"",""input"":""cd .."",""message"":""CMD: cd .."",""sensor"":""server01"",""timestamp"":""2024-09-20T03:28:55.823923Z"",""src_ip"":""172.172.34.12"",""session"":""9f8984885fc0""}
",,,"b3e3b5d0-8c0b-43a4-80ac-2965c6cfdfa0","newCowrie_CL","/subscriptions/1598f60c-b2fc-444f-af68-e88b999bc0c2/resourcegroups/rgtisensor/providers/microsoft.compute/virtualmachines/server01"
