TenantId,SourceSystem,MG,ManagementGroupName,"TimeGenerated [UTC]",Computer,RawData,"date_t [UTC]",Severity,Type,"_ResourceId",EventOriginalSeverity,EventSeverity,"EventStartTime [UTC]","EventEndTime [UTC]",EventType,EventOriginalType,EventOriginalSubType,EventOriginalUid,EventMessage,Dvc,AdditonalFields,DvcId,DvcIpAddr,EventProduct,EventCount,EventResult,EventVendor,EventSchema,EventSchemaVersion,SrcIpAddr,IpAddr,DstIpAddr,NetworkProtocol,DstPortNumber,DstFQDN,FQDN,SrcAppName,ThreatName,DvcIdType,NetworkApplicationProtocol,DstDomainType,DstDomain
"ad885620-d4e2-4daf-ab9d-4fe7b4a9c5c5",RestAPI,,,"4/17/2023, 9:03:43.906 AM",,,"4/17/2023, 9:01:22.830 AM",,"CynerioEvent_CL",,Low,Informational,"4/17/2023, 7:41:38.391 AM","4/17/2023, 7:41:38.391 AM",EndpointNetworkSession,IDS,"SSH Connection","da3acdc6-19da-4102-babd-0c4ae59ec42b_pTEI","Source IP: 10.10.141.95, Port: 22","690a3cc5-7b90-4bf7-b2b4-4a99883c680f","{""AssetType"":""Switch""}","690a3cc5-7b90-4bf7-b2b4-4a99883c680f","10.10.204.12",Cynerio,1,Success,Cynerio,NetworkSession,"0.2.5","10.10.141.95","10.10.141.95","10.10.204.12",TCP,22,,,,,Cynerio,,,
"ad885620-d4e2-4daf-ab9d-4fe7b4a9c5c5",RestAPI,,,"4/17/2023, 9:03:43.906 AM",,,"4/17/2023, 9:01:16.768 AM",,"CynerioEvent_CL",,Low,Informational,"4/17/2023, 7:41:38.391 AM","4/17/2023, 7:41:38.391 AM",EndpointNetworkSession,IDS,"SSH Connection","54091ed0-ff24-4929-98a4-d3a350d242a2_pTEI","Source IP: 10.10.141.95, Port: 22","30715d08-b574-4617-a7cd-2c9595cc7ad0","{""AssetType"":""Switch""}","30715d08-b574-4617-a7cd-2c9595cc7ad0","10.10.20.100",Cynerio,1,Success,Cynerio,NetworkSession,"0.2.5","10.10.141.95","10.10.141.95","10.10.20.100",TCP,22,,,,,Cynerio,,,
"ad885620-d4e2-4daf-ab9d-4fe7b4a9c5c5",RestAPI,,,"4/17/2023, 9:03:43.906 AM",,,"4/17/2023, 9:00:29.552 AM",,"CynerioEvent_CL",,Low,Informational,"4/17/2023, 7:39:28.416 AM","4/17/2023, 7:39:28.416 AM",EndpointNetworkSession,IDS,"SSH Connection","d3201631-8442-4ca9-ae5e-d376b36d2d7b_1P22","Source IP: 10.10.141.95, Port: 22","5bdb5c80-de6b-4609-954b-edbbb0ec300c","{""AssetType"":""Switch""}","5bdb5c80-de6b-4609-954b-edbbb0ec300c","10.10.145.87",Cynerio,1,Success,Cynerio,NetworkSession,"0.2.5","10.10.141.95","10.10.141.95","10.10.145.87",TCP,22,,,,,Cynerio,,,
"ad885620-d4e2-4daf-ab9d-4fe7b4a9c5c5",RestAPI,,,"4/17/2023, 9:03:43.906 AM",,,"4/17/2023, 9:00:23.486 AM",,"CynerioEvent_CL",,Low,Informational,"4/17/2023, 7:39:28.416 AM","4/17/2023, 7:39:28.416 AM",EndpointNetworkSession,IDS,"SSH Connection","6348c59b-6f4c-4b1f-b105-32c0de992356_1P22","Source IP: 10.10.141.95, Port: 22","2e9e4ef4-57d3-4ac9-8a40-1158265b2a71","{""AssetType"":""Switch""}","2e9e4ef4-57d3-4ac9-8a40-1158265b2a71","10.10.145.16",Cynerio,1,Success,Cynerio,NetworkSession,"0.2.5","10.10.141.95","10.10.141.95","10.10.145.16",TCP,22,,,,,Cynerio,,,
"ad885620-d4e2-4daf-ab9d-4fe7b4a9c5c5",RestAPI,,,"4/17/2023, 9:03:43.906 AM",,,"4/17/2023, 9:00:16.028 AM",,"CynerioEvent_CL",,Low,Informational,"4/17/2023, 7:39:28.416 AM","4/17/2023, 7:39:28.416 AM",EndpointNetworkSession,IDS,"SSH Connection","aeb903df-e98d-4ac2-ba04-8afab3c34d37_1P22","Source IP: 10.10.141.95, Port: 22","8a336c51-448e-4b38-9ded-dda2b03fd1ba","{""AssetType"":""Switch""}","8a336c51-448e-4b38-9ded-dda2b03fd1ba","10.10.145.15",Cynerio,1,Success,Cynerio,NetworkSession,"0.2.5","10.10.141.95","10.10.141.95","10.10.145.15",TCP,22,,,,,Cynerio,,,
"ad885620-d4e2-4daf-ab9d-4fe7b4a9c5c5",RestAPI,,,"4/17/2023, 9:03:43.906 AM",,,"4/17/2023, 9:00:09.546 AM",,"CynerioEvent_CL",,Low,Informational,"4/17/2023, 7:39:28.416 AM","4/17/2023, 7:39:28.416 AM",EndpointNetworkSession,IDS,"SSH Connection","fc40608c-7ac2-48b0-a270-c559d89ab528_1P22","Source IP: 10.10.141.95, Port: 22","9cc0363a-1448-4b03-877b-c743e4edbc11","{""AssetType"":""Switch""}","9cc0363a-1448-4b03-877b-c743e4edbc11","10.10.204.2",Cynerio,1,Success,Cynerio,NetworkSession,"0.2.5","10.10.141.95","10.10.141.95","10.10.204.2",TCP,22,,,,,Cynerio,,,
"ad885620-d4e2-4daf-ab9d-4fe7b4a9c5c5",RestAPI,,,"4/17/2023, 9:03:43.906 AM",,,"4/17/2023, 9:00:05.228 AM",,"CynerioEvent_CL",,Low,Informational,"4/17/2023, 7:39:28.416 AM","4/17/2023, 7:39:28.416 AM",EndpointNetworkSession,IDS,"SSH Connection","946965e7-e870-44ff-bf2e-825da8476dc8_1P22","Source IP: 10.10.141.95, Port: 22","a24e4477-e641-4e07-bbea-a7be77fc2f78","{""AssetType"":""Switch""}","a24e4477-e641-4e07-bbea-a7be77fc2f78","10.10.236.135",Cynerio,1,Success,Cynerio,NetworkSession,"0.2.5","10.10.141.95","10.10.141.95","10.10.236.135",TCP,22,,,,,Cynerio,,,
"ad885620-d4e2-4daf-ab9d-4fe7b4a9c5c5",RestAPI,,,"4/17/2023, 9:03:43.906 AM",,,"4/17/2023, 9:00:03.313 AM",,"CynerioEvent_CL",,Low,Informational,"4/17/2023, 7:39:28.416 AM","4/17/2023, 7:39:28.416 AM",EndpointNetworkSession,IDS,"SSH Connection","344ebe38-1f39-4ca1-8cae-9093812ce5e7_1P22","Source IP: 10.10.141.95, Port: 22","77e1d12c-3d43-4318-a5a1-82548d8b12d4","{""AssetType"":""Switch""}","77e1d12c-3d43-4318-a5a1-82548d8b12d4","10.10.220.136",Cynerio,1,Success,Cynerio,NetworkSession,"0.2.5","10.10.141.95","10.10.141.95","10.10.220.136",TCP,22,,,,,Cynerio,,,
"ad885620-d4e2-4daf-ab9d-4fe7b4a9c5c5",RestAPI,,,"4/17/2023, 9:03:43.906 AM",,,"4/17/2023, 8:59:53.425 AM",,"CynerioEvent_CL",,Low,Informational,"4/17/2023, 7:39:28.416 AM","4/17/2023, 7:39:28.416 AM",EndpointNetworkSession,IDS,"SSH Connection","4a884146-6e41-4028-abeb-5c07f65bd054_1P22","Source IP: 10.10.141.95, Port: 22","224fb103-7597-4c4e-b872-480f8b940e9b","{""AssetType"":""Switch""}","224fb103-7597-4c4e-b872-480f8b940e9b","10.10.145.10",Cynerio,1,Success,Cynerio,NetworkSession,"0.2.5","10.10.141.95","10.10.141.95","10.10.145.10",TCP,22,,,,,Cynerio,,,
"ad885620-d4e2-4daf-ab9d-4fe7b4a9c5c5",RestAPI,,,"4/17/2023, 9:03:43.906 AM",,,"4/17/2023, 8:59:48.409 AM",,"CynerioEvent_CL",,Low,Informational,"4/17/2023, 7:39:28.416 AM","4/17/2023, 7:39:28.416 AM",EndpointNetworkSession,IDS,"SSH Connection","a3aacd75-66b0-49fa-8446-fbc0364c57ff_1P22","Source IP: 10.10.141.95, Port: 22","99b4a085-5f3b-4f77-94d2-d75e9814254b","{""AssetType"":""Switch""}","99b4a085-5f3b-4f77-94d2-d75e9814254b","10.10.145.67",Cynerio,1,Success,Cynerio,NetworkSession,"0.2.5","10.10.141.95","10.10.141.95","10.10.145.67",TCP,22,,,,,Cynerio,,,
