Role,RoleDescription,ID
Contributor,"Grants full access to manage all resources, but does not allow you to assign roles in Azure RBAC, manage assignments in Azure Blueprints, or share image galleries.",b24988ac-6180-42a0-ab88-20f7382dd24c
Owner,"Grants full access to manage all resources, including the ability to assign roles in Azure RBAC.",8e3af657-a8ff-443c-a75c-2fe8c4bcb635
Reader,"View all resources, but does not allow you to make any changes.",acdd72a7-3385-48ef-bd42-f606fba81ae7
User Access Administrator,Lets you manage user access to Azure resources.,18d7d88d-d35e-4fb5-a5c3-7773c20a72d9
Classic Virtual Machine Contributor,"Lets you manage classic virtual machines, but not access to them, and not the virtual network or storage account they're connected to.",d73bb868-a0df-4d4d-bd69-98a00b01fccb
Data Operator for Managed Disks,"Provides permissions to upload data to empty managed disks, read, or export data of managed disks (not attached to running VMs) and snapshots using SAS URIs and Azure AD authentication.",959f8984-c045-4866-89c7-12bf9737be2e
Disk Backup Reader,Provides permission to backup vault to perform disk backup.,3e5e47e6-65f7-47ef-90b5-e5dd4d455f24
Disk Pool Operator,Provide permission to StoragePool Resource Provider to manage disks added to a disk pool.,60fc6e62-5479-42d4-8bf4-67625fcc2840
Disk Restore Operator,Provides permission to backup vault to perform disk restore.,b50d9833-a0cb-478e-945f-707fcc997c13
Disk Snapshot Contributor,Provides permission to backup vault to manage disk snapshots.,7efff54f-a5b4-42b5-a1c5-5411624893ce
Virtual Machine Administrator Login,View Virtual Machines in the portal and login as administrator,1c0163c0-47e6-4577-8991-ea5c82e286e4
Virtual Machine Contributor,"Create and manage virtual machines, manage disks, install and run software, reset password of the root user of the virtual machine using VM extensions, and manage local user accounts using VM extensions. This role does not grant you management access to the virtual network or storage account the virtual machines are connected to. This role does not allow you to assign roles in Azure RBAC.",9980e02c-c2be-4d73-94e8-173b1dc7cf3c
Virtual Machine User Login,View Virtual Machines in the portal and login as a regular user.,fb879df8-f326-4884-b1cf-06f3ad86be52
CDN Endpoint Contributor,"Can manage CDN endpoints, but can't grant access to other users.",426e0c7f-0c7e-4658-b36f-ff54d6c29b45
CDN Endpoint Reader,"Can view CDN endpoints, but can't make changes.",871e35f6-b5c1-49cc-a043-bde969a0f2cd
CDN Profile Contributor,"Can manage CDN profiles and their endpoints, but can't grant access to other users.",ec156ff8-a8d1-4d15-830c-5b80698ca432
CDN Profile Reader,"Can view CDN profiles and their endpoints, but can't make changes.",8f96442b-4075-438f-813d-ad51ab4019af
Classic Network Contributor,"Lets you manage classic networks, but not access to them.",b34d265f-36f7-4a0d-a4d4-e158ca92e90f
DNS Zone Contributor,"Lets you manage DNS zones and record sets in Azure DNS, but does not let you control who has access to them.",befefa01-2a29-4197-83a8-272ff33ce314
Network Contributor,"Lets you manage networks, but not access to them.",4d97b98b-1d4f-4787-a291-c67834d212e7
Private DNS Zone Contributor,"Lets you manage private DNS zone resources, but not the virtual networks they are linked to.",b12aa53e-6015-4669-85d0-8515ebb3ae7f
Traffic Manager Contributor,"Lets you manage Traffic Manager profiles, but does not let you control who has access to them.",a4b10055-b0c7-44c2-b00f-c7b5b3550cf7
Avere Contributor,Can create and manage an Avere vFXT cluster.,4f8fab4f-1852-4a58-a46a-8eaf358af14a
Avere Operator,Used by the Avere vFXT cluster to manage the cluster,c025889f-8102-4ebf-b32c-fc0c6f0c6bd9
Backup Contributor,"Lets you manage backup service, but can't create vaults and give access to others",5e467623-bb1f-42f4-a55d-6e525e11384b
Backup Operator,"Lets you manage backup services, except removal of backup, vault creation and giving access to others",00c29273-979b-4161-815c-10b084fb9324
Backup Reader,"Can view backup services, but can't make changes",a795c7a0-d4a2-40c1-ae25-d81f01202912
Classic Storage Account Contributor,"Lets you manage classic storage accounts, but not access to them.",86e8f5dc-a6e9-4c67-9d15-de283e8eac25
Classic Storage Account Key Operator Service Role,Classic Storage Account Key Operators are allowed to list and regenerate keys on Classic Storage Accounts,985d6b00-f706-48f5-a6fe-d0ca12fb668d
Data Box Contributor,Lets you manage everything under Data Box Service except giving access to others.,add466c9-e687-43fc-8d98-dfcf8d720be5
Data Box Reader,Lets you manage Data Box Service except creating order or editing order details and giving access to others.,028f4ed7-e2a9-465e-a8f4-9c0ffdfdc027
Data Lake Analytics Developer,"Lets you submit, monitor, and manage your own jobs but not create or delete Data Lake Analytics accounts.",47b7735b-770e-4598-a7da-8b91488b4c88
Reader and Data Access,Lets you view everything but will not let you delete or create a storage account or contained resource. It will also allow read/write access to all data contained in a storage account via access to storage account keys.,c12c1c16-33a1-487b-954d-41c89c60f349
Storage Account Backup Contributor,Lets you perform backup and restore operations using Azure Backup on the storage account.,e5e2a7ff-d759-4cd2-bb51-3152d37e2eb1
Storage Account Contributor,"Permits management of storage accounts. Provides access to the account key, which can be used to access data via Shared Key authorization.",17d1049b-9a84-46fb-8f53-869881c3d3ab
Storage Account Key Operator Service Role,Permits listing and regenerating storage account access keys.,81a9662b-bebf-436f-a333-f67b29880f12
