RecommendationName,ControlFamily,ControlNumber,MaturityLevel
Access to storage accounts with firewall and virtual network configurations should be restricted,Access Control,AC.1.001,ML-1
Storage account public access should be disallowed,Access Control,AC.1.001,ML-1
Add system-assigned managed identity to enable Guest Configuration assignments on virtual machines with no identities,Access Control,AC.1.001,ML-1
Windows machines should meet requirements for 'Security Options - Network Access',Access Control,AC.1.001,ML-1
Deploy the Windows Guest Configuration extension to enable Guest Configuration assignments on Windows VMs,Access Control,AC.1.001,ML-1
Access to storage accounts with firewall and virtual network configurations should be restricted,Access Control,AC.1.002,ML-1
Storage account public access should be disallowed,Access Control,AC.1.002,ML-1
Windows machines should meet requirements for 'Security Options - Network Access',Access Control,AC.1.002,ML-1
Firewall should be enabled on Key Vault,Access Control,AC.1.002,ML-1
Audit Linux machines that allow remote connections from accounts without passwords,Access Control,AC.1.002,ML-1
RDP access from the Internet should be blocked,Access Control,AC.1.003,ML-1
Adaptive network hardening recommendations should be applied on internet facing virtual machines,Access Control,AC.1.003,ML-1
Virtual networks should be protected by Azure Firewall,Access Control,AC.1.003,ML-1
SSH access from the Internet should be blocked,Access Control,AC.1.003,ML-1
Internet-facing virtual machines should be protected with network security groups,Access Control,AC.1.003,ML-1
Management ports of virtual machines should be protected with just-in-time network access control,Access Control,AC.2.007,ML-2
Role-Based Access Control should be used on Kubernetes Services,Access Control,AC.2.007,ML-2
External accounts with read permissions should be removed from your subscription,Access Control,AC.2.007,ML-2
External accounts with write permissions should be removed from your subscription,Access Control,AC.2.007,ML-2
Windows machines should meet requirements for 'Security Options - User Account Control',Access Control,AC.2.008,ML-2
Windows machines should meet requirements for 'User Rights Assignment',Access Control,AC.2.008,ML-2
Access to storage accounts with firewall and virtual network configurations should be restricted,Access Control,AC.2.013,ML-2
Add system-assigned managed identity to enable Guest Configuration assignments on virtual machines with no identities,Access Control,AC.2.013,ML-2
Deploy the Windows Guest Configuration extension to enable Guest Configuration assignments on Windows VMs,Access Control,AC.2.013,ML-2
Windows machines should meet requirements for 'Security Options - Network Security',Access Control,AC.2.013,ML-2
Audit Linux machines that allow remote connections from accounts without passwords,Access Control,AC.2.013,ML-2
RDP access from the Internet should be blocked,Access Control,AC.2.015,ML-2
Access to storage accounts with firewall and virtual network configurations should be restricted,Access Control,AC.2.016,ML-2
Storage account public access should be disallowed,Access Control,AC.2.016,ML-2
Windows machines should meet requirements for 'Security Options - Network Access',Access Control,AC.2.016,ML-2
RDP access from the Internet should be blocked,Access Control,AC.2.016,ML-2
Adaptive network hardening recommendations should be applied on internet facing virtual machines,Access Control,AC.2.016,ML-2
Audit Windows machines missing any of specified members in the Administrators group,Access Control,AC.3.017,ML-3
Audit Windows machines that have the specified members in the Administrators group,Access Control,AC.3.017,ML-3
A maximum of 3 owners should be designated for your subscription,Access Control,AC.3.017,ML-3
There should be more than one owner assigned to your subscription,Access Control,AC.3.017,ML-3
Windows machines should meet requirements for 'System Audit Policies - Privilege Use',Access Control,AC.3.018,ML-3
An activity log alert should exist for Delete SQL Server Firewall Rule,Access Control,AC.3.018,ML-3
An activity log alert should exist for the Delete Network Security Group Rule,Access Control,AC.3.018,ML-3
An activity log alert should exist for Delete Network Security Solution,Access Control,AC.3.018,ML-3
An activity log alert should exist for the Delete Classic Network Security Group Rule,Access Control,AC.3.018,ML-3
Guest Configuration extension should be installed on your machines,Access Control,AC.3.021,ML-3
Add system-assigned managed identity to enable Guest Configuration assignments on virtual machines with no identities,Access Control,AC.3.021,ML-3
Windows machines should meet requirements for 'Security Options - User Account Control',Access Control,AC.3.021,ML-3
Windows machines should meet requirements for 'User Rights Assignment',Access Control,AC.3.021,ML-3
Deploy the Windows Guest Configuration extension to enable Guest Configuration assignments on Windows VMs,Access Control,AC.3.021,ML-3
Audit diagnostic setting,Audit & Accountability,AU.2.041,ML-2
Virtual machines should be connected to a specified workspace,Audit & Accountability,AU.2.041,ML-2
The Log Analytics agent should be installed on virtual machines,Audit & Accountability,AU.2.041,ML-2
An activity log alert should exist for Delete SQL Server Firewall Rule,Audit & Accountability,AU.2.041,ML-2
An activity log alert should exist for the Delete Network Security Group Rule,Audit & Accountability,AU.2.041,ML-2
Audit diagnostic setting,Audit & Accountability,AU.2.042,ML-2
Virtual machines should be connected to a specified workspace,Audit & Accountability,AU.2.042,ML-2
The Log Analytics agent should be installed on virtual machines,Audit & Accountability,AU.2.042,ML-2
An activity log alert should exist for Delete SQL Server Firewall Rule,Audit & Accountability,AU.2.042,ML-2
An activity log alert should exist for the Delete Network Security Group Rule,Audit & Accountability,AU.2.042,ML-2
Audit diagnostic setting,Audit & Accountability,AU.3.046,ML-3
Virtual machines should be connected to a specified workspace,Audit & Accountability,AU.3.046,ML-3
