DateAdded,IoC,Type,TLP
6/28/2021,203.107.53.48,ip,White
6/28/2021,47.242.187.153,ip,White
6/28/2021,32e0612a6fb72eb6a547151db446657a6ddc60b742bffc01021ab3bcc78ca70f,sha256,White
6/28/2021,518bb5839f75db15ade8af0590d92f0898bb74f1933dc31dc1eb9b1c301a60bf,sha256,White
6/28/2021,78a9962f22dee045e34d2e2259348d84b12e31a3fb5fa85f402bce9c91d08274,sha256,White
6/28/2021,8470749a8c67342cba72c1a96532e979b2cf53f5ce63be4e17ddf46231543629,sha256,White
6/28/2021,87e5324792913935e418515e0ccc25999935792255bb99d845962d939591c704,sha256,White
6/28/2021,d949659d543222612495a64ea66655c5b796a92a829d55a9465d26133a17fc76,sha256,White
6/28/2021,e2a1c248459872cdd321b5a02c65530c119deb2f29f0ef9cdbc474ce2a2b0439,sha256,White
6/28/2021,fe40617dc0df32d1e38edd3ede33c1d63878a54fc4f201a91d3cffb31fc0c79d,sha256,White
6/28/2021,6c116b18cada0beafd926adea747846d6976dd5bf3b136f67e2d28ddb32c6ba8,sha256,White
6/28/2021,77a568faee0a3013c18a902e7718361be78e9fb2d521f0bc6713e1b57b0e32d9,sha256,White
6/28/2021,ffcf0ef8b0274db75b396075d82f8e0bb3c321b56afe3afbea5aa2b717d85d68,sha256,White
6/28/2021,7b250f6dd81c44beecf9737a43012b0fc04b36b7854890cad3439b186f93258f,sha256,White
6/28/2021,04e9283772808f2a2515e32f4b00065992f5d9611e81bfaed46f4a8147af5a78,sha256,White
6/28/2021,839abdc630d4d42c5ded024e548b54c463be7501ca590dc5c818a4cef760fc99,sha256,White
6/28/2021,d6fc3e41f78dc3aeb56effd35a6096c2761b23e8c24aa6aca0958b1a3b548e17,sha256,White
6/28/2021,88848cb03abfd70596663905e41a1afac1d9bc0dbf1d6212d5d802b83b09d0f0,sha256,White
6/28/2021,hpool.com,domainname,White
6/28/2021,Chia.exe,process,White
6/28/2021,chia_plot.exe,process,White
6/28/2021,chia-plotter-windows-amd64.exe,process,White
6/28/2021,ProofOfSpace.exe,process,White
6/28/2021,hpool-miner-chia-gui.exe,process,White
6/28/2021,hpool-miner-chia-console.exe,process,White
