RecommendationDisplayName,LoggingCategory,MaturityLevel
Log Analytics agent should be installed on your virtual machine,Collection Agent,Event Logging (EL0)
Guest Configuration extension should be installed on your machines,Collection Agent,Event Logging (EL0)
Deploy the Windows Guest Configuration extension to enable Guest Configuration assignments on Windows VMs,Collection Agent,Event Logging (EL0)
Network traffic data collection agent should be installed on Windows virtual machines,Collection Agent,Event Logging (EL0)
Network traffic data collection agent should be installed on Linux virtual machines,Collection Agent,Event Logging (EL0)
Virtual machines should have the Log Analytics extension installed,Collection Agent,Event Logging (EL0)
Deploy the Linux Guest Configuration extension to enable Guest Configuration assignments on Linux VMs,Collection Agent,Event Logging (EL0)
The Log Analytics agent should be installed on virtual machines,Collection Agent,Event Logging (EL0)
Auto provisioning of the Log Analytics agent should be enabled on your subscription,Collection Agent,Event Logging (EL0)
Log Analytics agent should be installed on your Linux-based Azure Arc machines,Collection Agent,Event Logging (EL0)
Install endpoint protection solution on your machines,Collection Agent,Basic Event Logging (EL1)
Install endpoint protection solution on virtual machines,Collection Agent,Basic Event Logging (EL1)
Windows Defender Exploit Guard should be enabled on your machines,Collection Agent,Basic Event Logging (EL1)
Endpoint protection should be installed on your machines,Collection Agent,Basic Event Logging (EL1)
Microsoft Antimalware for Azure should be configured to automatically update protection signatures,Collection Agent,Intermediate Event Logging (EL2)
Microsoft IaaSAntimalware extension should be deployed on Windows servers,Collection Agent,Basic Event Logging (EL1)
Endpoint protection health issues should be resolved on your machines,Log Collection Health & Retention,Basic Event Logging (EL1)
Log Analytics agent health issues should be resolved on your machines,Log Collection Health & Retention,Basic Event Logging (EL1)
Audit retention for SQL servers should be set to at least 90 days,Log Collection Health & Retention,Basic Event Logging (EL0)
Saved-queries in Azure Monitor should be saved in customer storage account for logs encryption,Log Collection Health & Retention,Event Logging (EL0)
Azure Monitor should collect activity logs from all regions,Log Collection Health & Retention,Event Logging (EL0)
Activity log should be retained for at least one year,Log Collection Health & Retention,Event Logging (EL0)
Azure subscriptions should have a log profile for Activity Log,Log Collection Health & Retention,Event Logging (EL0)
System updates should be installed on your machines,Log Collection Health & Retention,Intermediate Event Logging (EL2)
Virtual machines should be connected to a specified workspace,Log Collection Health & Retention,Event Logging (EL0)
Ensure CloudTrail logs are encrypted at rest using KMS CMKs,Multi-Cloud Logging,Event Logging (EL0)
CloudTrail logs should be encrypted at rest using KMS CMKs,Multi-Cloud Logging,Event Logging (EL0)
CloudTrail trails should be integrated with CloudWatch Logs,Multi-Cloud Logging,Event Logging (EL0)
CloudTrail log file validation should be enabled,Multi-Cloud Logging,Event Logging (EL0)
Ensure CloudTrail log file validation is enabled,Multi-Cloud Logging,Event Logging (EL0)
Ensure CloudTrail trails are integrated with CloudWatch Logs,Multi-Cloud Logging,Event Logging (EL0)
Ensure the S3 bucket used to store CloudTrail logs is not publicly accessible,Multi-Cloud Logging,Event Logging (EL0)
Ensure VPC flow logging is enabled in all VPCs,Multi-Cloud Logging,Event Logging (EL0)
VPC flow logging should be enabled in all VPCs,Multi-Cloud Logging,Event Logging (EL0)
Ensure S3 bucket access logging is enabled on the CloudTrail S3 bucket,Multi-Cloud Logging,Event Logging (EL0)
Ensure CloudTrail is enabled in all regions,Multi-Cloud Logging,Event Logging (EL0)
Ensure a log metric filter and alarm exist for S3 bucket policy changes,Multi-Cloud Logging,Basic Event Logging (EL1)
Ensure a log metric filter and alarm exist for route table changes,Multi-Cloud Logging,Basic Event Logging (EL1)
Ensure a log metric filter and alarm exist for VPC changes,Multi-Cloud Logging,Basic Event Logging (EL1)
Ensure a log metric filter and alarm exist for changes to network gateways,Multi-Cloud Logging,Event Logging (EL0)
Ensure a log metric filter and alarm exist for disabling or scheduled deletion of customer created CMKs,Multi-Cloud Logging,Basic Event Logging (EL1)
Ensure a log metric filter and alarm exist for CloudTrail configuration changes,Multi-Cloud Logging,Basic Event Logging (EL1)
Ensure a log metric filter and alarm exist for AWS Management Console authentication failures,Multi-Cloud Logging,Event Logging (EL0)
Ensure a log metric filter and alarm exist for changes to Network Access Control Lists (NACL),Multi-Cloud Logging,Event Logging (EL0)
Ensure a log metric filter and alarm exist for security group changes,Multi-Cloud Logging,Event Logging (EL0)
Ensure a log metric filter and alarm exist for usage of 'root' account,Multi-Cloud Logging,Event Logging (EL0)
Ensure a log metric filter and alarm exist for IAM policy changes,Multi-Cloud Logging,Event Logging (EL0)
Ensure a log metric filter and alarm exist for Management Console sign-in without MFA,Multi-Cloud Logging,Event Logging (EL0)
Ensure a log metric filter and alarm exist for AWS Config configuration changes,Multi-Cloud Logging,Basic Event Logging (EL1)
Ensure a log metric filter and alarm exist for unauthorized API calls,Multi-Cloud Logging,Basic Event Logging (EL1)
Aws accounts should have Azure Arc auto provisioning enabled,Multi-Cloud Logging,Event Logging (EL0)
A vulnerability assessment solution should be enabled on your virtual machines,Security Posture Logging,Basic Event Logging (EL1)
Vulnerability assessment should be enabled on your SQL servers,Security Posture Logging,Basic Event Logging (EL1)
Vulnerability Assessment settings for SQL server should contain an email address to receive scan reports,Security Posture Logging,Basic Event Logging (EL1)
Vulnerability assessment should be enabled on your Synapse workspaces,Security Posture Logging,Basic Event Logging (EL1)
Log Analytics agent should be installed on your Windows-based Azure Arc machines,Security Posture Logging,Basic Event Logging (EL1)
Azure Defender for servers should be enabled,Security Posture Logging,Basic Event Logging (EL1)
Azure Defender for Kubernetes should be enabled,Security Posture Logging,Basic Event Logging (EL1)
Vulnerabilities in security configuration on your Windows machines should be remediated (powered by Guest Config),Security Posture Logging,Basic Event Logging (EL1)
Azure Defender for App Service should be enabled,Security Posture Logging,Basic Event Logging (EL1)
Azure Defender for Key Vault should be enabled,Security Posture Logging,Basic Event Logging (EL1)
Azure Defender for container registries should be enabled,Security Posture Logging,Advanced Event Logging (EL3)
Azure Defender for SQL servers on machines should be enabled,Security Posture Logging,Basic Event Logging (EL1)
Azure Defender for Storage should be enabled,Security Posture Logging,Basic Event Logging (EL1)
Azure Defender for DNS should be enabled,Security Posture Logging,Event Logging (EL0)
Azure Defender for Resource Manager should be enabled,Security Posture Logging,Basic Event Logging (EL1)
Azure Defender for Azure SQL Database servers should be enabled,Security Posture Logging,Basic Event Logging (EL1)
Azure Defender for open-source relational databases should be enabled,Security Posture Logging,Basic Event Logging (EL1)
Vulnerabilities in security configuration on your Linux machines should be remediated (powered by Guest Config),Security Posture Logging,Basic Event Logging (EL1)
Network Watcher should be enabled,Service Logging,Event Logging (EL0)
Audit diagnostic setting,Service Logging,Event Logging (EL0)
Diagnostic logs in your logic apps should be enabled,Service Logging,Advanced Event Logging (EL3)
Diagnostic logs in Key Vault should be enabled,Service Logging,Basic Event Logging (EL1)
Auditing on SQL server should be enabled,Service Logging,Event Logging (EL0)
Flow logs should be configured for every network security group,Service Logging,Event Logging (EL0)
Enhanced monitoring should be configured for RDS DB instances and clusters,Service Logging,Advanced Event Logging (EL3)
Database logging should be enabled,Service Logging,Event Logging (EL0)
Diagnostic logs in IoT Hub should be enabled,Service Logging,Advanced Event Logging (EL3)
Diagnostic logs in Event Hub should be enabled,Service Logging,Advanced Event Logging (EL3)
Audit usage of custom RBAC rules,Service Logging,Event Logging (EL0)
Diagnostic logs should be enabled in App Service,Service Logging,Advanced Event Logging (EL3)
An activity log alert should exist for the Delete Classic Network Security Group Rule,Service Logging,Basic Event Logging (EL1)
An activity log alert should exist for the Delete Network Security Group Rule,Service Logging,Basic Event Logging (EL1)
An activity log alert should exist for Delete Network Security Group,Service Logging,Basic Event Logging (EL1)
An activity log alert should exist for Delete Security Solution,Service Logging,Basic Event Logging (EL1)
Diagnostic logs in Kubernetes services should be enabled,Service Logging,Advanced Event Logging (EL3)
An activity log alert should exist for Delete SQL Server Firewall Rule,Service Logging,Basic Event Logging (EL1)
An activity log alert should exist for Delete Network Security Solution,Service Logging,Basic Event Logging (EL1)
An activity log alert should exist for specific Policy operations,Service Logging,Basic Event Logging (EL1)
