DataTable,MaturityLevel
SigninLogs,EL0
AADManagedIdentitySignInLogs,EL0
AADServicePrincipalSignInLogs,EL0
StorageBlobLogs,EL0
StorageFileLogs,EL0
AzureMetrics,EL0
AuditLogs,EL0
IdentityInfo,EL0
CommonSecurityLog,EL0
ThreatIntelligenceIndicator,EL0
DeviceNetworkInfo,EL0
DnsEvents,EL0
DeviceNetworkEvents,EL0
AzureDiagnostics,EL0
Usage,EL0
SecurityIncident,EL0
SecurityAlert,EL0
InformationProtectionLogs_CL,EL0
AzureActivity,EL0
OfficeActivity,EL0
SecurityEvent,EL0
Syslog,EL0
AWSCloudTrail,EL0
GWorkspaceActivityReports,EL0
AWSGuardDuty,EL0
AWSVPCFlow,EL0
Perf,EL1
SentinelHealth,EL1
DeviceLogonEvents,EL1
DeviceEvents,EL1
DeviceNetworkEvents,EL1
DeviceFileEvents,EL1
DeviceRegistryEvents,EL1
DeviceProcessEvents,EL1
VMComputer,EL1
VMConnection,EL1
VMProcess,EL1
EmailEvents,EL1
ThreatIntelligenceIndicator,EL1
SecurityRecommendation,EL1
DeviceProcessEvents,EL1
ConfigurationData,EL1
ConfigurationChange,EL1
GatewayDiagnosticLog,EL1
TunnelDiagnosticLog,EL1
IKEDiagnosticLog,EL1
RouteDiagnosticLog,EL1
PS2DiagnosticLog,EL1
Event,EL1
SqlAtpStatus,EL1
ConstainerInstanceLog_CL,EL1
ContainerEvent_CL,EL1
InsightsMetrics,EL2
EmailUrlInfo,EL2
EmailAttachmentInfo,EL2
InformationProtectionLogs_CL,EL2
CloudAppEvents,EL2
ContainerInventory,EL2
Update,EL3
BehaviorAnalytics,EL3
Anomalies,EL3
SecurityRegulatoryCompliance,EL3
