ColumnName,ColumnOrdinal,DataType,ColumnType
TenantId,0,"System.String",string
SourceSystem,1,"System.String",string
FileUri,2,"System.String",string
FileOffset,3,"System.Int32",int
StorageAccount,4,"System.String",string
AzureDeploymentID,5,"System.String",string
Role,6,"System.String",string
RoleInstance,7,"System.String",string
Date,8,"System.String",string
Time,9,"System.String",string
TimeGenerated,10,"System.DateTime",datetime
sSiteName,11,"System.String",string
sComputerName,12,"System.String",string
sIP,13,"System.String",string
csMethod,14,"System.String",string
csUriStem,15,"System.String",string
csUriQuery,16,"System.String",string
sPort,17,"System.Int32",int
csUserName,18,"System.String",string
cIP,19,"System.String",string
csVersion,20,"System.String",string
csUserAgent,21,"System.String",string
csCookie,22,"System.String",string
csReferer,23,"System.String",string
csHost,24,"System.String",string
scStatus,25,"System.String",string
scSubStatus,26,"System.String",string
scWin32Status,27,"System.String",string
scBytes,28,"System.Int64",long
csBytes,29,"System.Int64",long
TimeTaken,30,"System.Int64",long
Computer,31,"System.String",string
MG,32,"System.String",string
ManagementGroupName,33,"System.String",string
MaliciousIP,34,"System.String",string
IndicatorThreatType,35,"System.String",string
Description,36,"System.String",string
TLPLevel,37,"System.String",string
Confidence,38,"System.String",string
Severity,39,"System.Int32",int
FirstReportedDateTime,40,"System.String",string
LastReportedDateTime,41,"System.String",string
IsActive,42,"System.String",string
ReportReferenceLink,43,"System.String",string
AdditionalInformation,44,"System.String",string
RemoteIPLongitude,45,"System.Double",real
RemoteIPLatitude,46,"System.Double",real
RemoteIPCountry,47,"System.String",string
Type,48,"System.String",string
"_ResourceId",49,"System.String",string
