ColumnName,ColumnOrdinal,DataType,ColumnType
TenantId,0,"System.String",string
SourceSystem,1,"System.String",string
MG,2,"System.String",string
ManagementGroupName,3,"System.String",string
TimeGenerated,4,"System.DateTime",datetime
Computer,5,"System.String",string
RawData,6,"System.String",string
"session_login_time_t",7,"System.DateTime",datetime
"object_details_uuid_s",8,"System.String",string
"object_details_name_s",9,"System.String",string
"object_details_email_s",10,"System.String",string
"aux_details_uuid_s",11,"System.String",string
"aux_details_name_s",12,"System.String",string
"aux_details_email_s",13,"System.String",string
"timestamp_t",14,"System.DateTime",datetime
"aux_id_d",15,"System.Double",real
"aux_uuid_s",16,"System.String",string
"uuid_s",17,"System.String",string
"timestamp_s",18,"System.String",string
"actor_uuid_s",19,"System.String",string
"actor_details_uuid_s",20,"System.String",string
"actor_details_name_s",21,"System.String",string
"actor_details_email_s",22,"System.String",string
"action_s",23,"System.String",string
"object_type_s",24,"System.String",string
"object_uuid_s",25,"System.String",string
"aux_info_s",26,"System.String",string
"session_uuid_s",27,"System.String",string
"session_login_time_s",28,"System.String",string
"session_device_uuid_s",29,"System.String",string
"session_ip_s",30,"System.String",string
"location_country_s",31,"System.String",string
"location_region_s",32,"System.String",string
"location_city_s",33,"System.String",string
"location_latitude_d",34,"System.Double",real
"location_longitude_d",35,"System.Double",real
Type,36,"System.String",string
"_ResourceId",37,"System.String",string
