ColumnName,ColumnOrdinal,DataType,ColumnType
TenantId,0,"System.String",string
SourceSystem,1,"System.String",string
MG,2,"System.String",string
ManagementGroupName,3,"System.String",string
TimeGenerated,4,"System.DateTime",datetime
Computer,5,"System.String",string
RawData,6,"System.String",string
"timestamp_t",7,"System.DateTime",datetime
"uuid_s",8,"System.String",string
"timestamp_s",9,"System.String",string
"used_version_d",10,"System.Double",real
"vault_uuid_s",11,"System.String",string
"item_uuid_s",12,"System.String",string
"user_uuid_s",13,"System.String",string
"user_name_s",14,"System.String",string
"user_email_s",15,"System.String",string
"client_app_name_s",16,"System.String",string
"client_app_version_s",17,"System.String",string
"client_platform_name_s",18,"System.String",string
"client_platform_version_s",19,"System.String",string
"client_os_name_s",20,"System.String",string
"client_os_version_s",21,"System.String",string
"client_ip_address_s",22,"System.String",string
"location_country_s",23,"System.String",string
"location_region_s",24,"System.String",string
"location_city_s",25,"System.String",string
"location_latitude_d",26,"System.Double",real
"location_longitude_d",27,"System.Double",real
"action_s",28,"System.String",string
Type,29,"System.String",string
"_ResourceId",30,"System.String",string
