ColumnName,ColumnOrdinal,DataType,ColumnType
TenantId,0,"System.String",string
SourceSystem,1,"System.String",string
MG,2,"System.String",string
ManagementGroupName,3,"System.String",string
TimeGenerated,4,"System.DateTime",datetime
Computer,5,"System.String",string
RawData,6,"System.String",string
"details_value_s",7,"System.String",string
"timestamp_t",8,"System.DateTime",datetime
"uuid_s",9,"System.String",string
"session_uuid_s",10,"System.String",string
"timestamp_s",11,"System.String",string
"country_s",12,"System.String",string
Category,13,"System.String",string
"type_s",14,"System.String",string
"target_user_uuid_s",15,"System.String",string
"target_user_name_s",16,"System.String",string
"target_user_email_s",17,"System.String",string
"client_app_name_s",18,"System.String",string
"client_app_version_s",19,"System.String",string
"client_platform_name_s",20,"System.String",string
"client_platform_version_s",21,"System.String",string
"client_os_name_s",22,"System.String",string
"client_os_version_s",23,"System.String",string
"client_ip_address_s",24,"System.String",string
"location_country_s",25,"System.String",string
"location_region_s",26,"System.String",string
"location_city_s",27,"System.String",string
"location_latitude_d",28,"System.Double",real
"location_longitude_d",29,"System.Double",real
Type,30,"System.String",string
"_ResourceId",31,"System.String",string
