"TimeGenerated [UTC]",Description,"event_module",instanceId,"original_host",Severity,src,user,SeverityDescription,"Event Name",SyslogMessage
"8/29/2025, 7:00:00.286 AM","Malware detection session has finished with Success.","Veeam Backup & Replication",42210,VBR12REPOSITORY,information,"Malware detection session has finished with Success.",unknown,Information,"Malware Detection Session Finished","[categoryId=0 instanceId=42210 SessionID=""90f6093b-d8f7-40ab-a663-566f70a3fed0"" Result=""0"" VbrHostName=""VBR12repository.n.local"" VbrVersion=""12.3.0.310"" Version=""1"" Description=""Malware detection session has finished with Success.""]"
"8/29/2025, 7:00:05.374 AM","Malware detection session has finished with Success.","Veeam Backup & Replication",42210,WIN2022,information,"Malware detection session has finished with Success.",unknown,Information,"Malware Detection Session Finished","[categoryId=0 instanceId=42210 SessionID=""12c6ef3e-260f-4e3b-a92d-2550b3897b32"" Result=""0"" VbrHostName=""win2022.n.local"" VbrVersion=""12.3.0.288"" Version=""1"" Description=""Malware detection session has finished with Success.""]"
"8/29/2025, 7:00:07.482 AM","Malware detection session has finished with Success.","Veeam Backup & Replication",42210,VBR1231CLOUD,information,"Malware detection session has finished with Success.",unknown,Information,"Malware Detection Session Finished","[categoryId=0 instanceId=42210 SessionID=""6cd09325-8b02-44cf-baf5-1dbce38279cc"" Result=""0"" VbrHostName=""vbr1231cloud.n.local"" VbrVersion=""12.3.1.1139"" Version=""1"" Description=""Malware detection session has finished with Success.""]"
"8/29/2025, 7:00:07.681 AM","Malware detection session has finished with Success.","Veeam Backup & Replication",42210,LRSVBRALL,information,"Malware detection session has finished with Success.",unknown,Information,"Malware Detection Session Finished","[categoryId=0 instanceId=42210 SessionID=""26749b60-61e5-471e-8d76-7453b2d98664"" Result=""0"" VbrHostName=""lrsvbrall.n.local"" VbrVersion=""12.3.0.310"" Version=""1"" Description=""Malware detection session has finished with Success.""]"
"8/29/2025, 7:00:09.537 AM","Malware detection session has finished with Success.","Veeam Backup & Replication",42210,CLOUD12A,information,"Malware detection session has finished with Success.",unknown,Information,"Malware Detection Session Finished","[categoryId=0 instanceId=42210 SessionID=""f0e16fe8-6689-4d01-b175-f556f3fa6f1b"" Result=""0"" VbrHostName=""cloud12a.n.local"" VbrVersion=""12.2.0.334"" Version=""1"" Description=""Malware detection session has finished with Success.""]"
"8/29/2025, 7:00:16.534 AM","Malware detection session has finished with Success.","Veeam Backup & Replication",42210,VBR1231,information,"Malware detection session has finished with Success.",unknown,Information,"Malware Detection Session Finished","[categoryId=0 instanceId=42210 SessionID=""b68370b1-0509-4ab8-a314-8d686f7d1982"" Result=""0"" VbrHostName=""vbr1231.n.local"" VbrVersion=""12.3.2.3617"" Version=""1"" Description=""Malware detection session has finished with Success.""]"
"8/26/2025, 10:32:03.719 AM","Delete backup Backup Job 51 - ga12dc_replica event has been initiated by N\asja and requires an additional approval.","Veeam Backup & Replication",42402,WIN2022,critical,"Delete backup Backup Job 51 - ga12dc_replica event has been initiated by N\asja and requires an additional approval.","N\asja",Critical,"Four-Eyes Authorization Request Created","[categoryId=0 instanceId=42402 Operation=""Delete backup Backup Job 51 - ga12dc_replica"" OperationId=""100"" InitiatorFullInfo=""<ModifiedUserInfo fullName=""N\asja"" loginType=""0"" />"" VbrHostName=""win2022.n.local"" VbrVersion=""12.3.0.288"" Version=""1"" Description=""Delete backup Backup Job 51 - ga12dc_replica event has been initiated by N\asja and requires an additional approval.""]"
"8/26/2025, 10:34:40.612 AM","'1' objects has been deleted for 'Backup Job 51'.","Veeam Backup & Replication",32120,WIN2022,high,"'1' objects has been deleted for 'Backup Job 51'.","localhost\administrator",High,"Objects for Job Deleted","[categoryId=0 instanceId=32120 JobID=""f57a5edc-0ea0-4439-bcff-857e17beda9a"" JobType=""0"" Platform=""N\A"" JobName=""Backup Job 51"" ChangesXML=""<changes><object id=""d1aea10e-bfce-4d40-b835-d73f520ef6b8""><Property internal=""Name"" collection=""False"" type=""CDumpedMemberInfo"">ga12dc_replica</Property></object></changes>"" UserName=""localhost\administrator"" VbrHostName=""win2022.n.local"" VbrVersion=""12.3.0.288"" Version=""1"" Description=""'1' objects has been deleted for 'Backup Job 51'.""]"
"8/26/2025, 10:44:56.372 AM","'1' objects has been deleted for 'Backup Job 51'.","Veeam Backup & Replication",32120,WIN2022,high,"'1' objects has been deleted for 'Backup Job 51'.","localhost\administrator",High,"Objects for Job Deleted","[categoryId=0 instanceId=32120 JobID=""f57a5edc-0ea0-4439-bcff-857e17beda9a"" JobType=""0"" Platform=""N\A"" JobName=""Backup Job 51"" ChangesXML=""<changes><object id=""1db9f5e2-615a-44f5-afc3-e4e413436530""><Property internal=""Name"" collection=""False"" type=""CDumpedMemberInfo"">ga12dc_replica</Property></object></changes>"" UserName=""localhost\administrator"" VbrHostName=""win2022.n.local"" VbrVersion=""12.3.0.288"" Version=""1"" Description=""'1' objects has been deleted for 'Backup Job 51'.""]"
"8/28/2025, 7:00:02.948 AM","Malware detection session has finished with Success.","Veeam Backup & Replication",42210,VBR12REPOSITORY,information,"Malware detection session has finished with Success.",unknown,Information,"Malware Detection Session Finished","[categoryId=0 instanceId=42210 SessionID=""f0d99412-878c-46f9-8524-b14d58bf4534"" Result=""0"" VbrHostName=""VBR12repository.n.local"" VbrVersion=""12.3.0.310"" Version=""1"" Description=""Malware detection session has finished with Success.""]"
"8/28/2025, 7:00:05.820 AM","Malware detection session has finished with Success.","Veeam Backup & Replication",42210,CLOUD12A,information,"Malware detection session has finished with Success.",unknown,Information,"Malware Detection Session Finished","[categoryId=0 instanceId=42210 SessionID=""0f81bc61-836f-496a-bb03-3d146f9b9bfa"" Result=""0"" VbrHostName=""cloud12a.n.local"" VbrVersion=""12.2.0.334"" Version=""1"" Description=""Malware detection session has finished with Success.""]"
