"Event Name","TimeGenerated [UTC]","alarm_details","alarm_name","alarm_type","object_name","object_path","predefined_alarm_id",Severity,"status_new","status_old",VoneHostName,SeverityDescription,SyslogMessage
"Suspicious incremental backup size","8/26/2025, 11:05:15.457 PM","Incremental backup size of '1vm2025' (100.0%) created by 'Backup Job 9hv' job is above the configured threshold (20.0%) Incremental backup creation time 2025-08-26 16:00:16 (UTC-7:00) ","Suspicious incremental backup size","Backup server","vbr1231.n.local","vbr1231.n.local",364,critical,Error,"Reset/resolved",vo123,Critical,"alarm_name=""Suspicious incremental backup size"" predefined_alarm_id=""364"" alarm_type=""Backup server"" object_path=""vbr1231.n.local"" object_name=""vbr1231.n.local"" status_old=""Reset/resolved"" status_new=""Error"" alarm_details=""Incremental backup size of '1vm2025' (100.0%) created by 'Backup Job 9hv' job is above the configured threshold (20.0%) Incremental backup creation time 2025-08-26 16:00:16 (UTC-7:00) "" syslog_source_host=vo123.n.local"
"Unusual job duration","8/26/2025, 11:05:15.465 PM","Duration of job 'Backup Job 9hv' (91.2%) is above the configured threshold (20.0%) ","Unusual job duration","Backup server","vbr1231.n.local","vbr1231.n.local",369,medium,Error,"Reset/resolved",vo123,Medium,"alarm_name=""Unusual job duration"" predefined_alarm_id=""369"" alarm_type=""Backup server"" object_path=""vbr1231.n.local"" object_name=""vbr1231.n.local"" status_old=""Reset/resolved"" status_new=""Error"" alarm_details=""Duration of job 'Backup Job 9hv' (91.2%) is above the configured threshold (20.0%) "" syslog_source_host=vo123.n.local"
"Suspicious incremental backup size","8/26/2025, 11:05:15.471 PM","Incremental backup size of 'f102f3' (100.0%) created by 'periodic111' job is above the configured threshold (20.0%) Incremental backup creation time 2025-08-26 16:00:16 (UTC-7:00) ","Suspicious incremental backup size","Backup server","vbr1231.n.local","vbr1231.n.local",364,critical,Error,Error,vo123,Critical,"alarm_name=""Suspicious incremental backup size"" predefined_alarm_id=""364"" alarm_type=""Backup server"" object_path=""vbr1231.n.local"" object_name=""vbr1231.n.local"" status_old=""Error"" status_new=""Error"" alarm_details=""Incremental backup size of 'f102f3' (100.0%) created by 'periodic111' job is above the configured threshold (20.0%) Incremental backup creation time 2025-08-26 16:00:16 (UTC-7:00) "" syslog_source_host=vo123.n.local"
"Unusual job duration","8/27/2025, 6:05:26.763 AM","Duration of job 'Replication Job 1' (91.2%) is above the configured threshold (20.0%) ","Unusual job duration","Backup server","vbr1231.n.local","vbr1231.n.local",369,medium,Error,"Reset/resolved",vo123,Medium,"alarm_name=""Unusual job duration"" predefined_alarm_id=""369"" alarm_type=""Backup server"" object_path=""vbr1231.n.local"" object_name=""vbr1231.n.local"" status_old=""Reset/resolved"" status_new=""Error"" alarm_details=""Duration of job 'Replication Job 1' (91.2%) is above the configured threshold (20.0%) "" syslog_source_host=vo123.n.local"
"Suspicious incremental backup size","8/27/2025, 7:03:16.856 AM","Incremental backup size of 'f102f3' (100.0%) created by 'periodic111' job is above the configured threshold (20.0%) Incremental backup creation time 2025-08-27 00:00:10 (UTC-7:00) ","Suspicious incremental backup size","Backup server","vbr1231.n.local","vbr1231.n.local",364,critical,Error,Error,vo123,Critical,"alarm_name=""Suspicious incremental backup size"" predefined_alarm_id=""364"" alarm_type=""Backup server"" object_path=""vbr1231.n.local"" object_name=""vbr1231.n.local"" status_old=""Error"" status_new=""Error"" alarm_details=""Incremental backup size of 'f102f3' (100.0%) created by 'periodic111' job is above the configured threshold (20.0%) Incremental backup creation time 2025-08-27 00:00:10 (UTC-7:00) "" syslog_source_host=vo123.n.local"
"VM with no backup","8/26/2025, 2:03:33.502 PM","Resolved by user N\asja ","VM with no backup","Virtual machine",clear2019,"zoo.qahv1.veeam.local / ZooDC / ZooClu / Resources / Asja / SCOM 2019",314,critical,"Reset/resolved",Warning,vo123,Critical,"alarm_name=""VM with no backup"" predefined_alarm_id=""314"" alarm_type=""Virtual machine"" object_path=""zoo.qahv1.veeam.local / ZooDC / ZooClu / Resources / Asja / SCOM 2019"" object_name=""clear2019"" status_old=""Warning"" status_new=""Reset/resolved"" alarm_details=""Resolved by user N\asja "" syslog_source_host=vo123.n.local"
"VM with no backup","8/26/2025, 2:03:43.506 PM","Resolved by user N\asja ","VM with no backup","Virtual machine",1wincl19,"zoo.qahv1.veeam.local / ZooDC / ZooClu / Resources / Asja / Clusters",314,critical,"Reset/resolved",Warning,vo123,Critical,"alarm_name=""VM with no backup"" predefined_alarm_id=""314"" alarm_type=""Virtual machine"" object_path=""zoo.qahv1.veeam.local / ZooDC / ZooClu / Resources / Asja / Clusters"" object_name=""1wincl19"" status_old=""Warning"" status_new=""Reset/resolved"" alarm_details=""Resolved by user N\asja "" syslog_source_host=vo123.n.local"
"VM with no backup","8/26/2025, 2:03:53.539 PM","This VM does not have any restore points ","VM with no backup","Virtual machine",1wincl19,"zoo.qahv1.veeam.local / ZooDC / ZooClu / Resources / Asja / Clusters",314,critical,Warning,"Reset/resolved",vo123,Critical,"alarm_name=""VM with no backup"" predefined_alarm_id=""314"" alarm_type=""Virtual machine"" object_path=""zoo.qahv1.veeam.local / ZooDC / ZooClu / Resources / Asja / Clusters"" object_name=""1wincl19"" status_old=""Reset/resolved"" status_new=""Warning"" alarm_details=""This VM does not have any restore points "" syslog_source_host=vo123.n.local"
"VM with no backup","8/26/2025, 2:03:53.548 PM","This VM does not have any restore points ","VM with no backup","Virtual machine",clear2019,"zoo.qahv1.veeam.local / ZooDC / ZooClu / Resources / Asja / SCOM 2019",314,critical,Warning,"Reset/resolved",vo123,Critical,"alarm_name=""VM with no backup"" predefined_alarm_id=""314"" alarm_type=""Virtual machine"" object_path=""zoo.qahv1.veeam.local / ZooDC / ZooClu / Resources / Asja / SCOM 2019"" object_name=""clear2019"" status_old=""Reset/resolved"" status_new=""Warning"" alarm_details=""This VM does not have any restore points "" syslog_source_host=vo123.n.local"
"Suspicious incremental backup size","8/26/2025, 2:03:53.555 PM","Resolved by user N\asja ","Suspicious incremental backup size","Backup server","vbr1231.n.local","vbr1231.n.local",364,critical,"Reset/resolved",Error,vo123,Critical,"alarm_name=""Suspicious incremental backup size"" predefined_alarm_id=""364"" alarm_type=""Backup server"" object_path=""vbr1231.n.local"" object_name=""vbr1231.n.local"" status_old=""Error"" status_new=""Reset/resolved"" alarm_details=""Resolved by user N\asja "" syslog_source_host=vo123.n.local"
