Productname,CU,SU,BuildNbAll,BuilCUNb,Major,CUBuildNb,SUBuildNb
Exchange Server 2019,CU14,Apr24SU,15.02.1544.011,15.02.1544,15.02,1544,11
Exchange Server 2019,CU14,Mar24SU,15.02.1544.009,15.02.1544,15.02,1544,9
Exchange Server 2019,CU14,NoSU,15.02.1544.004,15.02.1544,15.02,1544,4
Exchange Server 2019,CU13,Apr24SU,15.02.1258.034,15.02.1258,15.02,1258,34
Exchange Server 2019,CU13,Mar24SU,15.02.1258.032,15.02.1258,15.02,1258,32
Exchange Server 2019,CU13,Nov23SU,15.02.1258.028,15.02.1258,15.02,1258,28
Exchange Server 2019,CU13,Oct23SU,15.02.1258.027,15.02.1258,15.02,1258,27
Exchange Server 2019,CU13,Aug23SUv2,15.02.1258.025,15.02.1258,15.02,1258,25
Exchange Server 2019,CU13,Aug23SUv1,15.02.1258.023,15.02.1258,15.02,1258,23
Exchange Server 2019,CU13,June23SU,15.02.1258.016,15.02.1258,15.02,1258,16
Exchange Server 2019,CU13,NoSU,15.02.1258.012,15.02.1258,15.02,1258,12
Exchange Server 2019,CU12,Oct23SU,15.02.1118.039,15.02.1118,15.02,1118,39
Exchange Server 2019,CU12,Aug23SUv2,15.02.1118.037,15.02.1118,15.02,1118,37
Exchange Server 2019,CU12,Aug23SUv1,15.02.1118.036,15.02.1118,15.02,1118,36
Exchange Server 2019,CU12,June23SU,15.02.1118.030,15.02.1118,15.02,1118,30
Exchange Server 2019,CU12,Mar23SU,15.02.1118.026,15.02.1118,15.02,1118,26
Exchange Server 2019,CU12,Feb23SU,15.02.1118.025,15.02.1118,15.02,1118,25
Exchange Server 2019,CU12,Jan23SU,15.02.1118.022,15.02.1118,15.02,1118,22
Exchange Server 2019,CU12,Jan23SU,15.02.1118.021,15.02.1118,15.02,1118,21
Exchange Server 2019,CU12,Nov22SU,15.02.1118.020,15.02.1118,15.02,1118,20
Exchange Server 2019,CU12,Oct22SU,15.02.1118.015,15.02.1118,15.02,1118,15
Exchange Server 2019,CU12,Aug22SU,15.02.1118.012,15.02.1118,15.02,1118,12
Exchange Server 2019,CU12,May22SU,15.02.1118.09,15.02.1118,15.02,1118,9
Exchange Server 2019,CU12,NoSU,15.02.1118.07,15.02.1118,15.02,1118,7
Exchange Server 2019,CU11,Nov22SU,15.02.986.036,15.02.986,15.02,986,36
Exchange Server 2019,CU11,Oct22SU,15.02.986.030,15.02.986,15.02,986,30
Exchange Server 2019,CU11,Aug22SU,15.02.986.026,15.02.986,15.02,986,26
Exchange Server 2019,CU11,May22SU,15.02.986.022,15.02.986,15.02,986,22
Exchange Server 2019,CU11,Jan22SU,15.02.986.015,15.02.986,15.02,986,15
