SystemID,SystemRole,SystemUsage
S4X,Sandbox,ERP
S4D,Development,ERP
S4Q,QualityAssurance,ERP
S4T,Training,ERP
S4P,Production,ERP
S4H,Production,ERP
B4X,Sandbox,BW
B4D,Development,BW
B4Q,QualityAssurance,BW
B4T,Training,BW
B4P,Production,BW
SMX,Sandbox,Solman
SMD,QualityAssurance,Solman
SMQ,Training,Solman
SMP,Production,Solman
C4X,Sandbox,CRM
C4D,Development,CRM
C4Q,QualityAssurance,CRM
C4T,Training,CRM
C4P,Production,CRM
GWX,Sandbox,Gateway
GWD,Development,Gateway
GWQ,QualityAssurance,Gateway
GWT,Training,Gateway
GWP,Production,Gateway
EPS,Sandbox,Enterpirse Portal
EPD,Development,Enterpirse Portal
EPQ,QualityAssurance,Enterpirse Portal
EPT,Training,Enterpirse Portal
EPP,Production,Enterpirse Portal
