ColumnName,ColumnOrdinal,DataType,ColumnType
countries,0,"System.Object",dynamic
"device_group",1,"System.String",string
"device_id",2,"System.String",string
"device_owner",3,"System.String",string
"incident_ai_summary",4,"System.String",string
"incident_confidence_level",5,"System.String",string
"incident_created_date",6,"System.DateTime",datetime
"incident_id",7,"System.String",string
"incident_status",8,"System.String",string
"mitre_tactics",9,"System.Object",dynamic
"related_threats",10,"System.Object",dynamic
TimeGenerated,11,"System.DateTime",datetime
"incident_name",12,"System.String",string
"incident_link",13,"System.String",string
TenantId,14,"System.String",string
Type,15,"System.String",string
"_ResourceId",16,"System.String",string
