"Time","Message","Severity"
"6/14/2022 10:55 AM","Clearing existing Azure connection","Information"
"6/14/2022 10:55 AM","Clearing existing Azure context 
","Information"
"6/14/2022 10:55 AM","Clearing of existing connection and context completed.","Information"
"6/14/2022 10:57 AM","Working in Subscription: Demo","Information"
"6/14/2022 10:57 AM","Listing Log Analytics workspace","Information"
"6/14/2022 10:57 AM","Retrieving tables from hybridke","Information"
"6/14/2022 10:57 AM","Table : AppEvents archive updated successfully to 1095","Information"
"6/14/2022 10:57 AM","Retrieving tables from hybridke","Information"
"6/14/2022 10:58 AM","Table : AppSystemEvents archive updated successfully to 1095","Information"
"6/14/2022 10:58 AM","Table : AppTraces archive updated successfully to 1095","Information"
"6/14/2022 10:58 AM","Table : AACAudit archive updated successfully to 1095","Information"
"6/14/2022 10:58 AM","Table : AACHttpRequest archive updated successfully to 1095","Information"
"6/14/2022 10:58 AM","Table : AADB2CRequestLogs archive updated successfully to 1095","Information"
"6/14/2022 10:58 AM","Table : AADDomainServicesAccountLogon archive updated successfully to 1095","Information"
"6/14/2022 10:58 AM","Table : AADDomainServicesAccountManagement archive updated successfully to 1095","Information"
"6/14/2022 10:58 AM","Table : AADDomainServicesDirectoryServiceAccess archive updated successfully to 1095","Information"
"6/14/2022 10:58 AM","Table : AADDomainServicesLogonLogoff archive updated successfully to 1095","Information"
"6/14/2022 10:58 AM","Table : AADDomainServicesPolicyChange archive updated successfully to 1095","Information"
"6/14/2022 10:58 AM","Table : AADDomainServicesPrivilegeUse archive updated successfully to 1095","Information"
"6/14/2022 10:58 AM","Table : AADDomainServicesSystemSecurity archive updated successfully to 1095","Information"
"6/14/2022 10:58 AM","Table : AADManagedIdentitySignInLogs archive updated successfully to 1095","Information"
"6/14/2022 10:58 AM","Table : AADNonInteractiveUserSignInLogs archive updated successfully to 1095","Information"
