"solution_name","connector_id","table_name"
"1Password","",""
"1Password","1Password","OnePasswordEventLogs_CL"
"1Password","1Password(Serverless)","OnePasswordEventLogs_CL"
"1Password","1PasswordCCPDefinition","OnePasswordEventLogs_CL"
"42Crunch API Protection","",""
"42Crunch API Protection","42CrunchAPIProtection","apifirewall_log_1_CL"
"AI Analyst Darktrace","",""
"AI Analyst Darktrace","Darktrace","CommonSecurityLog"
"AI Analyst Darktrace","DarktraceAma","CommonSecurityLog"
"AIShield AI Security Monitoring","",""
"AIShield AI Security Monitoring","BoschAIShield","AIShield_CL"
"ALC-WebCTRL","",""
"ALC-WebCTRL","AutomatedLogicWebCTRL","Event"
"ARGOSCloudSecurity","",""
"ARGOSCloudSecurity","ARGOSCloudSecurity","ARGOS_CL"
"AWS CloudFront","",""
"AWS CloudFront","AwsCloudfrontCcpDefinition","AWSCloudFront_AccessLog_CL"
"AWS Security Hub","",""
"AWS Security Hub","AwsSecurityHubFindingsCcpDefinition","AWSSecurityHubFindings"
"AWS Systems Manager","",""
"AWS VPC Flow Logs","",""
"AWS VPC Flow Logs","AWSS3VPCFlowLogsParquetDefinition","AWSVPCFlow"
"AWSAthena","",""
"AWS_AccessLogs","",""
"AWS_AccessLogs","AwsS3ServerAccessLogsDefinition","AWSS3ServerAccess"
"AWS_IAM","",""
"AbnormalSecurity","",""
"AbnormalSecurity","AbnormalSecurity","ABNORMAL_CASES_CL"
"AbnormalSecurity","AbnormalSecurity","ABNORMAL_THREAT_MESSAGES_CL"
"AbuseIPDB","",""
"Acronis Cyber Protect Cloud","",""
"Agari","",""
"Agari","Agari","agari_apdpolicy_log_CL"
"Agari","Agari","agari_apdtc_log_CL"
"Agari","Agari","agari_bpalerts_log_CL"
"AgileSec Analytics Connector","",""
"AgileSec Analytics Connector","InfoSecDataConnector","InfoSecAnalytics_CL"
"Akamai Security Events","",""
"Akamai Security Events","AkamaiSecurityEvents","CommonSecurityLog"
"Akamai Security Events","AkamaiSecurityEventsAma","CommonSecurityLog"
"Alibaba Cloud","",""
"Alibaba Cloud","AliCloud","AliCloud_CL"
"Alibaba Cloud ActionTrail","",""
"Alibaba Cloud ActionTrail","AliCloudActionTrailCCPDefinition","AliCloudActionTrailLogs_CL"
"Alsid For AD","",""
"Alsid For AD","AlsidForAD","AlsidForADLog_CL"
"Alsid For AD","AlsidForAD","USAGE"
"Alsid For AD","AlsidForAD","alert"
"Amazon Web Services","",""
"Amazon Web Services","AWS","AWSCloudTrail"
"Amazon Web Services","AwsS3","AWSCloudTrail"
"Amazon Web Services","AwsS3","AWSCloudWatch"
"Amazon Web Services","AwsS3","AWSGuardDuty"
"Amazon Web Services","AwsS3","AWSVPCFlow"
"Amazon Web Services","AwsS3WafCcpDefinition","AWSWAF"
"Amazon Web Services NetworkFirewall","",""
"Amazon Web Services NetworkFirewall","AwsNetworkFirewallCcpDefinition","AWSNetworkFirewallAlert"
"Amazon Web Services NetworkFirewall","AwsNetworkFirewallCcpDefinition","AWSNetworkFirewallFlow"
"Amazon Web Services NetworkFirewall","AwsNetworkFirewallCcpDefinition","AWSNetworkFirewallTls"
"Amazon Web Services Route 53","",""
"Amazon Web Services Route 53","AWSRoute53ResolverCCPDefinition","AWSRoute53Resolver"
"Anvilogic","",""
"Anvilogic","AnvilogicCCFDefinition","Anvilogic_Alerts_CL"
"Apache Log4j Vulnerability Detection","",""
"ApacheHTTPServer","",""
"ApacheHTTPServer","ApacheHTTPServer","ApacheHTTPServer_CL"
"AristaAwakeSecurity","",""
"AristaAwakeSecurity","AristaAwakeSecurity","CommonSecurityLog"
"Armis","",""
"Armis","ArmisActivities","Armis_Activities_CL"
"Armis","ArmisAlerts","Armis_Alerts_CL"
"Armis","ArmisAlertsActivities","Armis_Activities_CL"
"Armis","ArmisAlertsActivities","Armis_Alerts_CL"
"Armis","ArmisDevices","Armis_Devices_CL"
"Armorblox","",""
"Armorblox","Armorblox","Armorblox_CL"
"Aruba ClearPass","",""
"Aruba ClearPass","ArubaClearPass","CommonSecurityLog"
"Aruba ClearPass","ArubaClearPassAma","CommonSecurityLog"
"AtlassianConfluenceAudit","",""
"AtlassianConfluenceAudit","AtlassianConfluence","AtlassianConfluenceNativePoller_CL"
"AtlassianConfluenceAudit","ConfluenceAuditAPI","Confluence_Audit_CL"
"AtlassianConfluenceAudit","ConfluenceAuditCCPDefinition","ConfluenceAuditLogs_CL"
"AtlassianJiraAudit","",""
"AtlassianJiraAudit","JiraAuditAPI","Jira_Audit_CL"
"AtlassianJiraAudit","JiraAuditAPI","Jira_Audit_v2_CL"
"AtlassianJiraAudit","JiraAuditCCPDefinition","Jira_Audit_v2_CL"
"Attacker Tools Threat Protection Essentials","",""
"Australian Cyber Security Centre","",""
"Auth0","",""
"Auth0","Auth0","Auth0AM_CL"
"Auth0","Auth0ConnectorCCPDefinition","Auth0Logs_CL"
"Authomize","",""
"Authomize","Authomize","Authomize_v2_CL"
"Azure Activity","",""
"Azure Activity","AzureActivity","AzureActivity"
"Azure Batch Account","",""
"Azure Batch Account","AzureBatchAccount_CCP","AzureDiagnostics"
"Azure Cloud NGFW By Palo Alto Networks","",""
"Azure Cloud NGFW By Palo Alto Networks","AzureCloudNGFWByPaloAltoNetworks","fluentbit_CL"
"Azure Cognitive Search","",""
"Azure Cognitive Search","AzureCognitiveSearch_CCP","AzureDiagnostics"
"Azure DDoS Protection","",""
"Azure DDoS Protection","DDOS","AzureDiagnostics"
"Azure Data Lake Storage Gen1","",""
"Azure Data Lake Storage Gen1","AzureDataLakeStorageGen1_CCP","AzureDiagnostics"
"Azure Event Hubs","",""
"Azure Event Hubs","AzureEventHub_CCP","AzureDiagnostics"
"Azure Firewall","",""
"Azure Firewall","AzureFirewall","AZFWApplicationRule"
"Azure Firewall","AzureFirewall","AZFWDnsQuery"
"Azure Firewall","AzureFirewall","AZFWFatFlow"
"Azure Firewall","AzureFirewall","AZFWFlowTrace"
"Azure Firewall","AzureFirewall","AZFWIdpsSignature"
"Azure Firewall","AzureFirewall","AZFWInternalFqdnResolutionFailure"
"Azure Firewall","AzureFirewall","AZFWNatRule"
