"table_name","description","category","category_primary","category_source","category_candidates","support_tier","collection_method","collection_method_source","collection_method_candidates","feeding_connector_ids","source_vendor","source_product","collector_vendor","collector_product","source_vendor_basis","collector_vendor_basis","resource_types","source_azure_monitor","source_defender_xdr","azure_monitor_doc_link","defender_xdr_doc_link","basic_logs_eligible","supports_transformations","ingestion_api_supported","is_clv1"
"AACAudit","Reference for AACAudit table in Azure Monitor Logs.","Audit","Cloud","collection_method=Azure Diagnostics;resource_types","Cloud","","Azure Diagnostics","resource_types","","","","","","","","","microsoft.appconfiguration/configurationstores","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/aacaudit","","No","Yes","No",""
"AACHttpRequest","Reference for AACHttpRequest table in Azure Monitor Logs.","Azure Resources","Cloud","category=Azure Resources","Cloud","","Azure Diagnostics","category=Azure Resources","","","","","","","","","microsoft.appconfiguration/configurationstores","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/aachttprequest","","No","Yes","No",""
"AADAgentRiskEvents","Reference for AADAgentRiskEvents table in Azure Monitor Logs.","Entra","Cloud","category=Entra","Cloud","","Azure Diagnostics","source_azure_monitor","","","","","","","","","-","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/aadagentriskevents","","Yes","","No",""
"AADB2CRequestLogs","Reference for AADB2CRequestLogs table in Azure Monitor Logs.","Entra","Cloud","category=Entra","Cloud","","Azure Diagnostics","resource_types","","","","","","","","","microsoft.aadiam/tenants","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/aadb2crequestlogs","","No","Yes","No",""
"AADCustomSecurityAttributeAuditLogs","Reference for AADCustomSecurityAttributeAuditLogs table in Azure Monitor Logs.","Entra","Cloud","category=Entra","Cloud","","Azure Diagnostics","source_azure_monitor","","","","","","","","","-","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/aadcustomsecurityattributeauditlogs","","No","Yes","No",""
"AADDomainServicesAccountLogon","Reference for AADDomainServicesAccountLogon table in Azure Monitor Logs.","Entra","Cloud","category=Entra","Cloud","","Azure Diagnostics","resource_types","","","","","","","","","microsoft.aad/domainservices","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/aaddomainservicesaccountlogon","","No","Yes","No",""
"AADDomainServicesAccountManagement","Reference for AADDomainServicesAccountManagement table in Azure Monitor Logs.","Entra","Cloud","category=Entra","Cloud","","Azure Diagnostics","resource_types","","","","","","","","","microsoft.aad/domainservices","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/aaddomainservicesaccountmanagement","","No","Yes","No",""
"AADDomainServicesDNSAuditsDynamicUpdates","Reference for AADDomainServicesDNSAuditsDynamicUpdates table in Azure Monitor Logs.","Entra","Cloud","category=Entra","Cloud","","Azure Diagnostics","resource_types","","","","","","","","","microsoft.aad/domainservices","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/aaddomainservicesdnsauditsdynamicupdates","","Yes","Yes","No",""
"AADDomainServicesDNSAuditsGeneral","Reference for AADDomainServicesDNSAuditsGeneral table in Azure Monitor Logs.","Entra","Cloud","category=Entra","Cloud","","Azure Diagnostics","resource_types","","","","","","","","","microsoft.aad/domainservices","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/aaddomainservicesdnsauditsgeneral","","Yes","Yes","No",""
"AADDomainServicesDirectoryServiceAccess","Reference for AADDomainServicesDirectoryServiceAccess table in Azure Monitor Logs.","Entra","Cloud","category=Entra","Cloud","","Azure Diagnostics","resource_types","","","","","","","","","microsoft.aad/domainservices","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/aaddomainservicesdirectoryserviceaccess","","No","Yes","No",""
"AADDomainServicesLogonLogoff","Reference for AADDomainServicesLogonLogoff table in Azure Monitor Logs.","Entra","Cloud","category=Entra","Cloud","","Azure Diagnostics","resource_types","","","","","","","","","microsoft.aad/domainservices","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/aaddomainserviceslogonlogoff","","No","Yes","No",""
"AADDomainServicesPolicyChange","Reference for AADDomainServicesPolicyChange table in Azure Monitor Logs.","Entra","Cloud","category=Entra","Cloud","","Azure Diagnostics","resource_types","","","","","","","","","microsoft.aad/domainservices","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/aaddomainservicespolicychange","","No","Yes","No",""
"AADDomainServicesPrivilegeUse","Reference for AADDomainServicesPrivilegeUse table in Azure Monitor Logs.","Entra","Cloud","category=Entra","Cloud","","Azure Diagnostics","resource_types","","","","","","","","","microsoft.aad/domainservices","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/aaddomainservicesprivilegeuse","","No","Yes","No",""
"AADDomainServicesSystemSecurity","Reference for AADDomainServicesSystemSecurity table in Azure Monitor Logs.","Entra","Cloud","category=Entra","Cloud","","Azure Diagnostics","resource_types","","","","","","","","","microsoft.aad/domainservices","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/aaddomainservicessystemsecurity","","No","","No",""
"AADFirstPartyToFirstPartySignInLogs","","Entra","Cloud","category=Entra","Cloud","","Azure Diagnostics","tenant_diagnostics(category=Entra)","","","","","","","","","","No","No","","","","Yes","No",""
"AADGraphActivityLogs","Reference for AADGraphActivityLogs table in Azure Monitor Logs.","Entra","Cloud","category=Entra","Cloud","","Azure Diagnostics","resource_types","","","","","","","","","microsoft.azureadgraph/tenants","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/aadgraphactivitylogs","","Yes","Yes","No",""
"AADManagedIdentitySignInLogs","Reference for AADManagedIdentitySignInLogs table in Azure Monitor Logs.","Entra","Cloud","category=Entra","Cloud","Microsoft","Azure Diagnostics","source_azure_monitor","","","","","","","","","-","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/aadmanagedidentitysigninlogs","","Yes","Yes","No",""
"AADNonInteractiveUserSignInLogs","Reference for AADNonInteractiveUserSignInLogs table in Azure Monitor Logs.","Entra","Cloud","category=Entra","Cloud","Microsoft","Azure Diagnostics","source_azure_monitor","","","","","","","","","-","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/aadnoninteractiveusersigninlogs","","Yes","Yes","No",""
"AADProvisioningLogs","Reference for AADProvisioningLogs table in Azure Monitor Logs.","Entra","Cloud","category=Entra","Cloud","Microsoft","Azure Diagnostics","source_azure_monitor","","","","","","","","","-","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/aadprovisioninglogs","","Yes","Yes","No",""
"AADRiskyAgents","Reference for AADRiskyAgents table in Azure Monitor Logs.","Entra","Cloud","category=Entra","Cloud","","Azure Diagnostics","source_azure_monitor","","","","","","","","","-","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/aadriskyagents","","Yes","","No",""
"AADRiskyServicePrincipals","Reference for AADRiskyServicePrincipals table in Azure Monitor Logs.","Entra","Cloud","category=Entra","Cloud","Microsoft","Azure Diagnostics","source_azure_monitor","","","","","","","","","-","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/aadriskyserviceprincipals","","Yes","Yes","No",""
"AADRiskyUsers","Reference for AADRiskyUsers table in Azure Monitor Logs.","Entra","Cloud","category=Entra","Cloud","Microsoft","Azure Diagnostics","source_azure_monitor","","","","","","","","","-","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/aadriskyusers","","Yes","Yes","No",""
"AADServicePrincipalRiskEvents","Reference for AADServicePrincipalRiskEvents table in Azure Monitor Logs.","Entra","Cloud","category=Entra","Cloud","Microsoft","Azure Diagnostics","source_azure_monitor","","","","","","","","","-","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/aadserviceprincipalriskevents","","Yes","Yes","No",""
"AADServicePrincipalSignInLogs","Reference for AADServicePrincipalSignInLogs table in Azure Monitor Logs.","Entra","Cloud","category=Entra","Cloud","Microsoft","Azure Diagnostics","source_azure_monitor","","","","","","","","","-","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/aadserviceprincipalsigninlogs","","Yes","Yes","No",""
"AADUserRiskEvents","Reference for AADUserRiskEvents table in Azure Monitor Logs.","Entra","Cloud","category=Entra","Cloud","Microsoft","Azure Diagnostics","source_azure_monitor","","","","","","","","","-","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/aaduserriskevents","","Yes","Yes","No",""
